ID,NUMBER,ENGLISH,FRENCH,CONCEPTICON_ID,CONCEPTICON_GLOSS
Williamson-1973-134-108,093,tongue: language,langue,1205,TONGUE
Williamson-1973-134-109,094,tooth,dent,1380,TOOTH
Williamson-1973-134-110,095,tortoise,tortue (terrestre),895,TORTOISE
Williamson-1973-134-111,096,tree,arbre,906,TREE
Williamson-1973-134-112,097,twin,jumeau,,
Williamson-1973-134-113,098,want: lack:: seek,"vouloir, désirer",1784,WANT
Williamson-1973-134-114,099,war,guerre,935,WAR
Williamson-1973-134-115,100,water,eau,948,WATER
Williamson-1973-134-116,101,wing,aile,1257,WING
Williamson-1973-134-117,102,woman: wife,femme,962,WOMAN
Williamson-1973-134-118,102,woman: wife,"femme, épouse",962,WOMAN
Williamson-1973-134-119,103,one,un (1),1493,ONE
Williamson-1973-134-120,104,two,deux (2),1498,TWO
Williamson-1973-134-121,105,three,trois (3),492,THREE
Williamson-1973-134-122,106,four,quatre (4),1500,FOUR
Williamson-1973-134-123,107,five,cinq (5),493,FIVE
Williamson-1973-134-124,108,six,six (6),1703,SIX
Williamson-1973-134-125,109,seven,sept (7),1704,SEVEN
Williamson-1973-134-126,110,eight,huit (8),1705,EIGHT
Williamson-1973-134-127,111,nine,neuf (9),1483,NINE
Williamson-1973-134-128,112,ten,dix (10),1515,TEN
Williamson-1973-134-129,113,fifteen,quinze (15),1709,FIFTEEN
Williamson-1973-134-130,114,twenty,vingt (20),1710,TWENTY
Williamson-1973-134-131,115,one hundred,cent (100),1634,HUNDRED
Williamson-1973-134-132,115.1,two hundred,deux cents (200),,
Williamson-1973-134-133,116,four hundred,quatre cent,,
Williamson-1973-134-134,117,one thousand,mille (1000),1843,THOUSAND
