Grapheme	FREQUENCY	IPA	UNICODE
n	3357	n	U+006e
a	3059	a	U+0061
k	2860	k	U+006b
i	2552	i	U+0069
m	2161	m	U+006d
t	1988	t	U+0074
u	1894	u	U+0075
b	1871	b	U+0062
r	1788	r	U+0072
á	1432	á	U+00e1
e	1410	e	U+0065
l	1383	l	U+006c
_	1373	_	U+005f
à	1371	à	U+00e0
ŋ	1321	ŋ	U+014b
o	1288	o	U+006f
g	1208	g	U+0067
j	1190	j	U+006a
*	1009	<?>	U+002a
p	1001	p	U+0070
d	961	d	U+0064
í	943	í	U+00ed
ì	857	ì	U+00ec
ú	784	ú	U+00fa
s	684	s	U+0073
f	659	f	U+0066
ɔ̀	626	ɔ̀	U+0254 U+0300
ɛ̀	618	ɛ̀	U+025b U+0300
ə́	616	ə́	U+0259 U+0301
ù	610	ù	U+00f9
è	569	è	U+00e8
ɔ́	556	ɔ́	U+0254 U+0301
é	556	é	U+00e9
ə̀	547	ə̀	U+0259 U+0300
ɛ́	532	ɛ́	U+025b U+0301
w	507	w	U+0077
ò	479	ò	U+00f2
ɛ	467	ɛ	U+025b
z	464	z	U+007a
ó	455	ó	U+00f3
ɔ	374	ɔ	U+0254
ʧ	362	ʧ	U+02a7
h	357	h	U+0068
ʤ	355	ʤ	U+02a4
ʃ	313	ʃ	U+0283
ʔ	287	ʔ	U+0294
ɲ	273	ɲ	U+0272
’	272	<?>	U+2019
v	262	v	U+0076
kw	256	kw	U+006b U+0077
a̍	252	a̍	U+0061 U+030d
ɪ	217	ɪ	U+026a
ə	210	ə	U+0259
ǹ	191	<?>	U+01f9
ɣ	187	ɣ	U+0263
+	173	+	U+002b
ts	170	ts	U+0074 U+0073
â	165	â	U+00e2
**	153	<?>	U+002a U+002a
ŋ̀	142	ŋ̀	U+014b U+0300
β	128	β	U+03b2
ɔ̂	122	ɔ̂	U+0254 U+0302
m̀	121	m̀	U+006d U+0300
î	118	î	U+00ee
ɪ́	114	ɪ́	U+026a U+0301
gw	102	gw	U+0067 U+0077
ô	100	ô	U+00f4
ń	94	ń	U+0144
ě	77	ě	U+011b
ɔ̌	76	ɔ̌	U+0254 U+030c
x	73	x	U+0078
ɨ́	73	ɨ́	U+0268 U+0301
ə̂	71	ə̂	U+0259 U+0302
hw	68	hw	U+0068 U+0077
c	63	c	U+0063
ɛ̂	59	ɛ̂	U+025b U+0302
ɗ	57	ɗ	U+0257
ɪ̀	56	ɪ̀	U+026a U+0300
û	55	û	U+00fb
ǎ	55	ǎ	U+01ce
nn	55	nn	U+006e U+006e
y	53	y	U+0079
th	48	th	U+0074 U+0068
ɲ̀	48	ɲ̀	U+0272 U+0300
ɽ	46	ɽ	U+027d
H	46	<?>	U+0048
ŋw	46	ŋw	U+014b U+0077
ŋ́	45	ŋ́	U+014b U+0301
aa	43	aa	U+0061 U+0061
*s	41	*s	U+002a U+0073
ḿ	40	<?>	U+1e3f
ʒ	40	ʒ	U+0292
á:	39	á:	U+00e1 U+003a
bw	38	bw	U+0062 U+0077
E	37	<?>	U+0045
ê	36	ê	U+00ea
kh	33	kh	U+006b U+0068
ɥ	33	ɥ	U+0265
a:	33	a:	U+0061 U+003a
ee	30	ee	U+0065 U+0065
*w	30	*w	U+002a U+0077
ʊ̀	30	ʊ̀	U+028a U+0300
ʊ́	30	ʊ́	U+028a U+0301
´	29	<?>	U+00b4
ā	29	ā	U+0101
mm	29	mm	U+006d U+006d
às	29	às	U+00e0 U+0073
ý	29	ý	U+00fd
nw	29	nw	U+006e U+0077
ɔ̃	28	ɔ̃	U+0254 U+0303
áá	28	áá	U+00e1 U+00e1
ã̀	27	ã̀	U+00e3 U+0300
ǐ	27	ǐ	U+01d0
ã́	27	ã́	U+00e3 U+0301
àà	26	àà	U+00e0 U+00e0
ll	26	ll	U+006c U+006c
ph	26	ph	U+0070 U+0068
ʌ	25	ʌ	U+028c
ĩ̀	25	ĩ̀	U+0129 U+0300
i:	25	i:	U+0069 U+003a
o:	25	o:	U+006f U+003a
tt	24	tt	U+0074 U+0074
ĩ	24	ĩ	U+0129
ɛ̃	24	ɛ̃	U+025b U+0303
ɑ	23	ɑ	U+0251
ũ	23	ũ	U+0169
ṛ	23	ṛ	U+1e5b
u:	23	u:	U+0075 U+003a
