BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,n-záb,,
003,ARMPIT,ɣúbé(ŋɔ̌),,
004,ARROW,kjírí,,
005,ASHES,pfó &,,
006,ASK (A QUESTION),n-dóŋ; yɔ́ŋɔ́; kpé:,,
007,"BAD (BE), TO",àpúpó,,
008,BEAN,kúŋ,,
009,BEG (ASK FOR S.T.),kpé:,,
010,BELLY,pfuɔ́ (ŋɔ̂),,
011,BITE,nwó,V,
012,BUFFALO,nɛ́t,,
014,CALABASH,jʒɥóʔ+ntsě,,
015,CARVE,kwó,,
017,CHILD,mṍŋ,,
018,COME OUT,tfuó,,
019,"COOL, BE(COME) TO",à fuó,,
021,COUNT: DRAW A LINE,‘sí,,
023,CRAB,káp,,
024,CROCODILE,ŋ-gǎŋá kə́ká’ á,,
026,DEPTH,sé,,
027,DIE: DEATH,pfɔ́:,,
028,"DIVIDE, SHARE OUT, TO",ɣə̀bɔ́,,
030,"BECOME DRY, TO",pǎ:,,
032,"EAT, TO",zó(‘mɔ́b)  m-fɔ́t m̀bré,,
033,EGG,puɔ̂b ~ pɔ̂b,,
034,ELEPHANT,sɨ́ŋ ~ sýŋ,,
035,"EXTINGUISHED, BE TO",mbú ‘ mɔ́ (inf.),,
036,EYE,mbè-tí(ŋɔ̀),,
038,"FAT, OIL, GREASE",vót,,
040,FEMALE,mèŋ-gɥié,,
043,CHICKEN/FOWL,mɔ́ŋ-gúb,,
045,"GIVE, TO",fɛ́,,
046,"GO, WALK, TO","ɣǔ, ɲí",,
047,GRASSHOPPER,mbziéjkjí,,
048,"GROW, BECOME STRONG, TO",sá’á (!),,
049,GUINEA-FOWL,ŋ́gáŋa̍sýŋ,,
050,HEAD,tó(ŋɔ̌),,
051,HEART,n-zó’ (ŋɔ̂),,
052,HEAVY,ntɛ́t,,
053,HOE: CULTIVATE,fà’á,,
055,"LEG, FOOT",táb ntǒ’ (ŋɔ̂),,
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",núnú,,
058,"LICK, TO",jɛ́zɛ́,,
060,MEAT,nâb,,
061,MOULD TO,pwɔ́,,
063,NAME,tí:,,
065,FAN PALM (BORASSUS AETHIOPUM),tɪ́ŋmbǎŋ,,
065.1,OIL PALM (ELAEIS GUINEENSIS),tɪ́ŋmbǎŋ,,
066,PERSON,ŋɔ̂,,
067,"PIG (DOMESTIC, WILD)",kfúnǎb,,
068,"PRESS, SQUEEZE OUT, MILK","ká:, ménýŋ",,
071,"REFUSE, RETAIN, TO","kje’zɛ́, na̍ŋə́",,
072,"RESEMBLE, BE EQUAL TO",pófùɛ̀,,
073,ROAD: PATH,mɛ́ndɛ́b ʔ,,
074,"ROAST ON COALS, TO",tɔ̃́ŋ,,
075,"ROT, TO",(a̍) yúb,,
077,SEND: WORK,tfúɔ,,
079,"SEW, TO",tɛ́:,,
080,"SHINE, BE LIGHT, BE WHITE TO",(a̍)jáŋ,,fý
082,"SKIN, HIDE, BARK","kpè: (ŋɔ̂), ŋgwɔbu (ŋɔ̂)",,
083,SMELL (OF): SMELL (TR.),nzó ʔ  tswójɔbˋ,,
084,SNAKE,nɔ́,,
087,TO SPIT,tswě;  ntswétè,,
089,"STICKY, TO BE",zó(mɔ́b),,
090,"STONE, ROCK",ŋgɔ̂ʔ,,
093,"TONGUE, LANGUAGE",kfikfi(ŋɔ̃,,
094,TOOTH,sú(ŋɔ̂),,
095,TORTOISE,kjéměŋkɔ̀,,
096,TREE,(ta̍ʔ)tsó,,
097,TWIN,móŋ-fá,,póŋ-fà
098,WANT (DESIRE): LACK SEEK,kɥìe,,
101,WING,pap (mə́sy’ŋ); pàba̍ (mə́sy’ŋ),,
102,"WOMAN, WIFE",see FEMALE,,
104,TWO,jé-pá,,
106,FOUR,jékuâ,,
107,FIVE,jé-tâŋ,,

