BNC ID,Gloss,Phonetic,Pl Phonetic
001,ANIMAL,bì-nî,ì-
003,ARMPIT,-bìakútè,ø-
004,ARROW,nì-ʔìlà,à-
005,ASHES,"ìnta, $",
006,ASK (A QUESTION),tə́ˋ:mbə́ǹə́ˋ,tə́mbénémà
008,BEAN,*bu-gaje,i-
010,BELLY,cīmbə̀lɔ̀,ɔ
013,"BUILD, TO (CF. SEW)",mâ:ŋgà,má:ŋgə́m̀à
014,CALABASH,bùgwɛ̀:gwɛ̀,ùŋgwà:gwà
016,CHARCOAL,ìnjìndɔ̀,bìjìndɛ̀
017,CHILD,bàʔà,ùmmàʔà
020,CORPSE,*ì-gà:wà,*i-gawa
021,COUNT: DRAW A LINE,lúbá,lúbámà
022,COW/CATTLE,bə̀-nɛ́ʔɛ̀,ì-
023,CRAB,ì-ʔwộ:ndù,ì-
025,"DANCE, TO","h’íbà, nə̀-gàmà",h’íbàmà
026,DEPTH,ìʔílọ̀,
027,DIE: DEATH,"‘wọ́, à-ʔújọ",wóm̀à
028,"DIVIDE, SHARE OUT, TO",ŋgámâŋgà,ŋgámá: ŋgə́mə́m̀à
030,"BECOME DRY, TO",hə́ˋgə̀ˋlə́ˋ,
031,EAR,ì-câ,cì-
032,"EAT, TO",já,jámà
033,EGG,nìˋ-ŋgjà,à-
034,ELEPHANT,ìgyĩ̀wà,ìŋgyĩ̀
036,EYE,nǐ:-ʃɔ̀,cĩ̌:-
037,"FALL, TO",*kina,kinama
038,"FAT, OIL, GREASE","cì-bjɛ̃i, *mi-jigo",
040,FEMALE,bùoˋi:,àʔoˋi
042,FOREST (BUSH),ì-kúrmì (H.),
043,CHICKEN/FOWL,*i-janḿa,ca-
044,"FRY, TO BAKE IN ASHES, TO",wátə̀gà,wátə́gámá
045,"GIVE, TO",pálá,pálə́m̀à
046,"GO, WALK, TO",híǹdọ̀,híǹdóm̀à
049,GUINEA-FOWL,ì-làgù,cì-
050,HEAD,bù-kwɛ̀ŋgjè,ŋ̀-kwàŋgə̀
051,HEART,bə̀-gɛ́tɛ̀,ŋ̀-gátà
052,HEAVY,ìʒə̃́:tọ̀,
053,HOE: CULTIVATE,"hwã́, húdọ̀","hwã́mã̀, húdɔ́mà"
055,"LEG, FOOT",ù-və̀ǹà,cì-
056,LEOPARD (‘PANTHER’),ìgõ̂,ìgɛ̃̂
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO","gáɟìgà, kínànlá","gáɟígámá, kínámànlá"
060,MEAT,ì-dágù,
062,"MOUNT, TO",dídànà,dídánə́mã̀
063,NAME,nə̀-zóʔò,à-
064,NIGHT: DAY OF 24 HOURS,ìŋhwúlà,ìŋhǎnlâ
065,FAN PALM (BORASSUS AETHIOPUM),bə̀-kwɛ́:kwɛ̀,ùŋ-kwá:kwâ
065.1,OIL PALM (ELAEIS GUINEENSIS),bə̀-kwɛ́:kwɛ̀,ùŋ-kwá:kwâ
066,PERSON,vá:tu,ǎ:tà
070,RAPHIA PALM,bìkɛ̀lú,ìŋkàlú (= H. túkúrwáa); cìkàlù
073,ROAD: PATH,ìjwã̀,ìɲwɛ̃̀
074,"ROAST ON COALS, TO",ndôsò,ndósómà
075,"ROT, TO",hwə́sò,
077,SEND: WORK,ì’áikjì,
080,"SHINE, BE LIGHT, BE WHITE TO",ìtàshì,
081,SING,zúŋgà,zúŋgámà
082,"SKIN, HIDE, BARK","ì-lápà, soʔò, ìgúgù","cì-sóʔómà, à-"
083,SMELL (OF): SMELL (TR.),wúsúmònò; wúsúmónə́mà,
084,SNAKE,ìhwáʔà,ìhwɛ́ʔɛ̀
087,TO SPIT,ə-tḿbi,
090,"STONE, ROCK",ì-tà:jà,à-
091,TAKE OUT OF: EMPTY,kásà,kásə́mà
092,THING,ì-jì,
093,"TONGUE, LANGUAGE","àɲà:tu, ʧìgánə̀ŋgà","ʧiɲà:tû, ʧìgànà:ŋgà"
094,TOOTH,nì-ɲíɲù,à-
095,TORTOISE,ì-kwàkí:kə̀w,à-
096,TREE,ì’à’ù,ì’ɛ̀’ù
098,WANT (DESIRE): LACK SEEK,gúmànà,
099,WAR,ì-gjásà,"i-gyese, (?)"
100,WATER,mò,
101,WING,ì-piã̀,cì-
102,"WOMAN, WIFE",bùʔõi bùʔõi,"àʔc,i, àʔõi"
103,ONE,hĩ,
104,TWO,jó:gó,
106,FOUR,nó:ʃì,
107,FIVE,tá,
108,SIX,ʧĩ́hĩ̀,
109,SEVEN,tíndàlò,
110,EIGHT,tíndátù,
111,NINE,tíndíʃì,
112,TEN,úpá,
113,FIFTEEN,swà:gə̀tá,
114,TWENTY,kùʤìjò,
115,HUNDRED,ìkwà:ku; dəri,

