BNC ID,Gloss,Phonetic,Pl Phonetic
001,ANIMAL,ɛ-zan,
004,ARROW,ɛ-dan,
007,"BAD (BE), TO",ɛ-nɛ:p,
009,BEG (ASK FOR S.T.),*n-dɛŋɛ(:ni) *(m)-bemi(:ni),
010,BELLY,e-ni,
012,BUFFALO,ɛ-dɛm,
014,CALABASH,o-gu:n,
016,CHARCOAL,o:-go; o:-gog,
017,CHILD,wodɔri,
019,"COOL, BE(COME) TO",*ewuru:ni,
022,COW/CATTLE,ɛ:-fam,
025,"DANCE, TO",n-damani:bin,
027,DIE: DEATH,m-be:ni,
030,"BECOME DRY, TO",ɛ-jari:ni,
031,EAR,*ɔ:di,
032,"EAT, TO",n-ʧin,
033,EGG,ɛ-sɛr  ɛ-gɔwa,
034,ELEPHANT,e-ɲi,
036,EYE,ʤɛn,ʤɛn
037,"FALL, TO",n-tɔni,
038,"FAT, OIL, GREASE","a-dɔn, ɛ-gɛn",
041,FIREWOOD,*e-mit,
043,CHICKEN/FOWL,ɛ-gɔwa,
050,HEAD,ɛ-tɔ,
054,"KILL, TO",m-forɔn ɛ:gɔɣɔ,
055,"LEG, FOOT",ɔ-dak,
056,LEOPARD (‘PANTHER’),ɛ-kbe,
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",nuwunuɣo,
060,MEAT,ɛ-zaǹ;  *ɛ́-ʃɛ:n,
064,NIGHT: DAY OF 24 HOURS,"a-bani, *e:-fífi",
065,FAN PALM (BORASSUS AETHIOPUM),ú:-ʧ,
065.1,OIL PALM (ELAEIS GUINEENSIS),ú:-ʧ,
066,PERSON,o-som,
067,"PIG (DOMESTIC, WILD)",ɛ-si,
073,ROAD: PATH,ɛ-to,
079,"SEW, TO",*ŋgámo:ba,
082,"SKIN, HIDE, BARK",*ɛ́-gbɛ ʃɛ́n;  *ɛ́:-gba,
084,SNAKE,ʤɔk;  *ʧɔk,
086,"SPEAK, TO",*ndóro:ni,
090,"STONE, ROCK",ɛ-tan,
091,TAKE OUT OF: EMPTY,*ndá:ni,
093,"TONGUE, LANGUAGE",ɔ-men,
094,TOOTH,san,san
096,TREE,ɔ-gɔm; *é-ʃɛ,
099,WAR,*é:-kɔ;,
100,WATER,*ma:n,
102,"WOMAN, WIFE",o-nɛ+gwa,
103,ONE,ʤeŋ,
104,TWO,e-fa,
106,FOUR,i-na,
107,FIVE,w’obɔk,
108,SIX,baragɔŋ,
109,SEVEN,baragɔŋ efa,
110,EIGHT,baragɔŋ  edat *ɔwarɛ́:rat;*ɔwɛ́:rat,
111,NINE,o-fi ʤop,
112,TEN,(eri) ʤɔp,
113,FIFTEEN,*ʧin,
114,TWENTY,ɛ-nɛp,
115,HUNDRED,a-nem o-bɔk,
115.1,TWO HUNDRED,o-gɔt,
116,FOUR HUNDRED,ɛ-gɔr ɛ-fa,

