BNC ID,Gloss,Phonetic,Pl Phonetic
001,ANIMAL,di-nam,
010,BELLY,la,
012,BUFFALO,jat,
017,CHILD,we-jen,
022,COW/CATTLE,rando,
024,CROCODILE,zior,
031,EAR,a-ton,a-
033,EGG,ahie,ahie
034,ELEPHANT,ni,
036,EYE,jo,jo
038,"FAT, OIL, GREASE","m-wal, basele",
043,CHICKEN/FOWL,gongo,
050,HEAD,di-si,
051,HEART,a-zo,
055,"LEG, FOOT",fwel kurwash,
056,LEOPARD (‘PANTHER’),kie,
060,MEAT,di-nam,
064,NIGHT: DAY OF 24 HOURS,"fwat, dilel",
065.1,OIL PALM (ELAEIS GUINEENSIS),fɔ̀lɔ̀,ì-fɔ̀lɔ̀
066,PERSON,nisit,
067,"PIG (DOMESTIC, WILD)",kau,
073,ROAD: PATH,ja,
084,SNAKE,jo,
090,"STONE, ROCK",i-ʃieŋ,
093,"TONGUE, LANGUAGE",di-rem,
094,TOOTH,jin,
096,TREE,jere,
099,WAR,dur,
100,WATER,ba-mal,
102,"WOMAN, WIFE",mbia,minja
103,ONE,"teŋ, di-taŋ, -teŋ",
104,TWO,peŋ,
106,FOUR,nas,
107,FIVE,ton,
108,SIX,taran,
109,SEVEN,tamvan,
110,EIGHT,taras,
111,NINE,nas,
112,TEN,jod,
114,TWENTY,jodpwa,

