BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,nə̀:mə̂ (ø-(v),,nə̀:mnə̂ (ø-(a))
003,ARMPIT,d-hàpà,,c-
004,ARROW,-dè:la,,s-
005,ASHES,m-tɔ́ŋ,,
006,ASK (A QUESTION),ìpkə̂,,
007,"BAD (BE), TO",-nà:-,,
008,BEAN,v-jálà,,s-
009,BEG (ASK FOR S.T.),kòná,,
010,BELLY,d-bə̀tə̀,,c-
011,BITE,ɛ̀:pɛ̀,V,
012,BUFFALO,kɔ̀bɔ́,,kɔ̀bnɔ̂
013,"BUILD, TO (CF. SEW)",mǎ,,
014,CALABASH,ì-hònò,,m̀-
015,CARVE,sɛ̀bɛ̀,,
017,CHILD,wà,,àknâ
018,COME OUT,rwə́ŋ; rwə́,,
019,"COOL, BE(COME) TO",tùdú,,
021,COUNT: DRAW A LINE,"ògə̀mâ, gyɛ̀nɛ́",,
023,CRAB,àvà,,àvnà
024,CROCODILE,cwí:mə̀,,cwí:mnə̀
025,"DANCE, TO",hèvá,,
026,DEPTH,s-lɔ̀(s-),,
027,DIE: DEATH,wě,,
028,"DIVIDE, SHARE OUT, TO",wàn kâ,,
030,"BECOME DRY, TO","hwà, hɔ̌",,
032,"EAT, TO","rjà, rjákà",,
033,EGG,d-gjàŋ,,c- (d-/c-)
034,ELEPHANT,lɔ̀gmɔ̂,,lɔ̀gə́mnɔ̀(ø-(v)/ø-(a))
035,"EXTINGUISHED, BE TO",wě,,
036,EYE,d-ìsə́,,ø-ìsə́
038,"FAT, OIL, GREASE","m̀-sèmá, m̀-nèvé",,
039,FEAR,ə̀v-gyèlà (v.),,
041,FIREWOOD,cé cə̀ŋ hwèlá,,
043,CHICKEN/FOWL,kə́cì,,kə́cìnì
045,"GIVE, TO","nésè, nɛ́",,
046,"GO, WALK, TO",nòkà tə́,,
047,GRASSHOPPER,émà,,émnà
048,"GROW, BECOME STRONG, TO",gùbù,,
049,GUINEA-FOWL,rjògò,,rjògnò
050,HEAD,d-hí,,c-
051,HEART,k-dɛ̀bɛ̀,,c-
052,HEAVY,m̀ní,,
053,HOE: CULTIVATE,"kə́rmə̀, gɔ̀vɔ́",,
055,"LEG, FOOT",ù-ná,,s-
056,LEOPARD (‘PANTHER’),gwì:mì,,gwì:mnì
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO","lə̀tə́, lə́və̀",,
058,"LICK, TO",lɛ̀msɛ́,,
060,MEAT,nə́mə́,,(ø-(i))
061,MOULD TO,mǎ,,
062,"MOUNT, TO",sàkà,,
063,NAME,dìnə́,,c-dìnə́
064,NIGHT: DAY OF 24 HOURS,"gjòpó, s- (ø(m)/s-)",,
065,FAN PALM (BORASSUS AETHIOPUM),-újáŋ,,s-
065.1,OIL PALM (ELAEIS GUINEENSIS),-hjáŋ,,s-
066,PERSON,nòcó,,nè:tnâ
067,"PIG (DOMESTIC, WILD)","àlɛ́dɛ̀, àlɛ́dɛ̀nɛ̀",,
071,"REFUSE, RETAIN, TO",hòlà; hə́lə̀,,
072,"RESEMBLE, BE EQUAL TO",-hòn-,,
073,ROAD: PATH,k-lɛ̀vɛ́,,s-
074,"ROAST ON COALS, TO",kàgə̀dsá; ɔ̀tɔ̀; zɔ̌,,
075,"ROT, TO",zə̀mə́,,
077,SEND: WORK,còmá,,
078,"TRAP, TO SET A",rènà,,
079,"SEW, TO",zìlə́,,
082,"SKIN, HIDE, BARK",ù-wɛ̀dɛ́,,c-(u-/c-)
083,SMELL (OF): SMELL (TR.),kwɛ̀smá,,
084,SNAKE,òblâ,,òbə́lnà
086,"SPEAK, TO",ìgmə̂,,
090,"STONE, ROCK",d-tà:rè,,c-
093,"TONGUE, LANGUAGE",d-rémé,,c-
094,TOOTH,ʊ-nì:ně,,nì:nə́
095,TORTOISE,kà:rò,,kà:rnò
096,TREE,cě,,scě
097,TWIN,wà rús-ù,,jà-nù
098,WANT (DESIRE): LACK SEEK,"tɔ̀nɔ̀, rásà  H.",,
099,WAR,d-gà:gò,,c- (d-/c-)
100,WATER,m̀hɔ̀ (:),,
101,WING,ù-kàpó,,c-(u-/c-)
102,"WOMAN, WIFE","nètá, nètá",,"nètànâ, nètànâ"
103,ONE,ʧiŋ,,
104,TWO,ìllə̀; ìʔílə̀,,
106,FOUR,"nássé, ìná:sè",,
107,FIVE,táŋ; ìtâŋ,,
108,SIX,"ʧíhèn, -ʧíhèŋ",,
109,SEVEN,tàŋílə̀,,-taŋilə
110,EIGHT,jə́:rù,,-jə́:rù
111,NINE,dó:rè  ìdó:rè,,
112,TEN,ó:pá,,
113,FIFTEEN,ó:pá nìtâŋ,,
114,TWENTY,də̀kwɛ̀zɛ̀,,
115,HUNDRED,zə̀ŋgú,,
117,THOUSAND,zə̀ŋgú  ʔó:pá,,

