BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,mà-námà,,ǹ-
003,ARMPIT,kù- pã̀jã̀,,à-
004,ARROW,kà-jàʔà,,à-
005,ASHES,kò-kòmò,,ò-
006,ASK (A QUESTION),è:cè,,
007,"BAD (BE), TO",gbanəgbani,,
008,BEAN,kà-wàjà,,à-
010,BELLY,kə̀-tsùmə̀,,è-
011,BITE,lùmà,V,
012,BUFFALO,kjã́:cì,,mã́:cì
013,"BUILD, TO (CF. SEW)",màʔà,,
014,CALABASH,mò-kóʔò,,ǹ-
015,CARVE,ʃèʔwè,,
017,CHILD,mà:kù,,mù:kù
018,COME OUT,ùtə̀,,
019,"COOL, BE(COME) TO",tə̀:xə̀,,
021,COUNT: DRAW A LINE,kècè,,
023,CRAB,mà-kànà,,ǹ-
024,CROCODILE,"kã̀-j,ṹpù",,ã̀-
025,"DANCE, TO",jèʔè,,
026,DEPTH,ù-gə̀vì,,
027,DIE: DEATH,kùwə̀,,
028,"DIVIDE, SHARE OUT, TO",pè:cè,,
030,"BECOME DRY, TO",ɗè:kpè,,
032,"EAT, TO",ljàʔà,,
033,EGG,kò-kòwò,,ò-
034,ELEPHANT,kà-gìwà,,à-
035,"EXTINGUISHED, BE TO",kìmmə̀,,
036,EYE,kə́:-ʃì,,ə́:-
038,"FAT, OIL, GREASE",mà-nĩ́’ĩ̀,,
039,FEAR,wõ̀vò,,
040,FEMALE,vù-ká,,à-mə́ci
041,FIREWOOD,mà-ɗángà,,ǹ-
043,CHICKEN/FOWL,mò-tòkù,,ǹ-
045,"GIVE, TO",nèkè,,
046,"GO, WALK, TO",bànà,,
047,GRASSHOPPER,kà-kjṹʔũ̀,,à-
048,"GROW, BECOME STRONG, TO",gbòngùrò,,
049,GUINEA-FOWL,kà-ɗàkù,,à-
050,HEAD,kà-cí,,à-
051,HEART,kə̀-ɗú,,ə̀-
052,HEAVY,ə̀mìkì,,
053,HOE: CULTIVATE,cìmbà,,
055,"LEG, FOOT",kù-nè,,è-
056,LEOPARD (‘PANTHER’),kà-námà,,à-
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",và:kù,,
058,"LICK, TO",pèɗè,,
060,MEAT,vù-ɲámà,,ì-
061,MOULD TO,màʔà,,
062,"MOUNT, TO",kùmbà,,
063,NAME,kù-là,,ù-
064,NIGHT: DAY OF 24 HOURS,"kã́j,ĩ̀",,
065,FAN PALM (BORASSUS AETHIOPUM),"kà-kùlù,mə̀-ʃə̂m",,à-ǹ-
065.1,OIL PALM (ELAEIS GUINEENSIS),"kà-kùlù, mə̀-ʃə̂m",,à-ǹ-
066,PERSON,vùmà,,ùmà
067,"PIG (DOMESTIC, WILD)",kù-ʤímâ,,
068,"PRESS, SQUEEZE OUT, MILK",pìʃà,,
069,QUARREL,ʃìlkə̀,"V, N",
070,RAPHIA PALM,"kà-ʃùwà, kò-wò",,"ǹ-, ò-"
071,"REFUSE, RETAIN, TO",ʔĩ̀w)ã̀,,
072,"RESEMBLE, BE EQUAL TO",àkàmà  H.,,
073,ROAD: PATH,ù-jè,,
074,"ROAST ON COALS, TO",zàtskù,,
076,RUBBISH-HEAP,kə̀kí:zə̂,,ə̀kí:zə̂
077,SEND: WORK,sù:kù,,ùlìŋgà
078,"TRAP, TO SET A",àzkù,,
079,"SEW, TO",jìlə̀,,
080,"SHINE, BE LIGHT, BE WHITE TO","àkànà, ə́rmə̂",,
082,"SKIN, HIDE, BARK","ùkpã̀, kə́:vû",,ə́:vû
083,SMELL (OF): SMELL (TR.),"ʃà´ :mâ, tsúɱgbâ",,
084,SNAKE,kó:kò,,ó:kò
085,SONG,vù-ʃìpà,,ì-
086,"SPEAK, TO",dã̀sà,,
087,TO SPIT,ʤìrà,,
088,"SPREAD IN SUN TO DRY, TO",é:ckpê,,
090,"STONE, ROCK",kà-tà:lì,,à-
091,TAKE OUT OF: EMPTY,tsũ̀w)ɔ̃̀,,
092,THING,ì:-lî,,
093,"TONGUE, LANGUAGE",kèléntsû,,èléntsû
094,TOOTH,kà-ngà,,à-
095,TORTOISE,mà-kpàgà,,m̀-
096,TREE,mà-ɗáŋgà,,ǹ-
097,TWIN,mpeʃe,,
098,WANT (DESIRE): LACK SEEK,"cìgà, lə́nsə̂",,
099,WAR,kù-võ̀,,
100,WATER,mìnì,,
101,WING,kù-vèlù,,è-
102,"WOMAN, WIFE","vùkâ, vùkâ",,"ə̀mə́cî H.?, ə̀mə́cî"
103,ONE,-tè,,
104,TWO,-rè,,
106,FOUR,-nə́ʃì,,
107,FIVE,-tã́ũ,,
108,SIX,-tə̀:lì,,
109,SEVEN,ʧìndèrè,,
110,EIGHT,kúnlə̀i,,
111,NINE,kùʧì,,
112,TEN,kùpà,,
113,FIFTEEN,gèndù; kùppá nàzátɔ̃̂,,
114,TWENTY,kà-màngà,,à-
115.1,TWO HUNDRED,ùkpàkù,,

