BNC ID,Gloss,Phonetic,Word Category
001,ANIMAL,njə́m,
003,ARMPIT,ʃò,
004,ARROW,mùn,
005,ASHES,tùp,
006,ASK (A QUESTION),(ì)mís,
007,"BAD (BE), TO",ʃjíxknì,
008,BEAN,kúwʊ́n,
010,BELLY,vùŋ,
011,BITE,ì númúm,V
013,"BUILD, TO (CF. SEW)",ì ʃə̀ɣə́m,
014,CALABASH,kwə̀r,
017,CHILD,mʊ́n,
027,DIE: DEATH,ì wúm,
028,"DIVIDE, SHARE OUT, TO",ì  gìbìm,
030,"BECOME DRY, TO",ìn-jómə́m,
032,"EAT, TO",ì  lím,
033,EGG,kì,
034,ELEPHANT,ń-zúɣù,
036,EYE,mi-sḿ,
038,"FAT, OIL, GREASE",mút,
040,FEMALE,mám,
041,FIREWOOD,ń-gún-bɨ́s,
043,CHICKEN/FOWL,kàt (H.),
045,"GIVE, TO",ì pám,
046,"GO, WALK, TO",ì bìyémà,
047,GRASSHOPPER,ḿbàs,
049,GUINEA-FOWL,gə̀ŋ,
050,HEAD,mʊ̀t,
051,HEART,ń-ʤɪ́m,
052,HEAVY,jáɣə́l,
055,"LEG, FOOT",kús,
056,LEOPARD (‘PANTHER’),ḿ-bít,
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",núwɔ̀m,
060,MEAT,njə́m,
062,"MOUNT, TO",ì jə́ʃə̀m,
063,NAME,lòx,
064,NIGHT: DAY OF 24 HOURS,dùk,
066,PERSON,ʃò,
068,"PRESS, SQUEEZE OUT, MILK",(ì)kə́mə̀t,
071,"REFUSE, RETAIN, TO",ì-ʃín,
073,ROAD: PATH,n-ʤə̀r,
074,"ROAST ON COALS, TO",(ì-) tòn,
077,SEND: WORK,gán,
079,"SEW, TO",(ì) sórə́m,
080,"SHINE, BE LIGHT, BE WHITE TO",fú,
082,"SKIN, HIDE, BARK",n-gùp  də́ŋ,
083,SMELL (OF): SMELL (TR.),ì wə́ɣə́m  rùm,
084,SNAKE,jox,
086,"SPEAK, TO",ìʃɪ́ʃɪ́m,
088,"SPREAD IN SUN TO DRY, TO",íǹ jómə́m,
090,"STONE, ROCK",ɗàɣál,
092,THING,gɪ́r,
093,"TONGUE, LANGUAGE","lìs, lə̀s",
094,TOOTH,min,
095,TORTOISE,kúl,
096,TREE,ń-gún,
099,WAR,lò,
100,WATER,bín,
101,WING,kə́p,
102,"WOMAN, WIFE",mám,
103,ONE,mòk,
104,TWO,ʃàrí,
106,FOUR,jǐn,
107,FIVE,tówʊ̀n,
108,SIX,tə́ŋsɛ́lmò,
109,SEVEN,tə́ŋsɛ́l  ʃarí,
110,EIGHT,kɛ́sjǐn,
111,NINE,kɛ̀stówʊ́n,
112,TEN,lùm,
114,TWENTY,lùm kwi lùm,
115,HUNDRED,lùmí lùm,

