BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,i-noŋ nnuk,,
003,ARMPIT,ʧok-mgba,,
004,ARROW,i-kwea,,
005,ASHES,i-toŋ,,
006,ASK (A QUESTION),i-rib,,
007,"BAD (BE), TO",kukuk,,
008,BEAN,i-sen,,
009,BEG (ASK FOR S.T.),li-lom,,
010,BELLY,a-reh,,
011,BITE,jouŋ-o,V,
012,BUFFALO,i-ʤàt,,i-ʤát
013,"BUILD, TO (CF. SEW)",i-meej,,
014,CALABASH,gbukpa,,
016,CHARCOAL,i-gbir,,
017,CHILD,jeaven; akuer,,
018,COME OUT,dor-ru,,
019,"COOL, BE(COME) TO",asis,,
020,CORPSE,i-kom,,
021,COUNT: DRAW A LINE,i-gbor+uloŋ,,
022,COW/CATTLE,i-jagk,,
024,CROCODILE,a-kur,,
025,"DANCE, TO","i-zorr, i-zorr",,
026,DEPTH,masit-se-vir,,
027,DIE: DEATH,"kuu, i-kuu",,
028,"DIVIDE, SHARE OUT, TO",gab,,
029,"DRAW (WATER), TO",gbop,,
030,"BECOME DRY, TO",asa korl,,
032,"EAT, TO",rea,,
033,EGG,a-ʃe,,
034,ELEPHANT,i-ni,,
035,"EXTINGUISHED, BE TO",i-tituŋ,,
036,EYE,i-jis,,a-
037,"FALL, TO",*aʤaku,,
038,"FAT, OIL, GREASE","a-hep, a-ji",,
039,FEAR,sisip,,
040,FEMALE,nu-gwa,,
041,FIREWOOD,i-koni-te  u-gwor,,
042,FOREST (BUSH),gmunuk,,
043,CHICKEN/FOWL,kiʧo,,
044,"FRY, TO BAKE IN ASHES, TO","karr, huk ijo i-toŋ",,
045,"GIVE, TO",nogo,,
046,"GO, WALK, TO",sen,,
047,GRASSHOPPER,mago-ro-ro,,
048,"GROW, BECOME STRONG, TO","tub, asani ʃes",,
049,GUINEA-FOWL,i-kor,,
050,HEAD,i-to,,
051,HEART,di-sonn,,
052,HEAVY,a-loss,,
053,HOE: CULTIVATE,ihum,,
054,"KILL, TO",nwun,,
055,"LEG, FOOT",i-za,,a-
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO","ki-kut, nabo",,
058,"LICK, TO",azir,,
060,MEAT,ì-nɔŋ,,
061,MOULD TO,*monr,,
062,"MOUNT, TO",húm,,
063,NAME,ǹ-sàk,,î-nsák
064,NIGHT: DAY OF 24 HOURS,"à-túk, *i-vej",,
065,FAN PALM (BORASSUS AETHIOPUM),"ì-ɽèk,ù-sɛ̀wŋ",,"ì-ɽék,í-nsɛ́wŋ (deleb)"
065.1,OIL PALM (ELAEIS GUINEENSIS),"ì-ɽèk,ù-sɛ̀wŋ",,"ì-ɽék,í-nsɛ́wŋ (deleb)"
066,PERSON,nésít,,á-
067,"PIG (DOMESTIC, WILD)",à-lɛ̀dɛ̀,,à-lɛ́dɛ̀
068,"PRESS, SQUEEZE OUT, MILK",ŋwàn,,
069,QUARREL,vùŋ vùŋ,"V, N",
071,"REFUSE, RETAIN, TO","kàk, *tates",,
072,"RESEMBLE, BE EQUAL TO",à-ɽùù,,
073,ROAD: PATH,á-ŋkɪ̀m,,a̍-ŋkɪ́m
074,"ROAST ON COALS, TO",húk,,
075,"ROT, TO",gwɔ́n,,
076,RUBBISH-HEAP,tó-bɽùm,,
077,SEND: WORK,* tóm ù-ndɔ́m,,ìndɔ̀m
078,"TRAP, TO SET A",tɛ́n tɪ̀ntám,,
079,"SEW, TO",kwán,,
080,"SHINE, BE LIGHT, BE WHITE TO",kɛ̀r,,
081,SING,sɛ́m,,
082,"SKIN, HIDE, BARK","kwá, ù-kwá, kú-kùp (ù-kwɔ́n)",,", ì-ŋkwà"
084,SNAKE,ì-gwà,,i-gwá
085,SONG,ù-sɛ́m,,
086,"SPEAK, TO",ù-rɛ̀,,
087,TO SPIT,túnàntɛ́,,
088,"SPREAD IN SUN TO DRY, TO",tɛ̃́ɽ,,
089,"STICKY, TO BE",ǹʤàp,,
090,"STONE, ROCK",títá,,a̍-ti’tá ù-hwán
091,TAKE OUT OF: EMPTY,tún; rɪ̀ŋ,,
092,THING,ì-kɛ̀,,íí-kê
093,"TONGUE, LANGUAGE","ì-lɛ́m, ì-ní",,í-
094,TOOTH,ɪ̀-ŋjɪ́r,,à-
095,TORTOISE,kùrháp,,á-kúrhàp
096,TREE,ú-kwɔ́n,,í-ŋkwɔ́n
097,TWIN,a̍-hɛ́s,,
098,WANT (DESIRE): LACK SEEK,ɲúɲ,,
099,WAR,ì-kóm,,
101,WING,à-ŋgbá,,á-
102,"WOMAN, WIFE",nú-gwá; ú-gwá,,
103,ONE,ù-nʤɛ̀ŋ,,
104,TWO,ù-ŋhã́,,
106,FOUR,ù-nás,,
107,FIVE,ù-tɔ́ŋ,,
108,SIX,ù-táání,,
109,SEVEN,ù-tááŋgbá,,
110,EIGHT,ù-tááŋgát,,
111,NINE,ù-tɽás,,
112,TEN,ù-gúr (7 ù-sɔ́k twelve),,
113,FIFTEEN,*sogo into mu-toŋ,,
114,TWENTY,sɔ̀ɣéhã́,,
115,HUNDRED,ŋ́gɔ́ɔ́ŋɔ̀,,
116,FOUR HUNDRED,ŋ̀gɔ̀ŋénàs,,
117,THOUSAND,dúbú H.; *dubu mu-ʤin H.,,

