BNC ID,Gloss,Phonetic,Word Category
001,ANIMAL,*n-bil; njam,
003,ARMPIT,*hammata; takkap,
004,ARROW (<Hausa),kifiya,
005,ASHES,*toka; tup,
006,ASK (A QUESTION),tambaya (H.); doar,
007,"BAD (BE), TO",*baʧi (H.); l ɓip,
008,BEAN,*wake (H.); kun,
009,BEG (ASK FOR S.T.),doar,
010,BELLY,*ʧiki; buŋ,
011,BITE,"*tum, num",V
012,BUFFALO,ndak zum,
013,"BUILD, TO (CF. SEW)",gini,
014,CALABASH,kum,
015,CARVE,sassaka (H.),
016,CHARCOAL,tun; *kal,
017,CHILD,mun,
018,COME OUT,*pur,
019,"COOL, BE(COME) TO",poljit; *fwal,
021,COUNT: DRAW A LINE,bal,
022,COW/CATTLE,n-dak,
023,CRAB,kalla,
024,CROCODILE,gan,
025,"DANCE, TO",bin-ngwam,
026,DEPTH,lim,
027,DIE: DEATH,"wu, *wuh",
028,"DIVIDE, SHARE OUT, TO",*gab,
029,"DRAW (WATER), TO",twak ʤam,
030,"BECOME DRY, TO",jom,
032,"EAT, TO",li,
033,EGG,ki,
034,ELEPHANT,n-zuʔu,
035,"EXTINGUISHED, BE TO",lim,
036,EYE,*mu-ʃi,
037,"FALL, TO",ko,
038,"FAT, OIL, GREASE",mút,
039,FEAR,wup,
040,FEMALE,"mam, ngalap",
041,FIREWOOD,n-gun-bis,
043,CHICKEN/FOWL,kaza (H.),
044,"FRY, TO BAKE IN ASHES, TO",kánh; ton,
045,"GIVE, TO",pa,
046,"GO, WALK, TO","ʃer; *ka, sa",
047,GRASSHOPPER,ʤar,
048,"GROW, BECOME STRONG, TO",gul,
049,GUINEA-FOWL,gáŋ,
050,HEAD,mùt,
051,HEART,n-ʤim; *bal,
053,HOE: CULTIVATE,bunhus,
054,"KILL, TO",hjat,
055,"LEG, FOOT",kwaʔat; *ku ʃi,
056,LEOPARD (‘PANTHER’),m-bit,
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",*nwan,
058,"LICK, TO",nanhas,
060,MEAT,njam,
061,MOULD TO,ʃak,
062,"MOUNT, TO",j’ap,
063,NAME,*di-njil; lwak,
064,NIGHT: DAY OF 24 HOURS,duk,
066,PERSON,*bo,
067,"PIG (DOMESTIC, WILD)",alede (H.); ʃimbrm,
068,"PRESS, SQUEEZE OUT, MILK",ndaŋ,
071,"REFUSE, RETAIN, TO",*min; *ba ka,
073,ROAD: PATH,*n-ʤar,
077,SEND: WORK,*tum,
079,"SEW, TO",sɔ́ron,
085,SONG,ŋjal; *gjel,
087,TO SPIT,ta,
088,"SPREAD IN SUN TO DRY, TO",nhaab,
090,"STONE, ROCK",tal,
091,TAKE OUT OF: EMPTY,purun; *wopi,
092,THING,gr; abu  H.,
093,"TONGUE, LANGUAGE","las, gingh",
094,TOOTH,miin,
095,TORTOISE,kul,
096,TREE,n-gun,
097,TWIN,pas,
098,WANT (DESIRE): LACK SEEK,jat,
099,WAR,lo,
101,WING,kap; fukafiki,
102,"WOMAN, WIFE",see FEMALE,
104,TWO,rwap; *bari,
106,FOUR,jín,
107,FIVE,toan,
108,SIX,toŋ-salmwak,
109,SEVEN,kestat; *twansa bari,
110,EIGHT,keʃ-ʃin,
111,NINE,kestoan,
112,TEN,*lum,
113,FIFTEEN,*lum ko toan,
114,TWENTY,lumi rwa,
115,HUNDRED,lumilúm,
116,FOUR HUNDRED,zambar; *dari hudu H.,
117,THOUSAND,dufu H.; *dubu H.,

