BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,fɪ-nawa,,
003,ARMPIT,ki-jo,,
004,ARROW,u-ʧilak; *o-ʧellak,,ti-
005,ASHES,in-ton,,
006,ASK (A QUESTION),u-tirimi,,
007,"BAD (BE), TO",nanzan,,
008,BEAN,e-ʃum,,
009,BEG (ASK FOR S.T.),uroko (< H.),,
010,BELLY,li-buri,,
011,BITE,u-kifinu,V,
012,BUFFALO,ku-kau,,
013,"BUILD, TO (CF. SEW)",u-ke,,
014,CALABASH,ki-ʃik,,
015,CARVE,u-kezu,,
016,CHARCOAL,ti-ʧimi,,
017,CHILD,gono,,
018,COME OUT,u-nuzu,,
019,"COOL, BE(COME) TO",u-lanzu tutuwui,,
020,CORPSE,**libi,,
021,COUNT: DRAW A LINE,u-ʤa u-laji (H.),,
022,COW/CATTLE,**fi-na; **kuluka,,
024,CROCODILE,kuku-kunon,,
025,"DANCE, TO","**su  a-vu, a-vu",,
026,DEPTH,ʧanʧam,,
027,DIE: DEATH,"u-ku, u-ku",,
028,"DIVIDE, SHARE OUT, TO",koso,,
029,"DRAW (WATER), TO",u-tiw,,
030,"BECOME DRY, TO",u-kotu,,
031,EAR,*kɔ-tɔf,,a-
032,"EAT, TO",u-li,,
033,EGG,li-kwai (<H.); *li-pai,,a-kpai
034,ELEPHANT,*fe-ro,,e-
035,"EXTINGUISHED, BE TO",u-molu,,
036,EYE,li-zi; *ijizi,,i-zi
037,"FALL, TO",u-diu,,
038,"FAT, OIL, GREASE","im-mai; *ti-bip, *nof",,
039,FEAR,fiw,,
040,FEMALE,u-nit,,
041,FIREWOOD,a-ʧan-la,,
042,FOREST (BUSH),"a-ʧa (pl.), ku-liri",,
043,CHICKEN/FOWL,*ko-koro,,a-
044,"FRY, TO BAKE IN ASHES, TO","**lawa, u-ʤuʤu",,
045,"GIVE, TO",u-ni,,
046,"GO, WALK, TO",u-du,,
047,GRASSHOPPER,kuʧin,,
048,"GROW, BECOME STRONG, TO","akara, u-kunʤu",,
049,GUINEA-FOWL,**ku-det,,
050,HEAD,li-ti,,
051,HEART,a-ji,,
052,HEAVY,ge-tek,,
053,HOE: CULTIVATE,u-ʃaru,,
054,"KILL, TO",u-moku,,
055,"LEG, FOOT",ku-bunu,,
056,LEOPARD (‘PANTHER’),*ko-pe,,a-
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO","u-no, u-nato umon",,
058,"LICK, TO",lele,,
060,MEAT,fi-nawa,,**i- (?); *fe-nauwa
061,MOULD TO,uke nin na ʧara,,
062,"MOUNT, TO",u-anu,,
063,NAME,li-sa,,
064,NIGHT: DAY OF 24 HOURS,ki-tik,,
065,FAN PALM (BORASSUS AETHIOPUM),im-mai; kuʧanʃmanʤa; H. ku kwakwa,,
065.1,OIL PALM (ELAEIS GUINEENSIS),im-mai; kuʧanʃmanʤa; H. ku kwakwa,,
066,PERSON,o-net,,anti
067,"PIG (DOMESTIC, WILD)",kuladu; *ko-raŋga,,
068,"PRESS, SQUEEZE OUT, MILK","udoduna, **malina",,
069,QUARREL,su kubun kubun,"V, N",
070,RAPHIA PALM,in-ʧem; **ku-kuluk,,
071,"REFUSE, RETAIN, TO",anaza,,
072,"RESEMBLE, BE EQUAL TO","u-koma, (?) u-korna H?, a-di daidai H.",,
073,ROAD: PATH,li-bo,,
074,"ROAST ON COALS, TO",uʤuʤu,,
076,RUBBISH-HEAP,kuwun tizun ʃara,,
077,SEND: WORK,katwa,,
078,"TRAP, TO SET A",u-tu injan,,
079,"SEW, TO",u-tunu,,
080,"SHINE, BE LIGHT, BE WHITE TO","uwaltu, ula, ubo",,
081,SING,su avu,,
082,"SKIN, HIDE, BARK","kukwa kidowo, kukwa finawa",,
083,SMELL (OF): SMELL (TR.),kunje,,
084,SNAKE,fijij,,
085,SONG,avu,,
086,"SPEAK, TO",u-liru,,
088,"SPREAD IN SUN TO DRY, TO",ute,,
089,"STICKY, TO BE","u-danku  H., **gangan",,
090,"STONE, ROCK",li-tala,,
091,TAKE OUT OF: EMPTY,u-fulu,,
092,THING,i-mon,,
093,"TONGUE, LANGUAGE","li-lem, timap",,
094,TOOTH,*li-jini,,a-
095,TORTOISE,**kukulufet (H.?),,
096,TREE,ku-ʧa,,
097,TWIN,i-bari,,
098,WANT (DESIRE): LACK SEEK,"u-su; u-dimunba, usalin se, upiziru",,
099,WAR,*li-kom,,
100,WATER,inwen,,
101,WING,a-gilit,,
102,"WOMAN, WIFE","uwani, uwani",,
103,ONE,*lu-ruŋ,,
104,TWO,im-ba,,
106,FOUR,nnas,,
107,FIVE,n-ntaun,,
108,SIX,ku-toʧin,,
109,SEVEN,kuzor,,
110,EIGHT,kuliv,,
111,NINE,kutivi,,
112,TEN,kulidir *likure,,
113,FIFTEEN,likure nin nitau,,
114,TWENTY,akut aba,,
115,HUNDRED,likalt,,
115.1,TWO HUNDRED,akalt aba,,
116,FOUR HUNDRED,akalt anas,,

