BNC ID,Gloss,Phonetic,Pl Phonetic
001,ANIMAL,bi-nemi,
004,ARROW,e-ʔel,
005,ASHES,mu-oto,
007,"BAD (BE), TO",i:  lewo,
008,BEAN,bi:-gaja,i:-
009,BEG (ASK FOR S.T.),(mi:) roko:,
010,BELLY,*mo-ʧe:aŋgu,a-
012,BUFFALO,bi-hasi,
014,CALABASH,e-hongu; *i-koa:ra,ʃi-koa:ra
016,CHARCOAL,bi:-rono,mo:-
017,CHILD,bo:o,
020,CORPSE,i-ʔu,
022,COW/CATTLE,*bi-na,e:-na
024,CROCODILE,ŋ-us,
025,"DANCE, TO",ci-hjebu,
027,DIE: DEATH,mo u:ɔ,
030,"BECOME DRY, TO",i-ho:so,
031,EAR,a-tobi,
032,"EAT, TO",mo lewa,
033,EGG,le:-nge,a:-; ɛ-ɛgi
034,ELEPHANT,u-gjo,
036,EYE,e-jis,
037,"FALL, TO",mo: hine:i,
038,"FAT, OIL, GREASE",mə-nəbi,
041,FIREWOOD,*jɛ:ɔ̃,
042,FOREST (BUSH),*o:-ri:aba,i:-
043,CHICKEN/FOWL,woa:roma,ʃia:ro:ma
045,"GIVE, TO",ma: pu:a,
046,"GO, WALK, TO",mi gu:o,
049,GUINEA-FOWL,i-rjɛgu,
050,HEAD,e-to,
051,HEART,e-koko,
054,"KILL, TO",-ʃilan-,
055,"LEG, FOOT",e-bwonə,
056,LEOPARD (‘PANTHER’),u-gəbi,
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO","mo: ʃindiga:ne, le:ʧi",
060,MEAT,*u:-zúmbo: a,
064,NIGHT: DAY OF 24 HOURS,"*á-gítã, *ɔ́:hõhõ",
065,FAN PALM (BORASSUS AETHIOPUM),*bí-ʃi:wa,mó-
065.1,OIL PALM (ELAEIS GUINEENSIS),*bí-ʃi:wa,mó-
066,PERSON,bo-tɔ,
067,"PIG (DOMESTIC, WILD)",kaɗo,
073,ROAD: PATH,e-jń,
079,"SEW, TO",*í:-teŋga,
080,"SHINE, BE LIGHT, BE WHITE TO",ʧene,
082,"SKIN, HIDE, BARK",*u-wá:ba,a-
084,SNAKE,hoʔa;  *á:-hu:a,ʃé:-
085,SONG,hazəg,
086,"SPEAK, TO",*(mi:)*ʧúza:ma,
090,"STONE, ROCK",tare,
091,TAKE OUT OF: EMPTY,*mo wá:o,
093,"TONGUE, LANGUAGE",á-rjĩn,
094,TOOTH,e-jala  *lí:-ni:e ni:e,á:-
095,TORTOISE,u-ogʌl,
096,TREE,u-əə; *ó:-õõ,jɛ́:õ
099,WAR,ə-gas,
100,WATER,mńi,
102,"WOMAN, WIFE",bo-ə,
103,ONE,*hĩ́:a; ndɛ,
104,TWO,i-rjɛ,
106,FOUR,i-nəʃi,
107,FIVE,i-taʔa,
108,SIX,i-tunihi,
109,SEVEN,i-tandərjɛ,
110,EIGHT,i-totato,
111,NINE,i-tińdəsi,
112,TEN,ʔupa,
113,FIFTEEN,*ópa:  tá:a,
114,TWENTY,*opá:li:e,

