BNC ID,Gloss,Phonetic,Pl Phonetic
003,ARMPIT,lalá,
005,ASHES,ò-kro,
008,BEAN,ʃékè,
010,BELLY,ri-hú,
012,BUFFALO,mɛ-rɛ́,
017,CHILD,"-wúʧì, -wóná",mà-; mà-
022,COW/CATTLE,ɔ̀-ndɔ,
023,CRAB,la̍-krɔ̀,
024,CROCODILE,mɛ-kru,
031,EAR,o-tò,
033,EGG,o-kè,
036,EYE,o-jí,
038,"FAT, OIL, GREASE",wa̍-no,
042,FOREST (BUSH),à-meʤí,
043,CHICKEN/FOWL,me-nà,
049,GUINEA-FOWL,mɛ-kɛ̀,
050,HEAD,re-sé,
055,"LEG, FOOT",ù-kpri,
056,LEOPARD (‘PANTHER’),me-kò,
060,MEAT,ɔ-ʃɛ́,
063,NAME,ɔ-ndɛ́ (F.?),
064,NIGHT: DAY OF 24 HOURS,o-ʧú,
065,FAN PALM (BORASSUS AETHIOPUM),dàʃó,
065.1,OIL PALM (ELAEIS GUINEENSIS),dàʃó,
066,PERSON,u-ŋgrí,ma̍-
073,ROAD: PATH,gàhe,
082,"SKIN, HIDE, BARK",làgbárú,
084,SNAKE,me’-wá,
090,"STONE, ROCK",kí-kɛ̀,
093,"TONGUE, LANGUAGE",o-ré,
094,TOOTH,ɔ-ri,
095,TORTOISE,mɛ-klú,
096,TREE,a̍-kó,
100,WATER,mànjí,
101,WING,la̍-ʃá,
102,"WOMAN, WIFE","o-ŋá, òŋgre’-ŋá",ma̍-;
103,ONE,ɔ-rí,
104,TWO,o-hà,
106,FOUR,à-nɛ,
107,FIVE,à-tà,
108,SIX,a̍ndra̍,
109,SEVEN,a̍-ta̍mbà,
112,TEN,àwo,

