BNC ID,Gloss,Phonetic,Pl Phonetic
001,ANIMAL,wi,
010,BELLY,fĩri,
012,BUFFALO,wigiri,
013,"BUILD, TO (CF. SEW)",-mi-,
017,CHILD,mutua tiluɣo,
022,COW/CATTLE,nai,
024,CROCODILE,nimíni,
031,EAR,sɔŋ,
033,EGG,"kje, kũri",
034,ELEPHANT,wiŋi,
036,EYE,zo,
038,"FAT, OIL, GREASE","sabo, biru",
043,CHICKEN/FOWL,kũri,
046,"GO, WALK, TO",jaɣa,
050,HEAD,kɪ-ni,
051,HEART,zɔmale,
055,"LEG, FOOT",tsaĩbari,
056,LEOPARD (‘PANTHER’),fiəi,
060,MEAT,wi,
063,NAME,zɛni,
064,NIGHT: DAY OF 24 HOURS,"biɛ pɪri, njunuŋ",
066,PERSON,mpɛrə,mpɛr
067,"PIG (DOMESTIC, WILD)",zo,
073,ROAD: PATH,pimpin-uŋ,
077,SEND: WORK,sɔmo,
080,"SHINE, BE LIGHT, BE WHITE TO",migi təra,
084,SNAKE,dɔ-ɪŋ,
090,"STONE, ROCK",a-suŋ,
092,THING,bɪŋɪnɪŋ,
093,"TONGUE, LANGUAGE",nami,
094,TOOTH,ŋɪri,
096,TREE,bĩ (or hini),
099,WAR,kãri,
100,WATER,zapɛrə,
102,"WOMAN, WIFE",wura,ba wuri
103,ONE,zuŋ ~ zɔŋ,
104,TWO,pieniŋ,
106,FOUR,njie,
107,FIVE,soaniŋ,
108,SIX,"sunʤe,",
109,SEVEN,sunpiɛniŋ,
110,EIGHT,hũ rĩ ine,
111,NINE,θiəu,
112,TEN,dup,
113,FIFTEEN,gʃan sarə,
114,TWENTY,kɛ-fiɛniŋ,
115,HUNDRED,aso zuŋ,
115.1,TWO HUNDRED,aso piɛniŋ,
116,FOUR HUNDRED,aso njie,

