BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,ɲ̀-ɲàm,,ɛ̀-
003,ARMPIT,ɛ-gbɛab,,a-
005,ASHES,a̍-təɔŋ,,
006,ASK (A QUESTION),"bʌ́b  ,",,
010,BELLY,ǹ-là,,à-
011,BITE,tɔ́ɣɔ́,V,
012,BUFFALO,ɱ-fəoŋ,,ɛ-
014,CALABASH,ɛ-bʌr,,m-
017,CHILD,m-mɔn,,a̍-bɔn
018,COME OUT,lɔ̂ŋ,,
019,"COOL, BE(COME) TO",ɛ̀k-kəɔ̀gɔ̀,,
021,COUNT: DRAW A LINE,fâl,,
023,CRAB,ɛ-kal,,a̍-
025,"DANCE, TO",bʌ́n,,
027,DIE: DEATH,kpɔ́,,
028,"DIVIDE, SHARE OUT, TO",bɛáŋɛ̀,,
030,"BECOME DRY, TO",wóm,,
031,EAR,ɛ-tuʊŋ,,a̍-
032,"EAT, TO",lí,,
033,EGG,ɛ̀-ʤɛ̀,,à-
034,ELEPHANT,ɲ̀-ʤəɔ̀g,,ɛ̀-
035,"EXTINGUISHED, BE TO",lʌ́mɛ́,,
036,EYE,ɛn-mʌr,,a̍-
037,"FALL, TO",gbɔ̂,,
038,"FAT, OIL, GREASE","a̍-fɔm, a-kəŋ, a̍-fɔm",,
041,FIREWOOD,ɛ-kon,,ŋ-
042,FOREST (BUSH),ɛ̀-kòl  ò-gbɛ̀,,à-..ò-
043,CHICKEN/FOWL,ŋ̀-kəɔ̀g,,ɛ̀-
044,"FRY, TO BAKE IN ASHES, TO",kəáŋɛ́,,
046,"GO, WALK, TO",ʤɛ̂n,,
050,HEAD,ɛ-si,,a̍-
051,HEART,ɛt-tem,,ǹ-
053,HOE: CULTIVATE,"kpəáŋɛ́, bʌ̂m",,
054,"KILL, TO",wól,,
055,"LEG, FOOT",ɛ-ta̍,,a̍-
056,LEOPARD (‘PANTHER’),ŋm̀-gbɛ̀,,ɛ̀-gbɛ̀ŋm̀gbɛ̀
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",nəɔ́ŋə̀,,lál
060,MEAT,ɲ̀-ɲàm,,
061,MOULD TO,mə́ɔ̀ŋ,,
062,"MOUNT, TO",wʌ́r,,
063,NAME,m̀-bièŋ,,à-
064,NIGHT: DAY OF 24 HOURS,"a̍-tu, ɛ-fəoŋ",,a̍-
065,FAN PALM (BORASSUS AETHIOPUM),ɛ-boŋ,,m-
065.1,OIL PALM (ELAEIS GUINEENSIS),ɛ-boŋ,,m-
066,PERSON,ǹ-nɛ̀,,à-
067,"PIG (DOMESTIC, WILD)","ɛ́-kə́òg, ŋ̀-goòmò",,"á, ɛ̀-"
068,"PRESS, SQUEEZE OUT, MILK",káamɛ́,,
071,"REFUSE, RETAIN, TO",tɛ́n,,
072,"RESEMBLE, BE EQUAL TO",fə́ɔŋɔ́,,
075,"ROT, TO",bɔ̂l,,
077,SEND: WORK,ɛt-tom,,n-
079,"SEW, TO",ʤʌ̂m,,
080,"SHINE, BE LIGHT, BE WHITE TO",já,,
081,SING,jém,,
082,"SKIN, HIDE, BARK","ŋ̀-gò, ɛ-kpɛa̍ɣɛ",,"à-, a̍-"
083,SMELL (OF): SMELL (TR.),wɪ́nɔ́,,
084,SNAKE,ɲ’-ɲɔ,,ɛ
086,"SPEAK, TO",bəóŋ,,
087,TO SPIT,fʌ́m,,
088,"SPREAD IN SUN TO DRY, TO",bán,,
091,TAKE OUT OF: EMPTY,jégè,,
092,THING,ɛ-ʤom,,ɲ’-sɔl
093,"TONGUE, LANGUAGE",ɛ́l-lígí,,ń- [n]
094,TOOTH,ɛm-mən,,a̍-
096,TREE,ɛ-te,,n-
099,WAR,ɛt-ta̍,,n-
100,WATER,a̍-lʌb,,
101,WING,ɛ̀-kpəˋoŋmkpəˋoŋ,,à-
102,"WOMAN, WIFE","nlɪ-ka̍l, ŋ-ka̍l",,"a̍bɪ-, a̍-"
103,ONE,á-ʤə́ŋ,,
104,TWO,ɛ́b-bál,,
106,FOUR,ɛ́-ní,,
107,FIVE,ɛ́l-lɔ́n~ɛ́-,,
109,SEVEN,ɛ̀-sɪ̀mmâ,,
112,TEN,ɛ́-wóbò,,
113,FIFTEEN,ɛ́k-kô,,
114,TWENTY,ɛ́t-tʌ̂l,,á-
115.1,TWO HUNDRED,ɛ̀-gɔ̀r,,

