BNC ID,Gloss,Phonetic,Word Category
001,ANIMAL,njə́m,
003,ARMPIT,ma,
004,ARROW,mín,
005,ASHES,túbù,
006,ASK (A QUESTION),yí rə́nsə̀ŋ,
007,"BAD (BE), TO",ʤìvnì,
008,BEAN,kʊ̀n,
010,BELLY,lɨ́m,
011,BITE,yí nɨ́mɨ́ŋ,V
013,"BUILD, TO (CF. SEW)",yí bə́ɣə́n,
014,CALABASH,kwə́r,
017,CHILD,mɨ́n,
027,DIE: DEATH,"yí wóŋ,",
028,"DIVIDE, SHARE OUT, TO",ɥí gə̀bə̀ŋ,
030,"BECOME DRY, TO",á-jìmɨ́m,
032,"EAT, TO",jí líjə́ŋ,
033,EGG,kí,
034,ELEPHANT,ń-zóɣò,
036,EYE,mì-ʃí,
038,"FAT, OIL, GREASE",mùɗú,
040,FEMALE,máám,
041,FIREWOOD,ń-gáxà,
043,CHICKEN/FOWL,ń-gùbú,
045,"GIVE, TO",jí ʃínjɛ́n,
046,"GO, WALK, TO",yí kárə̀n,
047,GRASSHOPPER,ḿbásá,
049,GUINEA-FOWL,gə́ŋ,
050,HEAD,múɗù,
051,HEART,bál,
052,HEAVY,rúndúmí,
055,"LEG, FOOT",kʊ́rsù,
056,LEOPARD (‘PANTHER’),ŋ-jɪ́m,
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",jí nówə̀ŋ,
060,MEAT,njə́m,
062,"MOUNT, TO",jí ábə̀ŋ,
063,NAME,njɪ́n,
064,NIGHT: DAY OF 24 HOURS,dùɣɛu,
066,PERSON,ma,
068,"PRESS, SQUEEZE OUT, MILK",(ji) ndə̀rsə́ŋ,
071,"REFUSE, RETAIN, TO",(jí) ʒìnə́ŋ,
073,ROAD: PATH,n-ʤə́r,
074,"ROAST ON COALS, TO",(ji) tonə̀n; sáɗə́ŋ,
077,SEND: WORK,gàn,
079,"SEW, TO",(jí) tɪ̀mə́ŋ,
080,"SHINE, BE LIGHT, BE WHITE TO",fʊ́vni,
082,"SKIN, HIDE, BARK","ńgúbù, kwə́rʔá",
084,SNAKE,jɔ̀ɣɔ́,
086,"SPEAK, TO",jí  nə́ŋ,
088,"SPREAD IN SUN TO DRY, TO",ájì mɪ́n,
090,"STONE, ROCK",tə́l (?),
092,THING,gɪ́r,
093,"TONGUE, LANGUAGE","làsà, kʊ́n",
094,TOOTH,mìjìn,
095,TORTOISE,kʊ́l,
096,TREE,ń-gʊ̀n,
099,WAR,ló,
100,WATER,mʊ́r,
101,WING,vwonjíl,
102,"WOMAN, WIFE",máám,
103,ONE,mòɣɔ́ʔ,
104,TWO,ʃári,
106,FOUR,jín,
107,FIVE,túwʊn,
108,SIX,tɪʃa,
109,SEVEN,səbɪ́r,
110,EIGHT,něn,
111,NINE,fúɣú,
112,TEN,lǔm,
114,TWENTY,lǔm bə̀nì ʃar,
115,HUNDRED,lǔm bə̀nì lǔm,

