BNC ID,Gloss,Phonetic,Pl Phonetic
001,ANIMAL,nam,
004,ARROW,xiet,
010,BELLY,su,
012,BUFFALO,zat,
017,CHILD,uŋgwɔn,
031,EAR,fufwo,fufwo
033,EGG,a-ʧi,-ʧi
034,ELEPHANT,zoɔm,
036,EYE,ɛ-li,li-
038,"FAT, OIL, GREASE","kɪʧe (H.), xiau",
043,CHICKEN/FOWL,juan,
050,HEAD,a-pio,
051,HEART,a-lio,
055,"LEG, FOOT",ta:k,
056,LEOPARD (‘PANTHER’),tjɔ,
060,MEAT,nam,
064,NIGHT: DAY OF 24 HOURS,"tiɛ-tuk, mam",
066,PERSON,a-tub ɪʃi,a-tjora
073,ROAD: PATH,va:k,
084,SNAKE,za:k,
090,"STONE, ROCK",a-faŋ,
093,"TONGUE, LANGUAGE",a-¥am,
094,TOOTH,a-njuŋ,i-
096,TREE,ɪn-kwɔn,
097,TWIN,ij-ʧir,
099,WAR,zaŋ,
100,WATER,sɔxwɔt,
102,"WOMAN, WIFE",abi-juk,an-jur
103,ONE,ʒɔ̀; a-njuŋ,
104,TWO,veaŋ ~feaŋ ~fian,
106,FOUR,njai,
107,FIVE,suɔn ~a-fuon~foɔn,
108,SIX,a-tei,
109,SEVEN,na-tat,
110,EIGHT,ri-nnai,
111,NINE,ɔkubu-njuŋ,
112,TEN,suak ~ sa:k,
113,FIFTEEN,suak...ʒũ,
114,TWENTY,ʃɔŋfeaŋ,
115,HUNDRED,ʧi,
115.1,TWO HUNDRED,ʧi feaŋ,
116,FOUR HUNDRED,ʧi njai,

