BNC ID,Gloss,Phonetic,Word Category
001,ANIMAL,ɲâm,
003,ARMPIT,màʔ-,
007,"BAD (BE), TO",ɛ̀bə̀pí màʔ,
010,BELLY,á-bùm,
011,BITE,á-kpálì,V
017,CHILD,mjǎ,
027,DIE: DEATH,à-wə́,
032,"EAT, TO",à-djě,
036,EYE,d-ǐʔ,
043,CHICKEN/FOWL,kúʔ,
045,"GIVE, TO",á-bə̀,
050,HEAD,ǹlwě,
055,"LEG, FOOT",é-kuə̀,
056,LEOPARD (‘PANTHER’),ŋ́-guɔ̀ʔ,
064,NIGHT: DAY OF 24 HOURS,bǐŋ,
066,PERSON,màʔ- (‘homo’),
080,"SHINE, BE LIGHT, BE WHITE TO",épúbə; púbə,
086,"SPEAK, TO",a̍jàm,
090,"STONE, ROCK",à-lə́,
093,"TONGUE, LANGUAGE",è-ɟə́m,
094,TOOTH,á-sṍŋ,
096,TREE,ɟə̂n,
104,TWO,a̍àbə̀,
106,FOUR,a̍nnì,

