BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,-nà,,-nà
003,ARMPIT,à-ɣáʔà,,
005,ASHES,à-búù,,è-
006,ASK (A QUESTION),lɔ́n-tə̂ (!); bɪ́ŋ-sə̂ (!),,
007,"BAD (BE), TO",bə́ə̀ (!),,
008,BEAN,--,,mə̀-kúù
009,BEG (ASK FOR S.T.),lɔ́n-tə̂ (!),,
010,BELLY,nɛ̀-bɔ̀m̀,,mə̀-
011,BITE,lúŋ-ə̀ (!),V,
012,BUFFALO,ǹ-ʤùá,,
013,"BUILD, TO (CF. SEW)",wùrə́-ə̀ (!),,
014,CALABASH,à-tíŋɛ̀,,é-
015,CARVE,sɛ́rɛ́ (!),,
016,CHARCOAL,--,,ǹ-kíɛ̀
017,CHILD,mɔ́ɔ̀bɔ́ɔ̀,,
018,COME OUT,fû,,
019,"COOL, BE(COME) TO",m̀-fə́ə̀ (inf.),,
020,CORPSE,à-kwúù,,è-
021,COUNT: DRAW A LINE,sɛ́ŋɛ̀ (!) kàá (!),,
023,CRAB,-ká,,bə̀-
024,CROCODILE,-nà+ŋ-kí,,
025,"DANCE, TO",bɛ́nɛ̀ (!),,
026,DEPTH,fí,,
027,DIE: DEATH,"kwúɔ́ (!), nə̀-wúɔ̀--",,
028,"DIVIDE, SHARE OUT, TO",ɣàà-tə̂,,
030,"BECOME DRY, TO",zúŋɔ̀,,
032,"EAT, TO",ʒý-ə̀ (!),,
033,EGG,nə̀-bùŋ+nú+ŋ-gwù  [bùŋ+mú+ŋ-gwù],,mə̀-
034,ELEPHANT,ǹ-tsɛ́ǹ,,ǹ- ~mɛ̀-n-
035,"EXTINGUISHED, BE TO",bɛ́-tə̂ (!),,
036,EYE,né-léè,,méè
037,"FALL, TO",wúɔ̀ (!),,
038,"FAT, OIL, GREASE",nə̀-fúŋ̀---,,---mə̀-ɣwúrù
039,FEAR,bɔ̀ɔ̀ (!) (v.),,
040,FEMALE,mɛ̀-ŋ-gíɛ́,,
041,FIREWOOD,--,,ŋ̀-kwéì
042,FOREST (BUSH),"à-kwə́/ ə̀-, à-fɔ̀ə̀-; (bush), --",,
043,CHICKEN/FOWL,ŋ̀-gwúù,,ŋ̀-
044,"FRY, TO BAKE IN ASHES, TO","káŋá (!), tɔ́ɔ̀ (!), fɔ̀m-tə̂ (!)",,
045,"GIVE, TO",fíɛ̀,,
046,"GO, WALK, TO",gə́ (!),,
047,GRASSHOPPER,-sə́ʔə,,bə̀-
048,"GROW, BECOME STRONG, TO","wɛ́ɛ̀ (!), kwɛ́ɛ̀ (!), tɛ̀n-tə̂ (!)",,
050,HEAD,à-tíɛ̀,,è-
051,HEART,ǹ-tɪ́ŋˋ,,mə̀-n-
052,HEAVY,drə́-ə̀,,
053,HOE: CULTIVATE,líʔɛ̀ (!),,
055,"LEG, FOOT",à-kò,,mə́-
056,LEOPARD (‘PANTHER’),à-fɔ̀nə̀,,ì-fɔ̀nɛ̀
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",nɔ́ŋ-ɔ́ (!),,swɪ̀ŋ-ɪi (!)
058,"LICK, TO",lɪ́ŋ-ə̀ (!),,
060,MEAT,-nà,,
061,MOULD TO,búŋ̀ (!),,
062,"MOUNT, TO",kɔ́ʔɔ̀ (!),,
063,NAME,è-lỳɛ́n,,mə̀-
064,NIGHT: DAY OF 24 HOURS,"è-túʔɔ̀, ǹ-ʤúɛ̀",,"mə̀-túʔù, ǹ-"
065,FAN PALM (BORASSUS AETHIOPUM),nə̀-ɣɛ́rɛ́,,mə̀-
065.1,OIL PALM (ELAEIS GUINEENSIS),nə̀-ɣɛ́rɛ́,,mə̀-
066,PERSON,-ŋwù,,bə̀-
067,"PIG (DOMESTIC, WILD)",-kú+ɲàm,,bə̀-
068,"PRESS, SQUEEZE OUT, MILK","ʒí!ʔɛ́, nɔ́ʔɔ́",,
069,QUARREL,sáʔá-nə̀ ǹ-sáʔá,"V, N",
070,RAPHIA PALM,à-tɔ́ʔɔ̀è-,,
071,"REFUSE, RETAIN, TO",í (!),,
072,"RESEMBLE, BE EQUAL TO","fí (!), bə́ (!)",,
073,ROAD: PATH,ǹ-dúŋˋ,,mɛ̀-n-
074,"ROAST ON COALS, TO",tɔ́ (!),,
076,RUBBISH-HEAP,à-tíɛ́+mə́-krɔ̀,,
077,SEND: WORK,à-fàʔà,,
078,"TRAP, TO SET A",bɛ̀n-tə́ (!),,
079,"SEW, TO",tá-à (!),,
080,"SHINE, BE LIGHT, BE WHITE TO",á-tí!ə́,,
081,SING,zə̀b-ə́ (!),,
082,"SKIN, HIDE, BARK",-nóò ŋ́-gwó+nà,,-ŋ́-
083,SMELL (OF): SMELL (TR.),lə̀m-sə̂ (!),,
084,SNAKE,fù-ɲíɛ̀,,mə̀-
085,SONG,ǹ-ʤàŋˋ,,ǹ-
086,"SPEAK, TO",bɔ́ŋ-nə̂ (!),,
087,TO SPIT,túù (!),,
089,"STICKY, TO BE",tàŋ-ə́ (!),,
090,"STONE, ROCK",ŋ̀-gɔ̀ʔ-ə̀,,- -ɔ̀
091,TAKE OUT OF: EMPTY,mə̀-tɔ̂* (!),,
093,"TONGUE, LANGUAGE","à-lɪ́ŋ̀, à-bɔ̀ŋnə̀",,"è-, -"
094,TOOTH,nə̀-sɔ̀ŋ́,,mə̀-
095,TORTOISE,-kwímɔ̀+ŋ-kɔ̀ʔɔ̀bə̀-,,
096,TREE,à-tìí,,è-
097,TWIN,nə̀-fáà,,mə̀-
098,WANT (DESIRE): LACK SEEK,sɔ̀ʔá (!),,
099,WAR,ǹ-ʧìə̀,,
100,WATER,ŋ̀-kí,,
101,WING,nə̀-bàɣə̀rə̀,,mə̀-
102,"WOMAN, WIFE",mɛ̀-ŋ-gjɛ́ wà,,bɛ̀-ŋ-gjɛ́ báà my
103,ONE,mɔ̀ʔɔ́,,
104,TWO,bí!ɛ́,,
106,FOUR,kwà,,
107,FIVE,táǹ,,
108,SIX,ǹ-tòú,,
109,SEVEN,sààmbá,,
110,EIGHT,nɛ̀-fá,,
111,NINE,nɛ̀-bùʔɔ,,
112,TEN,nɛ̀-ɣə́m̀,,
113,FIFTEEN,ǹ-ʧìɛ̀+táǹ,,
114,TWENTY,mə̀-ɣɛ́m+mə́+m-!bíɛ́,,
115,HUNDRED,ŋ́-kɛ́rɛ́,,
115.1,TWO HUNDRED,ŋ̀-kɛ̀rɛ̀ bíɛ́,,
117,THOUSAND,ǹ-ʧùʔù,,

