BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,ɲʌ̀m,,
003,ARMPIT,kə̀-kág,,
004,ARROW,kə́t [kət  ¯ ],,
005,ASHES,bwə́-mbɔ̀g-$  [buəḿbɔgə],,
006,ASK (A QUESTION),pɛ́t-tě [pɛttəˉ # ],,
007,"BAD (BE), TO",kə̀-bwɔ̀ [kəbʊɔˉ ],,
008,BEAN,[ŋkhun   _  ],,ŋ-kún (pl.)
010,BELLY,pàm [pam],,
011,BITE,lum-ˇ [duməˉ # ];  cɔ́g-ˇ [cɔgə # # ],V,
012,BUFFALO,ɲát [ɲa̍tˉ],,
013,"BUILD, TO (CF. SEW)",kwíl-ˇ  [kwileˉ # ],,
014,CALABASH,tə́ [tə # ],,
015,CARVE,kúm-ˇ  [kūmə̄],,
017,CHILD,mɛ́n [mɛn ˉ ],,
018,COME OUT,túm-ˇ [thúmə́],,
019,"COOL, BE(COME) TO",*m-fiág,,
021,COUNT: DRAW A LINE,siáŋ-ˇ  [siaŋə # # ],,
023,CRAB,[kʌmtutˉ_ ],,
024,CROCODILE,ŋgʌ́ɲʌm,,
026,DEPTH,lámntsə,,
027,DIE: DEATH,kwɨ́  [kwɨ̄],,
028,"DIVIDE, SHARE OUT, TO",ɣʌ̀p-tě [ɣʌptə #´  ],,
030,"BECOME DRY, TO",jáp-ˇ  [jageˉ# ],,
032,"EAT, TO",ɟɨ́  [ɟʒɨ̄ ]  fɛ́l-ˇ,,
033,EGG,púm [pumˉ],,
034,ELEPHANT,ɲ-jiə́n [nzń ˉ ],,
035,"EXTINGUISHED, BE TO",pí [pix  ˉ ],,
036,EYE,lág [lag ˉ ],,
038,"FAT, OIL, GREASE",mfɛ́t [mvɛt ˉ ],,
040,FEMALE,mɛnzwi  - ˉ,,
043,CHICKEN/FOWL,ŋ-gáp  [ŋgapˉ],,
045,"GIVE, TO",fʌ́,,
046,"GO, WALK, TO",ohɛ̀n-´ [hɛnə  -ˉ],,
047,GRASSHOPPER,ŋgamntʌn ˉ -,,
048,"GROW, BECOME STRONG, TO",pílě [piləˉ ˉ],,
049,GUINEA-FOWL,ŋgathuˋ-,,
050,HEAD,tú [thu ˉ ],,
051,HEART,ntiˉ,,
052,HEAVY,lɛlə-ˉ,,
053,HOE: CULTIVATE,[diʔɨ̄ˉ],,
055,"LEG, FOOT",kxuˋ,,
056,LEOPARD (‘PANTHER’),ɲ-ɟwì [nzwi],,
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",nɔ̌ [nɔ´ ],,
058,"LICK, TO",lal-ˇ [lalə ˉ ˉ],,
060,MEAT,mbʌpˉ,,
061,MOULD TO,púm-ˇ [púmə́],,
063,NAME,lɛ́n,,
065,FAN PALM (BORASSUS AETHIOPUM),tə́ǹə́,,
066,PERSON,mɛ́n-ntîn,,
067,"PIG (DOMESTIC, WILD)",ŋgɪ́ɲʌ̀m,,
068,"PRESS, SQUEEZE OUT, MILK",ɲi-,,
071,"REFUSE, RETAIN, TO","ɣá, ʧɛ́t-tě",,
072,"RESEMBLE, BE EQUAL TO",fútə́,,
073,ROAD: PATH,ɲjìə̀,,
074,"ROAST ON COALS, TO",ká,,
075,"ROT, TO",pǐ,,
077,SEND: WORK,thumə,,
079,"SEW, TO",ta̍mə,,
080,"SHINE, BE LIGHT, BE WHITE TO",tʌ́; ɟiág-ˇ,,
082,"SKIN, HIDE, BARK",ŋgɣûb,,
083,SMELL (OF): SMELL (TR.),làmə́,,
084,SNAKE,ɲú,,
086,"SPEAK, TO",cób-ˇ,,
087,TO SPIT,tɔ̀gˉ´,,
090,"STONE, ROCK",ŋgùʔ,,
093,"TONGUE, LANGUAGE",lém,,
094,TOOTH,sɔ́,,
095,TORTOISE,tswḿʌŋkuʔ [ ˉˉˋ-],,
096,TREE,tɪ́,,
097,TWIN,mə́-fág,,
098,WANT (DESIRE): LACK SEEK,kɔ̌,,
101,WING,pʌ̀p´,,
102,"WOMAN, WIFE",see FEMALE,,
104,TWO,pʌ́´,,
106,FOUR,kuʌ̀,,
107,FIVE,tʌ̂n,,
108,SIX,ntágə,,
109,SEVEN,sàmbâ,,
110,EIGHT,fómə,,
111,NINE,buə̀,,
112,TEN,ɣám,,

