BNC ID,Gloss,Phonetic,Pl Phonetic
001,ANIMAL,ɛ-ran,
004,ARROW,kɛ-sa,
010,BELLY,lɛ-mɛ,
012,BUFFALO,e-lobomerotɔ,
017,CHILD,wati,
033,EGG,la-ʤɪra,
034,ELEPHANT,a-lo,
036,EYE,dzɛn,
038,"FAT, OIL, GREASE","lɛ-be, bane",
043,CHICKEN/FOWL,kɛ-kɔ,
050,HEAD,lɛ-ta,
055,"LEG, FOOT",kɔ-ta,
056,LEOPARD (‘PANTHER’),kɪ-kpomolo,
060,MEAT,ɛ-ran,
064,NIGHT: DAY OF 24 HOURS,kɛ-tum,
066,PERSON,a-nɔ,
067,"PIG (DOMESTIC, WILD)",ɛz’  elomorotɔ,
073,ROAD: PATH,a-tu o-de,
084,SNAKE,dzɔl,
090,"STONE, ROCK",le-ta-tal,
093,"TONGUE, LANGUAGE",lɛ-da,
094,TOOTH,lɛ-rar,
096,TREE,ka-ra,
099,WAR,kɔ-lu,
102,"WOMAN, WIFE",ɛ-la+gwa,i-
103,ONE,kone; ogua,
104,TWO,ko-va; e-ba,
106,FOUR,"ko-na, e-na",
107,FIVE,ko-bwɔ,
108,SIX,brane,
109,SEVEN,brɛba,
110,EIGHT,boɛsa,
111,NINE,rubɛʤi,
112,TEN,ʤɔ ʔ,
114,TWENTY,lɔ-lɔp,

