BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,nam,,
003,ARMPIT,*a-ŋaiam,,
004,ARROW,xiɛt,,
005,ASHES,*ŋ-toŋ,,
006,ASK (A QUESTION),*lijib,,
007,"BAD (BE), TO",*katuk,,
008,BEAN,*tswà,,tswá (?)
009,BEG (ASK FOR S.T.),nāi,,
010,BELLY,kǎ-fa:; tsuo,,
011,BITE,*mab,V,
012,BUFFALO,zat,,
013,"BUILD, TO (CF. SEW)",nɔk (?),,
014,CALABASH,*ham,,hám
015,CARVE,ʃab,,
016,CHARCOAL,*ʧa:n; *win,,
017,CHILD,baŋgwɔn; gwɔnuŋ,,
018,COME OUT,gwut (?),,
019,"COOL, BE(COME) TO",*fak ʃi-ʃjim,,
020,CORPSE,*-kwom,,ŋ-
021,COUNT: DRAW A LINE,"*faŋ, *hwak laŋ",,
022,COW/CATTLE,njak,,
023,CRAB,*a-gaga,,aja-
024,CROCODILE,*tsàŋ,,tsáŋ
025,"DANCE, TO","*s’wóŋ, *s’wòŋ",,
026,DEPTH,**suwap,,
027,DIE: DEATH,"fwu, xwu  ?, *a-hwu",,
028,"DIVIDE, SHARE OUT, TO",*kau,,
029,"DRAW (WATER), TO",*bwo,,
030,"BECOME DRY, TO",*hwat,,
031,EAR,ɸuɸwo,,ɸuɸwo
032,"EAT, TO",ja (?),,
033,EGG,e-ʧi,,ʧi
034,ELEPHANT,ʒwɔm,,
035,"EXTINGUISHED, BE TO",*njib,,
036,EYE,ɛ-li,,lɪ-
037,"FALL, TO",*ʃod,,
038,"FAT, OIL, GREASE","kitse (H.), xiau",,
039,FEAR,*a-wun,,
040,FEMALE,a-nab,,
041,FIREWOOD,*nkwan-wai,,
042,FOREST (BUSH),*swob,,
043,CHICKEN/FOWL,miuan  ~ juan,,
044,"FRY, TO BAKE IN ASHES, TO","*kaʔat, *gub",,
045,"GIVE, TO",*nwak,,
046,"GO, WALK, TO","nat(?), ʧoŋ",,
047,GRASSHOPPER,*a-gàu,,a-gáu
049,GUINEA-FOWL,ʤián,,
050,HEAD,ɛ-pio,,
051,HEART,lio,,
052,HEAVY,*kpeb,,
053,HOE: CULTIVATE,ka:b,,
054,"KILL, TO",*hjat,,
055,"LEG, FOOT",ta:k,,
056,LEOPARD (‘PANTHER’),tjɔ,,
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO","*mio, naiab",,
058,"LICK, TO",tug,,
060,MEAT,-nám,,ə̀kà-
061,MOULD TO,kíjáj,,
062,"MOUNT, TO",ŋéák,,
063,NAME,ə-lýɔ́t,,lý-lɥɔ́t
064,NIGHT: DAY OF 24 HOURS,"ə̀tíé-túk, *a ta-man",,ə̀tìè-tùk
065,FAN PALM (BORASSUS AETHIOPUM),"*tswan,t̥t̥ʃ̥ə̀t̥t̥ʃə́t",,
066,PERSON,ə̀tì-bì ì,,ə́né-biʃì
067,"PIG (DOMESTIC, WILD)","ə-lɛ́de, zà",,"ə́jáà-lɛ̀de, zá"
068,"PRESS, SQUEEZE OUT, MILK",ʃ’wi njak,,
069,QUARREL,"*fwon, *zwog","V, N",
070,RAPHIA PALM,xùɔ̀xúɔ́,,
071,"REFUSE, RETAIN, TO","*lag, *baŋ",,
072,"RESEMBLE, BE EQUAL TO",táj,,
073,ROAD: PATH,vák,,m̀-vàk
074,"ROAST ON COALS, TO",ʃɥàj,,
076,RUBBISH-HEAP,*a-toŋ,,ka-
077,SEND: WORK,tám,,"*-tam, n-"
078,"TRAP, TO SET A",tjɪ́rə́m,,
079,"SEW, TO",*tjwai,,
080,"SHINE, BE LIGHT, BE WHITE TO","sáj, *sai",,
081,SING,*bwam,,
082,"SKIN, HIDE, BARK",-kwá,,kú-
083,SMELL (OF): SMELL (TR.),*njwi,,
084,SNAKE,d̥ʒòák,,d̥ʒóák
085,SONG,*a̍bwam,,b’-
086,"SPEAK, TO",líját,,
087,TO SPIT,tá  tàmpjɔ̀,,
089,"STICKY, TO BE",ɲáp,,
090,"STONE, ROCK",ə̀-fáŋ,,m̀-fàŋ
091,TAKE OUT OF: EMPTY,bwɔ̀,,
092,THING,*-kjaŋ,,n-
093,"TONGUE, LANGUAGE","à-ljám, *al’jam; nwab",,lí-
094,TOOTH,ə-nɥúŋ,,əný-
095,TORTOISE,kù-vák,,kú-vàk
096,TREE,ə́-kwán,,ə̀kə̀-kwàn
097,TWIN,ə-hjááj,,ə̀kə̀-hjààj
098,WANT (DESIRE): LACK SEEK,ʧàt,,
099,WAR,ʤʤòáŋ,,
100,WATER,soxwɔt,,
101,WING,ə-féáp,,ə̀kə̀-fèàp
102,"WOMAN, WIFE",*abi-juk,,an-jur; *ɛ-ʃi
103,ONE,nɥûŋ,,
104,TWO,fɛ́áŋ,,
106,FOUR,nááj,,
107,FIVE,fwɔ́n,,
108,SIX,ə-táà,,
109,SEVEN,ə̀-nà-tát,,
110,EIGHT,ə̀-nà-nàj,,
111,NINE,ə̀kùbú-nɥúŋ,,
112,TEN,ṣák,,ṣàŋ
113,FIFTEEN,sák-má-fwɔ́n,,
114,TWENTY,gaŋ-fèàŋ,,
115,HUNDRED,ʧí,,
116,FOUR HUNDRED,ʧì ɲááj,,
117,THOUSAND,*ʧji-kwob,,

