BNC ID,Gloss,Phonetic
001,ANIMAL,u-leme
017,CHILD,pana
031,EAR,ta-ttɔ
036,EYE,le-ze
050,HEAD,u-kpai
051,HEART,jaɲe
055,"LEG, FOOT",tu-gbuna
056,LEOPARD (‘PANTHER’),unjarɛ
060,MEAT,i-nama
064,NIGHT: DAY OF 24 HOURS,lahare
066,PERSON,uk-wari
093,"TONGUE, LANGUAGE",ja-lim
096,TREE,ti-ʃi
100,WATER,mani
102,"WOMAN, WIFE",ma-dai
103,ONE,wandi
104,TWO,reke
106,FOUR,naze
107,FIVE,su
108,SIX,tase
109,SEVEN,bəsunari
110,EIGHT,bəsanaze
111,NINE,bita gene
112,TEN,lafa

