BNC ID,Gloss,Phonetic,Pl Phonetic
001,ANIMAL,e-be ~ -bje,
004,ARROW,a-bia,
010,BELLY,i-kpiki,
012,BUFFALO,e-sie,
017,CHILD,an-gwe,
031,EAR,o-to,
033,EGG,e-ʒi,e-
034,ELEPHANT,e-zi,
036,EYE,e-ji,
038,"FAT, OIL, GREASE","e-be, a-maisi",
043,CHICKEN/FOWL,e-ni,
050,HEAD,li-ʃi,
051,HEART,e-sõ,
055,"LEG, FOOT",a-daga,
056,LEOPARD (‘PANTHER’),e-gbie,
060,MEAT,e-be ~ e-bje,
064,NIGHT: DAY OF 24 HOURS,"ʧuʧuku, e-lulum",
065,FAN PALM (BORASSUS AETHIOPUM),də́dár;,
065.1,OIL PALM (ELAEIS GUINEENSIS),də́dár; ʃíʃí [n.c.],
066,PERSON,a-ringhi,marekufo
073,ROAD: PATH,o-ʤe,
084,SNAKE,e-mebi,
090,"STONE, ROCK",e-zhumu,
093,"TONGUE, LANGUAGE",a-nam,
094,TOOTH,a-ʤaga,
096,TREE,kô-kô,
099,WAR,tei-(te-)kwa,
100,WATER,e-mi,
102,"WOMAN, WIFE",a-ʧe,mwa-ʃe
103,ONE,keke,
104,TWO,a-ha,
106,FOUR,engji,
107,FIVE,ato,
108,SIX,efî,
109,SEVEN,foha,
110,EIGHT,fote,
111,NINE,funji,
112,TEN,okufo,
114,TWENTY,ufotare lemare aha,
115,HUNDRED,adaga; adaɣaha,

