BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,ɲ̀-ɲà,,ɛ̀-
003,ARMPIT,ɛ̀-gbâb,,bə̀- ~à-
005,ASHES,ǹ-tɔ̂ŋ,,
006,ASK (A QUESTION),bəmmɔ̀,,
010,BELLY,à-nà,,à- [l]
011,BITE,gʌ̂ŋ,V,
012,BUFFALO,ɱ̀-fɔŋ,,ɛ̀-
014,CALABASH,ɛ̀-bər,,ḿ-
017,CHILD,m̀-mɔ̌,,à-bɔ̌
018,COME OUT,rù,,
019,"COOL, BE(COME) TO",à-nɔ̀g,,
021,COUNT: DRAW A LINE,fàn,,
023,CRAB,ɛ̀-kan,,bə̀-
025,"DANCE, TO",bə̂n,,
027,DIE: DEATH,kpɔ̂,,
028,"DIVIDE, SHARE OUT, TO",bàŋà,,
030,"BECOME DRY, TO",jô,,
031,EAR,ɛ̀-tɔ̂ŋ,,à-
032,"EAT, TO",nɛ̂,,
033,EGG,ɛ̀-ʤi,,à-
034,ELEPHANT,ɲ̀-ʤɔ̀g,,ɛ̀-
035,"EXTINGUISHED, BE TO",nəmɛ̀,,
036,EYE,nə̀-mə̂r,,à-
037,"FALL, TO",gbɔ̀,,
038,"FAT, OIL, GREASE","à-fɔ̂, à-ku",,
041,FIREWOOD,ɛ̀-kon,,ŋ̀-
042,FOREST (BUSH),ɛ̀-kon  o-gbɛ̀,,à-...a̍ŋm-
043,CHICKEN/FOWL,ŋ̀-kɔ̌g,,ɛ̀-
044,"FRY, TO BAKE IN ASHES, TO",ka̍ŋà,,
046,"GO, WALK, TO",ʤɛ̀n,,
050,HEAD,ɛ̀-sî,,bì-
051,HEART,nə̀-te,,ǹ-
053,HOE: CULTIVATE,-bə̀m,,
054,"KILL, TO",jôn,,
055,"LEG, FOOT",ɛ̀-tâ,,à-
056,LEOPARD (‘PANTHER’),ŋm̀-gbɛ̀,,ɛ̀-
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",nɔ̀ŋɔ̂,,nân
060,MEAT,ɲ̀-ɲà,,
061,MOULD TO,"mɔ̀ŋ, tù",,
062,"MOUNT, TO",jʌ̂r,,
063,NAME,m̀-bèŋ,,à-
064,NIGHT: DAY OF 24 HOURS,"ɛ̀-nokon, ɛ̀-fo",,à-
065,FAN PALM (BORASSUS AETHIOPUM),ɛ̀-bî,,à-
065.1,OIL PALM (ELAEIS GUINEENSIS),ɛ̀-bî,,à-
066,PERSON,ǹ-nɛ̀,,à-
067,"PIG (DOMESTIC, WILD)","à-kôg, ŋ̀-gòmo",,", ɛ̀-"
068,"PRESS, SQUEEZE OUT, MILK",ka̍mà,,
071,"REFUSE, RETAIN, TO",tɛ̂n,,
072,"RESEMBLE, BE EQUAL TO",fɔŋɔ̀,,
075,"ROT, TO",bɔ̀n,,
077,SEND: WORK,nò-tô,,ǹ-
079,"SEW, TO",ʤə̀m,,
080,"SHINE, BE LIGHT, BE WHITE TO",jâ,,
081,SING,jî,,
082,"SKIN, HIDE, BARK","ŋ̀-gù, ɛ̀-kpəɣa̍",,"a̍-kpâŋgù, à-"
083,SMELL (OF): SMELL (TR.),junù,,
084,SNAKE,ɲ’-ɲɔ̀ɔ̂,,ɛ-
086,"SPEAK, TO",râg,,
087,TO SPIT,fʊim,,
088,"SPREAD IN SUN TO DRY, TO",bân,,
091,TAKE OUT OF: EMPTY,jìgì,,
092,THING,ɛ̀-ʤô,,ɲ̀-sɔn
093,"TONGUE, LANGUAGE",ne’-nìbî,,n-
094,TOOTH,nè-mɪin,,à-
096,TREE,ɛ̀-te,,ǹ-
099,WAR,bɪ̀-ta̍,,ǹ-
100,WATER,à-ləb,,
101,WING,ɛ̀-kpɔ̀ŋmkpɔ̀ŋ,,à-
102,"WOMAN, WIFE","mə̀ŋ-ka̍, ŋ̀-ka̍",,"àbʌ̀-, à-"
103,ONE,ɛ-ʤî,,
104,TWO,bɪ-bâ,,
106,FOUR,bə-nɛ̂,,
107,FIVE,bə-rɔ̂n,,
109,SEVEN,à-sɪm̀ma̍,,
112,TEN,wobo,,
113,FIFTEEN,nə̀-kô,,
114,TWENTY,nə̀-tə̂n,,à-
115.1,TWO HUNDRED,ɛ-gɔ̀r,,

