BNC ID,Gloss,Phonetic,Word Category
001,ANIMAL,jer,
003,ARMPIT,ʃiabler,
004,ARROW,hji,
005,ASHES,a-toŋ,
006,ASK (A QUESTION),ijibθe,
007,"BAD (BE), TO",dasi,
008,BEAN,neb,
009,BEG (ASK FOR S.T.),tseb,
010,BELLY,njeŋ,
011,BITE,kpa,V
012,BUFFALO,njas,
013,"BUILD, TO (CF. SEW)",san,
014,CALABASH,dar,
015,CARVE,ʧali,
016,CHARCOAL,i-ka,
017,CHILD,hjejer,
018,COME OUT,ɣabadida,
019,"COOL, BE(COME) TO",suni,
020,CORPSE,kom,
021,COUNT: DRAW A LINE,harfola,
022,COW/CATTLE,nhag,
023,CRAB,a-kanja,
024,CROCODILE,sakla,
025,"DANCE, TO","ʤe+sor, ʤesor",
026,DEPTH,njor,
027,DIE: DEATH,"aŋ-kpu, kpu",
028,"DIVIDE, SHARE OUT, TO",gaab,
029,"DRAW (WATER), TO",kpeturn (?),
030,"BECOME DRY, TO",ʧoli,
032,"EAT, TO",jhi,
033,EGG,e-ggeb,
034,ELEPHANT,ʤom,
035,"EXTINGUISHED, BE TO",lu,
036,EYE,kjutsu,
037,"FALL, TO",bju,
038,"FAT, OIL, GREASE",kesbagoŋ,
039,FEAR,saŋ,
040,FEMALE,a-khel,
041,FIREWOOD,wheŋ-ku,
042,FOREST (BUSH),lum,
043,CHICKEN/FOWL,we-nju,
044,"FRY, TO BAKE IN ASHES, TO",kanji,
045,"GIVE, TO","deba, di",
046,"GO, WALK, TO","ɣiɣi, ɣiɣina",
047,GRASSHOPPER,botsu,
048,"GROW, BECOME STRONG, TO",hjej,
049,GUINEA-FOWL,wok,
050,HEAD,jhi,
051,HEART,whoŋ,
052,HEAVY,mor,
053,HOE: CULTIVATE,"kpora, whalbek",
054,"KILL, TO",ferr,
055,"LEG, FOOT",dag,
056,LEOPARD (‘PANTHER’),naugoŋ,
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO","imereaŋ, nabjekhi",
058,"LICK, TO",nug (? mug),
060,MEAT,jer,
061,MOULD TO,fumna,
063,NAME,whok,
064,NIGHT: DAY OF 24 HOURS,tuk,
065,FAN PALM (BORASSUS AETHIOPUM),keskoiŋ,
065.1,OIL PALM (ELAEIS GUINEENSIS),keskoiŋ,
066,PERSON,ner,
067,"PIG (DOMESTIC, WILD)",alede,
068,"PRESS, SQUEEZE OUT, MILK",fin,
069,QUARREL,mohahaŋ haŋ,"V, N"
070,RAPHIA PALM,"deg, bam, kjoiŋ",
071,"REFUSE, RETAIN, TO",kpea,
072,"RESEMBLE, BE EQUAL TO",anɣas,
073,ROAD: PATH,tengdi,
074,"ROAST ON COALS, TO",seŋ,
075,"ROT, TO",foar,
076,RUBBISH-HEAP,fugθe,
077,SEND: WORK,"tom, ihi-tjuma",
078,"TRAP, TO SET A",nir,
079,"SEW, TO",tar,
080,"SHINE, BE LIGHT, BE WHITE TO",memna,
081,SING,tis bom,
082,"SKIN, HIDE, BARK","a-kol+ner, a-kol+jerlum, a-guk tji",
083,SMELL (OF): SMELL (TR.),nuŋ,
084,SNAKE,i-leeg,
085,SONG,bom,
086,"SPEAK, TO",ljoljor,
087,TO SPIT,tarahig,
090,"STONE, ROCK",tjal was,
091,TAKE OUT OF: EMPTY,subwhedida,
092,THING,bin,
093,"TONGUE, LANGUAGE","lem, hjam",
094,TOOTH,jheŋnagoŋdag,
095,TORTOISE,e-kjula,
096,TREE,tarr,
097,TWIN,a-fala,
098,WANT (DESIRE): LACK SEEK,himi; dagu,
099,WAR,whja,
101,WING,wheb,
104,TWO,falli,
106,FOUR,naŋ,
107,FIVE,toer,
108,SIX,pjuiŋ,
109,SEVEN,tofal,
110,EIGHT,nanaŋ,
111,NINE,bon-ɣob,
112,TEN,kob,
113,FIFTEEN,uk dage tour,
114,TWENTY,suk sali,
115,HUNDRED,deli zini H.,
116,FOUR HUNDRED,del khenaŋ,
117,THOUSAND,del suk cf. H.,

