BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,ŋtò~ntó,,
001,ANIMAL,njɛ́,,
003,ARMPIT,-záŋa,,rè-
003,ARMPIT,-zâŋá,,rə-
004,ARROW,ka-kpa,,rà-
004,ARROW,á-kpá,,rə-á-kpá
005,ASHES,ǹ-tò,,
005,ASHES,ǹ-tò,,
006,ASK (A QUESTION),ɾí,,
007,"BAD (BE), TO",ŋwiǽ,,
007,"BAD (BE), TO",*kja nwia,,
008,BEAN,ń-ʒò,,
008,BEAN,ǹ-zò,,
009,BEG (ASK FOR S.T.),cʃa̍t’,,
010,BELLY,ko-hwié,,rè-hwiè
010,BELLY,kə-hwíjé,,rə̀-hwìjè
011,BITE,rio,V,
011,BITE,*re rio,V,
012,BUFFALO,ǹ-zæ̀,,n-zǽ
012,BUFFALO,ǹ-zɛ̀,,ń-zɛ́
013,"BUILD, TO (CF. SEW)",nò,,
013,"BUILD, TO (CF. SEW)",*re no rino,,
014,CALABASH,kínʒe,,rèínʒe
014,CALABASH,*enʒiɛ,,
015,CARVE,re gi ʃa,,
016,CHARCOAL,ṛe-ʧɛ́,,
017,CHILD,ko-wé,,rè-wè
017,CHILD,kə-wé,,ṛə̀-wè
018,COME OUT,wùrù,,
018,COME OUT,* mbe ʒi wuru,,
020,CORPSE,kwɛ́nɛ́,,ŋ̀-kɛ̀nɛ̀
021,COUNT: DRAW A LINE,hwije,,
022,COW/CATTLE,njá,,ə́-nja̍
023,CRAB,ŋ̀-krá,,ré-ŋ́-kra
023,CRAB,n-krā,,
024,CROCODILE,ʧàrìʃì,,ʧárìʃì
024,CROCODILE,ʧà,,rə-ʧà
025,"DANCE, TO","ʃó  ṛə̀-ʧù, ṛə-ʧù",,
026,DEPTH,*ʧunʧu (riʃi),,
027,DIE: DEATH,hu,,
027,DIE: DEATH,"hu, u-kú",,
028,"DIVIDE, SHARE OUT, TO",kɛ,,
029,"DRAW (WATER), TO",ʃɛ̀,,
030,"BECOME DRY, TO",hṛu,,
031,EAR,ú-tsù,,rè-
032,"EAT, TO",je,,
032,"EAT, TO",jɛ́,,
033,EGG,-ri-ʧí,,rè-
033,EGG,ṛə-ʧí ŋwjɛ́,,
034,ELEPHANT,ǹ-ʒè,,n-ʒé
034,ELEPHANT,ǹ-ʒè,,ń-ʒé
035,"EXTINGUISHED, BE TO",*re hwia,,
036,EYE,rì-jí,,ǹ-jì
036,EYE,ṛə-jí,,ǹ-jì
037,"FALL, TO",kpè,,
037,"FALL, TO",kpɛ,,
038,"FAT, OIL, GREASE",re’-mie,,
038,"FAT, OIL, GREASE",*remiɛ,,
039,FEAR,*reto-kowu,,
040,FEMALE,m̀-brì,,
041,FIREWOOD,ǹ-kwè,,
042,FOREST (BUSH),ke-jí,,
042,FOREST (BUSH),kə-jí,,ṛə̀-
043,CHICKEN/FOWL,-ŋwiæ,,rè-
043,CHICKEN/FOWL,ŋwjɛ́,,
044,"FRY, TO BAKE IN ASHES, TO","*re kra, *re giʃwi a nto",,
045,"GIVE, TO",ŋwa̍,,
045,"GIVE, TO",ŋwá,,
046,"GO, WALK, TO","jwà; næ, grè",,
046,"GO, WALK, TO",nɛ̃ gà ṛègi ṛe,,
047,GRASSHOPPER,*ʧiʧ,,
048,"GROW, BECOME STRONG, TO","*re ʧi, *re ʧi gbigbá",,
049,GUINEA-FOWL,ʒì nda̍,,ʒí nda̍
050,HEAD,ri-ʧí,,ǹ-ʧì
050,HEAD,ṛə-ʧí,,ṛə- ṛə-ʧí
051,HEART,hwé,,
052,HEAVY,rú-vó (n.),,
052,HEAVY,*ru-bwo,,
053,HOE: CULTIVATE,ru,,
053,HOE: CULTIVATE,ká,,
054,"KILL, TO",cwiæ,,
054,"KILL, TO",ʃjɛ,,
055,"LEG, FOOT",tá ~ rè-ta,,ǹ-tà
055,"LEG, FOOT",tá,,ǹ-tà
056,LEOPARD (‘PANTHER’),ʧìjæ̀vé,,ʧíjæ̀vé
056,LEOPARD (‘PANTHER’),ì-ʧì,,
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO","ʧwè, ndie (n.)",,
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO","nje bè, tò nzìjè",,
058,"LICK, TO",*a-to,,
060,MEAT,rì-næ̀,,
060,MEAT,ɽə-nɛ́,,
061,MOULD TO,(re)no; (ne) wr̄a,,
062,"MOUNT, TO",*(re) njrā,,
062,"MOUNT, TO",ŋṛa̍,,
063,NAME,*lo,,
063,NAME,lo,,rə-lo
064,NIGHT: DAY OF 24 HOURS,"-tótù, ʧwie",,"rè-, rètù"
064,NIGHT: DAY OF 24 HOURS,-tê-tú,,ṛə-tê-tú
065,FAN PALM (BORASSUS AETHIOPUM),ekwe remie,,
065.1,OIL PALM (ELAEIS GUINEENSIS),ekwe remie,,
066,PERSON,-ne,,n-
066,PERSON,ǹ-tò,,ə́-nɛ́-ntó
067,"PIG (DOMESTIC, WILD)",*lede,,
067,"PIG (DOMESTIC, WILD)","le’dè, glà",,"rə-le’de’, glá"
068,"PRESS, SQUEEZE OUT, MILK",*(re gi) hwi:,,
068,"PRESS, SQUEEZE OUT, MILK",ʃí,,
069,QUARREL,*re ʧo ne ge nu,"V, N",
069,QUARREL,*tu gonuʧe,"V, N",
070,RAPHIA PALM,*ri-ʃe,,
071,"REFUSE, RETAIN, TO",rá,,
071,"REFUSE, RETAIN, TO",zimi,,
