BNC ID,Gloss,Phonetic
001,ANIMAL,mi-rrum
004,ARROW,bi
007,"BAD (BE), TO",vishidaghi
012,BUFFALO,jerr
014,CALABASH,kwo(t)
017,CHILD,fan
022,COW/CATTLE,kalia
025,"DANCE, TO",ndurr
027,DIE: DEATH,kwija
031,EAR,ku-ttu
033,EGG,a-ʃibi
034,ELEPHANT,lanʤenna
036,EYE,i-jis
043,CHICKEN/FOWL,nakurre
046,"GO, WALK, TO",onejaŋ
049,GUINEA-FOWL,kwelkat
050,HEAD,ʃi
054,"KILL, TO",aulma
055,"LEG, FOOT",ku-bol
056,LEOPARD (‘PANTHER’),ʒier tam
060,MEAT,nam
063,NAME,ti-sá
064,NIGHT: DAY OF 24 HOURS,bi-bi
073,ROAD: PATH,ʃi
080,"SHINE, BE LIGHT, BE WHITE TO",pirri
082,"SKIN, HIDE, BARK",n-duss; lap
090,"STONE, ROCK",gennapp
094,TOOTH,ki-naŋ
096,TREE,kwoni
099,WAR,rom
100,WATER,min
102,"WOMAN, WIFE",mi-je
104,TWO,baa
106,FOUR,nas
107,FIVE,pien
108,SIX,ʃa(n)
109,SEVEN,taraba
110,EIGHT,nanass
111,NINE,kwanass
112,TEN,wore
114,TWENTY,orkaba

