BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,ɛ̀-tɛ̀ń,,ǹ-
003,ARMPIT,kù-pánìpàn,,lì-
004,ARROW,jì-kɔ́ŋ,,jɔ̀-
005,ASHES,kɔ̀-tɔ́ŋ̀,,lì-tɔ́ŋ̀
006,ASK (A QUESTION),blá,,
007,"BAD (BE), TO",-búwə́,,
008,BEAN,à-ʤám̀,,a-
010,BELLY,kɛ̀-fál,,jɛ̀-
011,BITE,də́m,V,
012,BUFFALO,ɛ̀-pàm,,m̀-
013,"BUILD, TO (CF. SEW)",mə̀n,,
014,CALABASH,lè-kòlə́,,à-
015,CARVE,nə́j jù-kà;~nə́y yù-kà,,
017,CHILD,wɛ̀ŋ́wɛ̀ǹ,,bɛ̀ńbɛ́ǹ
018,COME OUT,də́bə́,,
019,"COOL, BE(COME) TO",fàj,,
021,COUNT: DRAW A LINE,"fàkə̀, -tɛ́l (è-) tí",,
023,CRAB,kɔ̀-káà,,lì-
024,CROCODILE,é-feḿ,,ḿ-
025,"DANCE, TO",tə́w,,
026,DEPTH,kè-dòŋə́,,jè-
027,DIE: DEATH,bə́,,
028,"DIVIDE, SHARE OUT, TO",pòòwá,,
030,"BECOME DRY, TO",wù,,
032,"EAT, TO",ʤí,,
033,EGG,è-séèŋə́,,ǹ-
034,ELEPHANT,jò-nì,,à-
035,"EXTINGUISHED, BE TO",-ʤə̀mì,,
036,EYE,ʤɛ̀n,,jɛ̀n
038,"FAT, OIL, GREASE","kí-jɛ̀mì, jà-mlè",,
039,FEAR,yə̀-kàl,,
040,FEMALE,jà-nɛ̀ń,,bà-nɛ̀ń
041,FIREWOOD,ì-mə̀n,,m̀-
043,CHICKEN/FOWL,jì-nɔ̀n,,jɔ̀-
045,"GIVE, TO",kə̀ə́,,
046,"GO, WALK, TO",kɔ̀ẃ,,
047,GRASSHOPPER,kɛ̀-táàkpò,,jè-
048,"GROW, BECOME STRONG, TO",-táwá,,
049,GUINEA-FOWL,è-kóŋˋ,,ǹ-
050,HEAD,lè-tú,,à-
051,HEART,ɛ̀-tɛ́m,,n-
052,HEAVY,-dówə̀,,
053,HOE: CULTIVATE,tó; fàj,,
055,"LEG, FOOT",kɔ̀-fɛ̀,,m̀-
056,LEOPARD (‘PANTHER’),ɛ̀-kpɛ̀,,m̀-
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",jòm,,
058,"LICK, TO",dáká,,
060,MEAT,ɛ̀-tɛ̀ń,,ǹ-
061,MOULD TO,-pì,,
062,"MOUNT, TO",bə́n (-bəl),,
063,NAME,ʤèń,,
064,NIGHT: DAY OF 24 HOURS,"dèèl, lè-wì",,a-
065,FAN PALM (BORASSUS AETHIOPUM),jò-ʤɛi,,
065.1,OIL PALM (ELAEIS GUINEENSIS),jò-ʤɛi,,
066,PERSON,ɔ̀-nɛ̀n,,ja-
067,"PIG (DOMESTIC, WILD)",kà-kóò,,li-
068,"PRESS, SQUEEZE OUT, MILK",mííná,,
071,"REFUSE, RETAIN, TO",plə̀m,,
072,"RESEMBLE, BE EQUAL TO","dá; sèlè, bə̀ŋə̀mà",,
073,ROAD: PATH,é-tì,,n-
074,"ROAST ON COALS, TO",-pɔ́,,
075,"ROT, TO",dùbà,,
077,SEND: WORK,-tán; kɔ́ŋá,,
078,"TRAP, TO SET A",mə́n (kɛ̀) pááná,,
079,"SEW, TO",jò,,
080,"SHINE, BE LIGHT, BE WHITE TO",wáál,,
082,"SKIN, HIDE, BARK",kɔ̀-kpáŋ,,lì-
083,SMELL (OF): SMELL (TR.),wòmì,,
084,SNAKE,jɔ̀l,,
086,"SPEAK, TO",tɔ̀ŋá,,
087,TO SPIT,kpí,,
089,"STICKY, TO BE",ʤàlì,,
090,"STONE, ROCK",lɛ̀-táà,,à-
091,TAKE OUT OF: EMPTY,kúdə́,,
093,"TONGUE, LANGUAGE",lɛ̀-dál,,a-
094,TOOTH,lɛ̀-gà,,à-
095,TORTOISE,kè-kpí,,je-
096,TREE,kè-tí,,jè-
097,TWIN,bɛ̀ŋ́ jàpòó,,
098,WANT (DESIRE): LACK SEEK,wɔ́,,
099,WAR,lè-kó,,a-
101,WING,*kɛ́-pɛ́mì,,jɛ̀-
104,TWO,-pòó,,
106,FOUR,-nàá,,
107,FIVE,-tə́n,,
108,SIX,jà-tə́n  à-wìná,,
109,SEVEN,jàtə́n jàpòó,,
110,EIGHT,jàtə́n jàtélí,,
111,NINE,jà-tə́n jà-nàá,,
112,TEN,ʤòó,,
113,FIFTEEN,jìp,,
114,TWENTY,lèjáw,,
115,HUNDRED,áà-tə́n,,

