BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,ù-rɪ́m-nɪil,,à-(ḿp)
050,HEAD,lètó,,là-
060,MEAT,ɛ̀-ʧìn,,ǹ-
061,MOULD TO,bɔ́ŋɔ̀,,
062,"MOUNT, TO",júŋɔ́,,
063,NAME,lò-khúm,,lì-
064,NIGHT: DAY OF 24 HOURS,ì-lànì,,ù-
065,FAN PALM (BORASSUS AETHIOPUM),"è-nùɔ̀mì,ú-rúkpíɛ́n, ù-gîègì",,-;ń-dúkpíɛn-
065.1,OIL PALM (ELAEIS GUINEENSIS),"è-nùɔ̀mì,ú-rúkpíɛ́n, ù-gîègì",,-;ń-dúkpíɛn-
066,PERSON,ɔ̀-nɪ̀l,,à-
067,"PIG (DOMESTIC, WILD)","à-kû, ì-lì",,"-, ù-"
068,"PRESS, SQUEEZE OUT, MILK",tàl; mîl,,
069,QUARREL,lêt ɛ̀-khɛ̀nɔ̀ ǹ-; ó-lérɔ́ (?),"V, N",
070,RAPHIA PALM,ì-tɔ̌,,là-tòk
071,"REFUSE, RETAIN, TO","-hwɔ̀m, rɔ̀g-rédè",,"lɔ̀-, lɔ̀-rɔ̀g-bé-réde"
072,"RESEMBLE, BE EQUAL TO","ɛ̀-kwɔ̀nɔ̀, í-béŋɔ̀",,
073,ROAD: PATH,ì-jám,,"í-wéŋ, ù-, ú-"
074,"ROAST ON COALS, TO",mɔ̀k,,
075,"ROT, TO",fàŋɔ̀,,
076,RUBBISH-HEAP,"lù- ?  ,",,lò-; à-ʤɪ́nɔ́géí
077,SEND: WORK,ʧìnɔ̀ lò-tómɔ́,,lì-; là-dò
078,"TRAP, TO SET A",kwûl,,
079,"SEW, TO",tɪ̀m,,
080,"SHINE, BE LIGHT, BE WHITE TO","níà, à-gòlì",,
081,SING,kùɔ̀n  ~ kúɔ̀n,,
082,"SKIN, HIDE, BARK","ɛ̀-kpá, ɛ̀-ʤɪ̀n-m̀-kpá, è-ʧé-kpúkpá, è-ʧ é-kpɪ́kpá",,ɱ̀-ǹ-ǹ-;ŋ̀-
083,SMELL (OF): SMELL (TR.),"ì-nù, ɛ̀-ɲìmì",,
084,SNAKE,dwɔ̀-,,
085,SONG,ú-kúɔ́ní-ú-kúɔ́nì,,
086,"SPEAK, TO",gòbó,,lébó
087,TO SPIT,tɪ́bɔ̀,,
088,"SPREAD IN SUN TO DRY, TO",dèl ~ dèn,,
089,"STICKY, TO BE",gàbì,,
090,"STONE, ROCK",ɔ̀-tá,,là-
091,TAKE OUT OF: EMPTY,"lìàbɔ̀rɛ́, ɔ̌ŋgɔ̀m",,
092,THING,ò-kpó,,
093,"TONGUE, LANGUAGE","lɛ̀-rìák, lɔ̀n",,là-
094,TOOTH,là-là,,
095,TORTOISE,ì-kpɪ́n,,ù-
096,TREE,è-ʧé,,ò-
097,TWIN,á-gbáha̍,,
098,WANT (DESIRE): LACK SEEK,"tɔ̂; kɛ́rì; í-kíkɛ́rɛ́, té-mɔ̂, tɔ̂; ɲɛ́nɔ̀",,
099,WAR,lè-kúó,,
100,WATER,à-mí,,lù-ʤí
101,WING,è-bùbɔ̀hɔ̀m̀-,,
102,"WOMAN, WIFE","à-nɪ̀l, à-nàgám",,"wà-, wà-nɪ̀lbám"
103,ONE,gɪ́nî,,
104,TWO,wâ,,
106,FOUR,níà,,
107,FIVE,tɛ́ɔ̂,,
108,SIX,ténágɪnî,,
109,SEVEN,ténáwà,,
110,EIGHT,ténáʧìlì,,
111,NINE,ténánìà,,
112,TEN,ná-ʤò,,
113,FIFTEEN,ɔ̀-hwɔ̀n ná kpɪ̀nì,,
114,TWENTY,lè-nàù,,
115,HUNDRED,là-ná-ná-tɛ̀ɔ̀,,
115.1,TWO HUNDRED,ɛ́-nɛ́ ínɔ,,
116,FOUR HUNDRED,ɛ́-nɛ́ínɔ-ná-nìà,,
117,THOUSAND,ɛ́-nɛ́ínɔ-ná-ʤò,,

