BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,ɲ̀-ɲàm,,ò-
003,ARMPIT,ò-lǒgbàb,,à-lǎgbàb
005,ASHES,ǹ-tûŋ,,
006,ASK (A QUESTION),bə́b,,
007,"BAD (BE), TO",*èbíbìi,,
008,BEAN,*èkpèkpà; àdùbà; àzírá,,
010,BELLY,ò-là,,à-
011,BITE,gə́ŋ,V,
012,BUFFALO,ɱ̀-fʊ́ŋ,,ò-
013,"BUILD, TO (CF. SEW)",síì,,
014,CALABASH,è-bə́r,,ḿ- ~ à-
015,CARVE,sì,,
016,CHARCOAL,*ǹ-sísí,,à-
017,CHILD,m̀-muɔ̌n,,à-bwɔ̌n
018,COME OUT,dúù,,
019,"COOL, BE(COME) TO",ǹ-luɔ̀g; *náà,,
020,CORPSE,*ŋm̀-kpɔ́ɣániɛ̀ (è-kpúkpúɔ̀),,
021,COUNT: DRAW A LINE,fàn,,
023,CRAB,è-kán,,à-
024,CROCODILE,*ŋ̀m-gbɛ̀             à-lə́b,,
025,"DANCE, TO","bə́n, *è-jîm",,à-
026,DEPTH,*é-túná,,
027,DIE: DEATH,"kpɔ, *è-kû",,à-
028,"DIVIDE, SHARE OUT, TO",baáŋà,,
029,"DRAW (WATER), TO",*tɔ́k,,
030,"BECOME DRY, TO",júm,,
031,EAR,ò-tʊiŋ,,à-
032,"EAT, TO",jiɛ́,,
033,EGG,è-zí,,à-
034,ELEPHANT,ɲ̀-zuɔ̀g,,ò-
035,"EXTINGUISHED, BE TO",lə́mə̀,,
036,EYE,è-mə̂r,,à-
037,"FALL, TO",gbuɔ̀  ~  gbɔ̀,,
038,"FAT, OIL, GREASE","à-fuɔ̂m, à-kuú",,
039,FEAR,*ɲ́-jírà,,
040,FEMALE,*ŋ̀-kán,,
041,FIREWOOD,è-kʊ́n,,ŋ̀-
042,FOREST (BUSH),è-kún é-gbɛ̀,,à-. .á-; *à-kpú ń-tì
043,CHICKEN/FOWL,ŋ̀-kuɔ̌g,,ò-
044,"FRY, TO BAKE IN ASHES, TO","kaáŋə̀, *jùɔ̀",,
045,"GIVE, TO","*kà: ~ káà, *járà",,
046,"GO, WALK, TO","*sùŋ, ziɛ̀n",,
047,GRASSHOPPER,*ɲ̀-ɲàɲà,,
048,"GROW, BECOME STRONG, TO",*də̀m,,
049,GUINEA-FOWL,*è-jîŋ,,à-
050,HEAD,è-sî,,à-
051,HEART,è-tím,,à-
052,HEAVY,élúb-élûb,,
053,HOE: CULTIVATE,"kpə̀ŋ, bə̀m",,
054,"KILL, TO",jún,,
055,"LEG, FOOT",è-sàn,,à-
056,LEOPARD (‘PANTHER’),ŋm̀-gbɛ̀,,ò-
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",nuɔ́ŋə̀,,lán
058,"LICK, TO",*lə́βà,,
060,MEAT,ɲ̀-ɲàm,,
061,MOULD TO,mʊ̀ŋ,,
062,"MOUNT, TO",jə́r,,
063,NAME,m̀-bìŋ,,à-
064,NIGHT: DAY OF 24 HOURS,"è-tə́ŋ à-tù, ò-fuú",,à-
065,FAN PALM (BORASSUS AETHIOPUM),m̀-bə́nnə́*ŋ̀-kàŋ̀kû,,à-à-
065.1,OIL PALM (ELAEIS GUINEENSIS),m̀-bə́nnə́*ŋ̀-kàŋ̀kû,,à-à-
066,PERSON,ǹ-niɛ̀,,à-
067,"PIG (DOMESTIC, WILD)","à-kûg, ŋ̀-gùmə́",,", ò-"
068,"PRESS, SQUEEZE OUT, MILK","**ɲə̀ɣə̀, kám",,
069,QUARREL,*dâ: *ǹ-dǎ:,"V, N",ò-
070,RAPHIA PALM,ò-fuɔ́n,,à-
071,"REFUSE, RETAIN, TO",tiɛ́n,,
072,"RESEMBLE, BE EQUAL TO",fuɔ́ŋà,,
073,ROAD: PATH,*m̀-bá,,
074,"ROAST ON COALS, TO",*juɔ̀,,
075,"ROT, TO",buɔ̀n,,
076,RUBBISH-HEAP,*è-bímántùŋ,,à-
077,SEND: WORK,túm è-tûm,,à-
078,"TRAP, TO SET A",*kuɔ́nà,,
079,"SEW, TO",zə̀m,,
080,"SHINE, BE LIGHT, BE WHITE TO",já,,
081,SING,kuɔ́n,,
082,"SKIN, HIDE, BARK","ŋ̀-gùgù,  * ŋ̀-gùgù ɲ̀-ɲàm, è-kpə́ɣá",,"à, à-"
083,SMELL (OF): SMELL (TR.),*ɲiɛ́nə̀; jú,,
