BNC ID,Gloss,Phonetic,Pl Phonetic
001,ANIMAL,njam,
004,ARROW,fəθuŋga,
010,BELLY,dumbal,
012,BUFFALO,gial,
017,CHILD,nwaka,
022,COW/CATTLE,a-nda,
024,CROCODILE,mɛmvi,
031,EAR,a-ndo,
033,EGG,a-kija θagi,
034,ELEPHANT,n-gɔmbɔ,
036,EYE,a-ŋjiʃi,
038,"FAT, OIL, GREASE","mvɔmbɔn, mɛm",
043,CHICKEN/FOWL,θagi,
050,HEAD,mvwonin,
051,HEART,ʃima,
055,"LEG, FOOT",a-ban daŋgai,daŋgo
056,LEOPARD (‘PANTHER’),θu,
060,MEAT,njam,
063,NAME,í-tí,á-
064,NIGHT: DAY OF 24 HOURS,"fɪgi, a-θan+ʤe (θan = sun)",
066,PERSON,neo ~ nau,fio
067,"PIG (DOMESTIC, WILD)",vəke,
073,ROAD: PATH,ʃina,
084,SNAKE,bifa,
090,"STONE, ROCK",nari,
093,"TONGUE, LANGUAGE",numan,
094,TOOTH,a-nji,a-
096,TREE,a-hun,
099,WAR,θɔm,
100,WATER,mbigʌm,
102,"WOMAN, WIFE",njina,njino
103,ONE,dɪfu,
104,TWO,ɛ-vu,
106,FOUR,(ɛ̃-nai,
107,FIVE,(ɛ̃-ʧun,
108,SIX,(ɛ̃- tɔno mon,
109,SEVEN,ɛ-ʧum ɛ-vu,
110,EIGHT,ɛ-ʧun ɛ-tare,
111,NINE,ɛ-ʧun+ɛ-nai,
112,TEN,gbue,
113,FIFTEEN,gbue-ɛ-tare,
114,TWENTY,nu a bumbum,
115,HUNDRED,ɛ-taro ʧun,

