BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,hi-nama,,i-
003,ARMPIT,ry-átákà,,
004,ARROW,rí-bábɛ̀,,á-
005,ASHES,mə́-ntu,,
005,ASHES,másákáyã̀,,
006,ASK (A QUESTION),bípə̀,,
007,"BAD (BE), TO",lə́-mə̀hàndó (n.),,
008,BEAN,hí-kònò,,i-
009,BEG (ASK FOR S.T.),hútá,,
010,BELLY,rí-pò,,á-
011,BITE,kə́pə̀nə̀,V,
012,BUFFALO,h-érùmà,,ø-érùmà
014,CALABASH,hí-nɔ̀í-,,
017,CHILD,ú-bì,,bá-bì
018,COME OUT,útà,,
021,COUNT: DRAW A LINE,ànà,,
023,CRAB,hí-kàgùwà,,í- (<H.)
024,CROCODILE,hĩ̀-pã̀,,ĩ̀-
025,"DANCE, TO",rùmèkà,,
026,DEPTH,rí-lúkù,,
027,DIE: DEATH,u-wi,,
028,"DIVIDE, SHARE OUT, TO",pòrkà,,
030,"BECOME DRY, TO",lúnà,,
032,"EAT, TO",tama,,
033,EGG,rɛ-rɛ,,ɛ-
034,ELEPHANT,hí-lə̌llə́,,i-
036,EYE,rì-nìnì,,à-
037,"FALL, TO",cenə,,
038,"FAT, OIL, GREASE",má-ǹcɛ̃̀ ? < H.,,
038,fat,u-hemi,,
040,FEMALE,ù-dɔ̀nɔ̀bà-,,
041,FIREWOOD,ú-cə̃̀,,èsú-cə̃̀
043,CHICKEN/FOWL,hí-tálkɔ̀í-,,
045,"GIVE, TO",pɛ́nɛ̀,,
046,"GO, WALK, TO",nò,,
049,GUINEA-FOWL,hí-cɔ̀kcɔ́,,í-
050,HEAD,rì-ʃìtə̀,,à-
051,HEART,hì-tsùmù,,ì-
052,HEAVY,é-nʤènʤí,,
053,HOE: CULTIVATE,gùlə̀,,
055,"LEG, FOOT",ú-kánà,,tsú-kánà
056,LEOPARD (‘PANTHER’),hì-kɛ̀sàndɔ̀ì-,,
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",hìnə́,,
058,"LICK, TO",lálàhá,,
062,"MOUNT, TO",noná,,
063,NAME,r-inə,,ø-
064,NIGHT: DAY OF 24 HOURS,a-kipɔ,,
065,FAN PALM (BORASSUS AETHIOPUM),hí-kɔ́lɔ̀,,ì-
066,PERSON,undo (?),,b-ípa
067,"PIG (DOMESTIC, WILD)",hí-ʃíʃibu,,i-
073,ROAD: PATH,ù-cìnà,,tsù-
074,"ROAST ON COALS, TO",pòpà,,
079,"SEW, TO",(má)-táʧè,,
082,"SKIN, HIDE, BARK",u-kena,,tsu-
083,SMELL (OF): SMELL (TR.),ù-pùnò,,w-
084,SNAKE,h-joha,,joha
086,"SPEAK, TO",wopə,,
090,"STONE, ROCK",ú-tárɛ,,tsú-
093,"TONGUE, LANGUAGE",rí-lùmè,,á-
094,TOOTH,rè-nũ̀hĩ̀,,à-
095,TORTOISE,hí-kpàgúlù,,í-
096,TREE,ú-cə̃̀,,tsú-
098,WANT (DESIRE): LACK SEEK,á:-tà,,
101,WING,ú-pètà,,á-
104,TWO,rì-sə́,,
106,FOUR,la-naʃɛ̃́,,
107,FIVE,lá-ɔ̃̀,,
108,SIX,"te,zo",,
109,SEVEN,tã̀ sẽ́,,
110,EIGHT,dálànzɔ,,
111,NINE,látànàʃẽ́,,
112,TEN,úpo,,
113,FIFTEEN,úpócítõ,,
114,TWENTY,alə́sə,,
115,HUNDRED,ri-noku,,
116,FOUR HUNDRED,a-naka-naʃe,,
117,THOUSAND,údubu H.,,

