BNC ID,Gloss,Phonetic,Pl Phonetic
001,ANIMAL,--ɲám̀,-ɲá’ḿ-sə
003,ARMPIT,-káf,-ká’áfsə́
004,ARROW,fì-n-ʧý’ə́,mə̀-n-
005,ASHES,--,á-bˋú
006,ASK (A QUESTION),búf,
007,"BAD (BE), TO",bə́f,
008,BEAN,è-kún,à-
009,BEG (ASK FOR S.T.),lɔ́ín,
010,BELLY,ì-lúà,
012,BUFFALO,-fúŋ,-fúŋ-sə́
013,"BUILD, TO (CF. SEW)",bàʔà-lə́ (!),
014,CALABASH,à-tə́m,à-
015,CARVE,ʧúf (!),
017,CHILD,-wáín,-wɔ́ín
018,COME OUT,fúa,
019,"COOL, BE(COME) TO",sáín,
020,CORPSE,à-kfə́+wùl,è-kfú+ɣə̀l
021,COUNT: DRAW A LINE,táŋ-tə (!) táŋ (!) kàìn-sí (!),
022,COW/CATTLE,ɲám̀ bɔ̀lɔ́ʔ  m̀-bɔ̀ŋˋ,m̀  --  -ǹsə́
023,CRAB,a-kə́m,è-kwə́
024,CROCODILE,ĩ̀-fɔ̀m,tə̀- -tɛ́
025,"DANCE, TO",bín (!),
026,DEPTH,ì-sə́ə́,
027,DIE: DEATH,"kfú, ì-kfú",
028,"DIVIDE, SHARE OUT, TO",gò-tə́ (!),
029,"DRAW (WATER), TO",tú-mú,
030,"BECOME DRY, TO",júm,
032,"EAT, TO",ʒý (!),
033,EGG,è-wúm,à-
034,ELEPHANT,à-tàm̀,é-túám
035,"EXTINGUISHED, BE TO",límsɛ́,
036,EYE,ì-sí,a-
037,"FALL, TO",fɛ̀ɛ́ + n-dùá + nsɔ́,
038,"FAT, OIL, GREASE","ì-só, --",mə̀-və́i
039,FEAR,ì-fám̀,
040,FEMALE,kí,
041,FIREWOOD,--,ŋ̀-kâʔ
042,FOREST (BUSH),à-kú; ə̀-twáʔ,mə̀-; tə̀-  - ‘ tə́
043,CHICKEN/FOWL,ŋ̀-gvú,mɛ̀-ŋ̀-
045,"GIVE, TO",fú (!),
046,"GO, WALK, TO",ǹ-dú;ʤə́-lá,
047,GRASSHOPPER,ɛ̀-ŋ-gwìn,tə́-ŋ-gwìn-tɛ́
048,"GROW, BECOME STRONG, TO","kɔ́, lə́má, tó",
049,GUINEA-FOWL,gwé,gwéé-sɛ́
050,HEAD,à-tú,è-
051,HEART,ì-tɛ́m,tì-tɛ́m̀-tɛ́
052,HEAVY,dɪɫ,
053,HOE: CULTIVATE,fɔ́lá (!),
055,"LEG, FOOT",ɛ̀-fwˋùɛ́n,ì-
056,LEOPARD (‘PANTHER’),abɔ̌,i_bwɔ̌
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",ɲìŋí,nàètə́
058,"LICK, TO",lɔ́ (!),
060,MEAT,ǹ-ʤɔ̀ɔ́,
061,MOULD TO,ì-bɔ́m,
062,"MOUNT, TO",kɔ́,
063,NAME,ì-jɪ́n,à-
064,NIGHT: DAY OF 24 HOURS,"è-túʔ, à-tsí",mə̀-
065,FAN PALM (BORASSUS AETHIOPUM),ì-sɔ́m,tə̀-  -!tɛ́
065.1,OIL PALM (ELAEIS GUINEENSIS),ì-sɔ́m,tə̀-  -!tɛ́
066,PERSON,ə̀-wúl,ɣɛ́l
067,"PIG (DOMESTIC, WILD)",-kfú+ɲam,ŋ̀-  -sə́
068,"PRESS, SQUEEZE OUT, MILK","jə́ʔə́té, kám",
071,"REFUSE, RETAIN, TO",tý͕ń-tsə́,
072,"RESEMBLE, BE EQUAL TO","fɯ́sɪ́ŋ, ìɣə́l",
073,ROAD: PATH,-ʤìì,
074,"ROAST ON COALS, TO",ɲɔ́ʔɔ́,
075,"ROT, TO",ì-fɔ́ì,
076,RUBBISH-HEAP,ə̀-fúə̀,
077,SEND: WORK,túm (!),
078,"TRAP, TO SET A",bə̀ná (!),
079,"SEW, TO",tás (!),
080,"SHINE, BE LIGHT, BE WHITE TO",báḿ,
081,SING,jə́m (!),
082,"SKIN, HIDE, BARK",ɛ̀-gvú-ə̀wún gvú+ɲàm à-vúə́  fɔ̀kàʔ,ɛ̀-gvú-sə́+ə̀-wún gvú-sə̀+ɲám
083,SMELL (OF): SMELL (TR.),lɪ́ m̀,
084,SNAKE,m̀-bàm̀,ḿ-bám-sə́
085,SONG,ǹ-ʤàŋˋ,ǹ-
086,"SPEAK, TO",táŋí (!),
087,TO SPIT,ʧú (!),
090,"STONE, ROCK",-ŋ̀-gɔ̀ʔ è-wú,-sɛ́tə̀-wúə̀-tə́
091,TAKE OUT OF: EMPTY,ʃù-sə̀-màʔái,
092,THING,à-fóò,ə̀-fúwə̀
093,"TONGUE, LANGUAGE",-lɛ́mí  ì-táŋé,tə̀-  -’•tɛ́
094,TOOTH,ì-sɔ́ŋˋ,à-
096,TREE,fə̀-kàʔ,ŋ̀-
097,TWIN,m̀-bɯ̀ɣáʔ,á-ḿ-bá-sə̀
098,WANT (DESIRE): LACK SEEK,"ŋ̀-kɪ́ŋ, wó (!)",
099,WAR,í-ɣɔ́ŋ,
100,WATER,mú,
101,WING,ì-wóò,tə̀-
102,"WOMAN, WIFE","wúl+ə̀wí, wí ɣɔm","- ?, ə̀-kìì ɣɛ́m my"
103,ONE,mɔʔ; nɔ́ʔ,
104,TWO,bòò,
106,FOUR,kɛ̀ɛ̀,
107,FIVE,táìn,
108,SIX,ǹ-tùfá,
109,SEVEN,sɔ̀mbó!ó,
110,EIGHT,fáá má,
111,NINE,bólà+mɔ̀ʔ,
112,TEN,ɛ̀-vúm,
113,FIFTEEN,ǹ-ʤùɛ̀+sɛ̀+táǹ,
114,TWENTY,mə̀-vúm+bɔ̀ɔ̀,
115,HUNDRED,vúwá ʔ,
116,FOUR HUNDRED,í-gwíí+kɛ̀ɛ̀,
117,THOUSAND,ŋ̀-kám; ŋ̀-kámìmɔ̀,

