BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,ɛ-tɛ,,
010,BELLY,ka-vɔg,,
011,BITE,-dɔmo (?),V,
012,BUFFALO,ɛ-wowɔ,,
017,CHILD,wɛgɛ,,
033,EGG,i-nɔn u-ni,,
034,ELEPHANT,e-hi,,
036,EYE,dɛn,,
038,"FAT, OIL, GREASE","li-jano, a-na",,
043,CHICKEN/FOWL,i-nɔn,,
050,HEAD,lèttó,,
055,"LEG, FOOT",kɛ-pɛ,,
056,LEOPARD (‘PANTHER’),ɛ-se,,
060,MEAT,ɛ-tɛ,,
064,NIGHT: DAY OF 24 HOURS,ge-humo,,
066,PERSON,ɛ-tan,,a-
067,"PIG (DOMESTIC, WILD)",ɛ-kumba,,
084,SNAKE,e-ʤɔg,,
090,"STONE, ROCK",gɛ-ta,,
093,"TONGUE, LANGUAGE",le-lan,,
094,TOOTH,le-san,,
096,TREE,kɛ-ti,,ɛ-
099,WAR,lɛ-kɔl,,
102,"WOMAN, WIFE",gwanɔ,,banɔ (?)
103,ONE,wani,,
104,TWO,a-fɔ,,
106,FOUR,a-naŋ,,
107,FIVE,a-teno,,
108,SIX,a-tena+wɔŋo,,
109,SEVEN,a-ten+a-fɔ,,
110,EIGHT,a-teg+a-ta,,
111,NINE,ɛmogabozo,,
112,TEN,e-bozo,,
114,TWENTY,le-hɔp,,
115,HUNDRED,ahoateno,,
115.1,TWO HUNDRED,dɛnono,,
116,FOUR HUNDRED,le-lolo,,

