BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,nɛ́à,,
003,ARMPIT,nə̀-ɣɛ̂mə́,,
004,ARROW,mʊɔ́’+kɛ́t,,
005,ASHES,ə̀-pfú,,
006,ASK (A QUESTION),ń-dɔ́,,
007,"BAD (BE), TO",mbɨ́,,
008,BEAN,mə̀-kô,,
010,BELLY,nə́-pô,,
011,BITE,nɔ́,V,
012,BUFFALO,nát,,
014,CALABASH,tə̂,,
015,CARVE,ŋ-kxɔ́,,
017,CHILD,muɔ̂,,
018,COME OUT,fɛ̂,,
019,"COOL, BE(COME) TO",nwɛ̂t,,
021,COUNT: DRAW A LINE,sié; ŋ-kjɔ́mě,,
023,CRAB,kə́tɔ́’tɔ́’,,
024,CROCODILE,ŋ-gǎ+ŋ-kjiě,,
026,DEPTH,sî,,
027,DIE: DEATH,ḿ-pfə́,,
028,"DIVIDE, SHARE OUT, TO",ŋ-gâp,,
030,"BECOME DRY, TO",siê,,
032,"EAT, TO",ɲ́-jɨ́,,
033,EGG,m-bɔ̌  ŋ-gɔ́b,,
034,ELEPHANT,těŋkǎ’,,
035,"EXTINGUISHED, BE TO",m-bɛ́:,,
036,EYE,lî,,
038,"FAT, OIL, GREASE",mə̀-ɣwût,,
040,FEMALE,mèŋ-gɥiá,,
043,CHICKEN/FOWL,mə̂ŋ-gɔ̂b,,
045,"GIVE, TO",ŋá,,
046,"GO, WALK, TO",ɣî,,
047,GRASSHOPPER,nə̀ɣát,,
048,"GROW, BECOME STRONG, TO",‘sá’,,
049,GUINEA-FOWL (oiseau),mə́ ʃɨ́,,
050,HEAD,tiə̂,,
051,HEART,n-zɔ̂’~n-tə̂,,
052,HEAVY,ńʤə̂t,,
053,HOE: CULTIVATE,ɲ́-ʤɨ́’,,
055,"LEG, FOOT",fə́,,kôt
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",nuɔ̂,,
058,"LICK, TO",ń-dát,,
060,MEAT,náʔ,,
061,MOULD TO,ń-tsó ‘nə́,,
063,NAME,lî,,
065,FAN PALM (BORASSUS AETHIOPUM),tɪmbi’é,,
065.1,OIL PALM (ELAEIS GUINEENSIS),tɪmbi’é,,
066,PERSON,ŋɔ̂ʌ,,
067,"PIG (DOMESTIC, WILD)",kpəně,,
068,"PRESS, SQUEEZE OUT, MILK",fɛt; nɔ̂t (tâter); sə́p (tordre),,
071,"REFUSE, RETAIN, TO",ndáʔ!nə,,
072,"RESEMBLE, BE EQUAL TO",´ fí,,
073,ROAD: PATH,(má) ń-dò (T?),,
074,"ROAST ON COALS, TO",ń-tɔ̂ʔ; ŋ́-kjíé,,
075,"ROT, TO",ń-díə́,,
077,SEND: WORK,ntɔ,,
079,"SEW, TO",ntia,,
080,"SHINE, BE LIGHT, BE WHITE TO",ŋkyêʔ,,nda̍ə̀-fù
082,"SKIN, HIDE, BARK",ŋ-gɔ̂b,,
083,SMELL (OF): SMELL (TR.),nʤùʔlòé,,
084,SNAKE,nwâ,,
087,TO SPIT,ntsɛ́t,,
090,"STONE, ROCK",ŋgɔ̂ʔ,,
093,"TONGUE, LANGUAGE",lɪi:,,
094,TOOTH,nə̀-ʃuɔ̌,,
095,TORTOISE,kə́’nɛ́nɛ́ndɯi; kɥí’máŋkɔ̌,,
096,TREE,tɪ́,,
097,TWIN,mə-fâ,,
098,WANT (DESIRE): LACK SEEK,ŋ-khuɔ̂,,
101,WING,nə̀-pàp,,
102,"WOMAN, WIFE",see FEMALE,,
104,TWO,jə́-pɛ̂,,
106,FOUR,jenəkwǎ,,
107,FIVE,jé-tâ,,

