BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,ɲ̀-ɲàm,,ɛ̀-
003,ARMPIT,ɛ̀-gbâb,,à- ~bɛ̀-
005,ASHES,ǹ-tɔ̂ŋ,,
006,ASK (A QUESTION),bəmɔ̀,,
010,BELLY,à-nà,,à-
011,BITE,gʌ̂ŋ,V,
012,BUFFALO,ɱ̀-fɔŋ,,ɛ̀-
014,CALABASH,ɛ̀-bʌr,,ḿ-
017,CHILD,m̀-mɔ̌,,à-bɔ̌
018,COME OUT,rùû,,
019,"COOL, BE(COME) TO",à-nɔ̀g,,
021,COUNT: DRAW A LINE,fàn,,
023,CRAB,ɛ̀-kan,,à-
025,"DANCE, TO","bʌ̂n, *ì-bîn",,à-
027,DIE: DEATH,kpɔ̂,,
028,"DIVIDE, SHARE OUT, TO",bàŋâ,,
030,"BECOME DRY, TO",jôm,,
031,EAR,ɛ̀-tɔ̂ŋ,,à-
032,"EAT, TO",nɛ̂,,
033,EGG,è-ʤi,,à-
034,ELEPHANT,ɲ̀-ʤɔ̀g,,ɛ̀-
035,"EXTINGUISHED, BE TO",nɨmɛ̀,,
036,EYE,nɛ̀-mʌ̂r,,à-
037,"FALL, TO",gbɔ̀,,
038,"FAT, OIL, GREASE","à-fɔ̂m, à-kuu",,
041,FIREWOOD,ɛ̀-kon,,ŋ̀-
042,FOREST (BUSH),ɛ̀-kin  o-gbɛ̀,,à-kun  a̍ŋm-gbɛ̀
043,CHICKEN/FOWL,ŋ̀-kɔ̌g,,ɛ̀-
044,"FRY, TO BAKE IN ASHES, TO",ka̍ŋà,,
046,"GO, WALK, TO",ʤɛ̀n,,
050,HEAD,ɛ̀-sî,,bɛ̀- ~ à-
051,HEART,nè-tem,,ǹ-
053,HOE: CULTIVATE,bɔ̀m,,
054,"KILL, TO",jôn,,
055,"LEG, FOOT",ɛ̀-tâ,,à-
056,LEOPARD (‘PANTHER’),ŋm̀-gbɛ̀,,ɛ̀-
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",nɔ̀ŋɔ̂,,nân
060,MEAT,ɲ̀-ɲàm,,
061,MOULD TO,mɔ̀ŋ,,
062,"MOUNT, TO",jʌ̂r,,
063,NAME,m̀-bìŋ,,à-
064,NIGHT: DAY OF 24 HOURS,"è-nokon, è-foo",,à-
065,FAN PALM (BORASSUS AETHIOPUM),è-bīì,,à-
065.1,OIL PALM (ELAEIS GUINEENSIS),è-bīì,,à-
066,PERSON,ǹ-nɛ̀,,à-
067,"PIG (DOMESTIC, WILD)","à-kûg, ŋ̀-gòmo",,", ɛ̀-"
068,"PRESS, SQUEEZE OUT, MILK",ka̍mà,,
071,"REFUSE, RETAIN, TO",tɛ̂n,,
072,"RESEMBLE, BE EQUAL TO",fɔŋɔ̀,,
075,"ROT, TO",bɔ̀n,,
077,SEND: WORK,nɛ̀-tôm,,ǹ-
079,"SEW, TO",ʤʌ̀m,,
080,"SHINE, BE LIGHT, BE WHITE TO",jâ,,
081,SING,jîm,,
082,"SKIN, HIDE, BARK","ŋ̀-gù, ɛ̀-kpəɣa̍",,"a̍-kpâŋgù, a-,"
083,SMELL (OF): SMELL (TR.),junù,,
084,SNAKE,ɲ’-ɲɔ̀ɔ̂,,ɛ-
086,"SPEAK, TO",râg,,
087,TO SPIT,fûm,,
088,"SPREAD IN SUN TO DRY, TO",bân,,
091,TAKE OUT OF: EMPTY,jìɣî,,
092,THING,è-ʤôm,,ɲ̀-sɔn
093,"TONGUE, LANGUAGE",nɛ-nìbî,,n-
094,TOOTH,nɛ-mʌ̂n,,à-
096,TREE,è-te,,ǹ-
099,WAR,bɛ̀-ta̍,,ǹ-
100,WATER,à-nʌb,,
101,WING,ɛ̀-kpɔ̀ŋmkpɔ̀ŋ,,à-
102,"WOMAN, WIFE","màŋ-kaa̍, ŋ̀-kaa̍",,"àbà-, à- ~àbà-"
103,ONE,ɛ-ʤiì,,
104,TWO,bi-bâ,,
106,FOUR,bɛ-nɛ̂,,
107,FIVE,bɛ-rɔ̂n,,
109,SEVEN,à-sɪimma̍,,
112,TEN,wobo,,
113,FIFTEEN,nɛ̀-koò,,
114,TWENTY,nɛ̀-tʌ̂n,,à-
115.1,TWO HUNDRED,ɛ-gɔ̀r,,

