BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,ɛ̀-zɛ̀n,,ɪ̀-
003,ARMPIT,hɛ-vírɪvá,,βɛ-
004,ARROW,ɛ-tàn,,ɪ-
005,ASHES,,,ɪ̀-tɔ̀tɔ́ɪ̀
006,ASK (A QUESTION),pɪɪ (!); pɪ (inf.),,pɪβa̍ɪ
007,"BAD (BE), TO",pep’,,pepemə (!); hɛ̀nàβɛ (adj.)
008,BEAN,à-zám̀; ò-kpòmə̀,,ì-
009,BEG (ASK FOR S.T.),dəə (!); də̀ə̀ (inf.),,
010,BELLY,rè-mè,,rə̀-
011,BITE,faa,V,vaɪ (inf.)
012,BUFFALO,è-ʃì ~ è-sì,,ì-
013,"BUILD, TO (CF. SEW)",na̍n [na̍ŋ] (!); mòo (!); sɛ̀ɛ (!),,
014,CALABASH,βìzupˉ,,"re-horə, βù-; rə-"
015,CARVE,həə (!),,
016,CHARCOAL,è-pìne,,ì-pìne
017,CHILD,gwàn,,fɔ̀n
018,COME OUT,nàβɛrɛ̀ (!),,
019,"COOL, BE(COME) TO","ʤʊnɔ (!), ʤʊnɔ̀ (inf.)",,
020,CORPSE,ò-kpə hɪzɔ̀ɪ,,βə̀-
021,COUNT: DRAW A LINE,tòń (imp.),,
022,COW/CATTLE,ɛ̀-vɔ̀m,,ɪ̀-
023,CRAB,hɔ̀-káǹ,,hɪ̀-
024,CROCODILE,ɛ-ʤɛm̀,,ɪ-
025,"DANCE, TO",βʊ-kwà,,
026,DEPTH,hòdòè,,
027,DIE: DEATH,"kpə (!), rò-kpə",,ì-kpəkpə̀ŋ
028,"DIVIDE, SHARE OUT, TO",totòə̀ (!),,
029,"DRAW (WATER), TO",the,,
030,"BECOME DRY, TO",zɛɛ (!),,
032,"EAT, TO",si~sɪ (!),,
033,EGG,rɛ̀-sɛ̀rɛ̄,,rà-sɛ̀rɛ̄
034,ELEPHANT,è-ɲì (ra̍hòrɔ́sɛ̀),,ì-
035,"EXTINGUISHED, BE TO",zumə (!); zumə̀ (tr.); zum (!) (intr.),,
036,EYE,sɛ̀n,,jɛ̀n
037,"FALL, TO",sàa,,sàŋaɪ̀ (!)
038,"FAT, OIL, GREASE","hɪ̀-tɔ#ɔ#rɛ̀, βà-nàì",,rà-
039,FEAR,kɔ̀-hàrà,,
040,FEMALE,ɔ̀-màà,,ì-
041,FIREWOOD,βì-mə̀,,ì-
042,FOREST (BUSH),hɛ̀-tʊ̀m,,"βɛ̀-, rɛ̀-hɔ[r]"
043,CHICKEN/FOWL,βɪ̀-hɔhɔ̀βʊ̀-,,
044,"FRY, TO BAKE IN ASHES, TO","vɔβ [vɔpˉ] (!),vɔβ (inf.)",,
045,"GIVE, TO","ɲɪ̀ɪ, hə̀ŋ",,
046,"GO, WALK, TO","the (intr.); se(!), sé (inf.) zɛ̀ŋ",,zɛzɛ̀à
047,GRASSHOPPER,hɛ̀-thàn,,βɛ̀-
048,"GROW, BECOME STRONG, TO","pòo, teŋ",,"-- (!), -- (!)"
049,GUINEA-FOWL,ɛ̀-hɔn,,ɪ̀-
050,HEAD,rɛ̀-thɔ,,rà-
051,HEART,rò-fèm,,ì-
052,HEAVY,rɔp-,,
053,HOE: CULTIVATE,wəp-,,
054,"KILL, TO",pɪ̀na̍,,bɪ̀ŋ (!)
055,"LEG, FOOT","hɔ̀-vɔ̀n, kɛ-háǹ",,"ɪ̀-, βɛ-"
056,LEOPARD (‘PANTHER’),ɛ̀-kpɛ̀,,ɪ̀-
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",nə̀əm,,-- (!)
058,"LICK, TO",dʊpˉ,,dʊdʊβa̍ (!) dʊdʊ̀βà (inf.)
060,MEAT,"ɛ̀-zɛ̀n, ʤɛ́",,"ɪ̀-, ʤɪ́"
061,MOULD TO,sɛ̀ɛ̀ (inf.),,
062,"MOUNT, TO","túm,  thumə",,
063,NAME,rɛ̀-hɔ̀n,,rà-
064,NIGHT: DAY OF 24 HOURS,"hè-zìn, rè-ʤè",,"βè-, rə̀-"
065,FAN PALM (BORASSUS AETHIOPUM),"ò-puə̀, ɛ̀-kpɔ́ɔ́rɛ βo-pè",,ì-;ì-hi’
065.1,OIL PALM (ELAEIS GUINEENSIS),"ò-puə̀, ɛ̀-kpɔ́ɔ́rɛ βo-pè",,ì-;ì-hi’
066,PERSON,ɔ̀-nɔ̀ɔ̀βà-,,
067,"PIG (DOMESTIC, WILD)","è-kóm̀ba̍, è-sì/ì-ʤɛ́",,"ì-, ʤɪ"
068,"PRESS, SQUEEZE OUT, MILK",jɛ̀mɛ (!);jɛ̀mɛ̀ pɪɪ́rɛ̀ (!) pɪ̀ɪ̀rɛ̀,,
069,QUARREL,hàŋ; ha̍hànà kɛ̀-hàŋ,"V, N",βɛ̀-
070,RAPHIA PALM,rò-βə̀ŋ,,hì-
071,"REFUSE, RETAIN, TO",vùm (inf.); vùum (!),,
072,"RESEMBLE, BE EQUAL TO",hə̀hə̀rə̀; həhə̀rə̀ (!),,
073,ROAD: PATH,è-thò,,ì-
074,"ROAST ON COALS, TO",vɔp-,,
075,"ROT, TO","βə̀re’rè (!), βə̀rèrè (inf.)",,
076,RUBBISH-HEAP,ìzùmə,,
077,SEND: WORK,"tɔm, tɔma̍ɪ̀",,"hɔ̀-tɔm, hì-"
079,"SEW, TO",ka̍a̍,,
080,"SHINE, BE LIGHT, BE WHITE TO","mʊ̀; mʊ̀ʊ (!), kòhəhń",,
081,SING,zə̀m,,zəzə̀mə̀ (imp)
082,"SKIN, HIDE, BARK","ɛ̀-kpa̍, ɛ̀-kpa̍, hɛ̀-kɔ",,"ɪ̀-, ɪ̀-, βɛ-"
083,SMELL (OF): SMELL (TR.),"zàa̍β  [zàa̍pˉ ] (imp.), fə  hɛ̀nʊ̀",,
084,SNAKE,ɛ̀ʤɔ̀ɪ,,ɪ̀-
085,SONG,hò-zə̀m,,hi-
086,"SPEAK, TO","tə̀ə (!), tə̀ə̀",,
087,TO SPIT,kʊn (!); kʊna̍i,,
088,"SPREAD IN SUN TO DRY, TO",gʊ̀ʊ/gʊ̀ha̍ɪ̀;  gʊ̀/gʊ̀hàɪ,,
089,"STICKY, TO BE","nàa̍nàɛ̀ (imp), nànàɛ̀ (inf)",,
090,"STONE, ROCK",rɛ̀-tháǹ ɛ̀-tātànɛ̀ ɛ̀-kpa̍tà,,rà-; ì- ì-
091,TAKE OUT OF: EMPTY,"zùβə, və̀ə",,"sùu (!), hɛ̀ń (!)"
092,THING,βɔ̀-vɛn,,βɛ̀-
093,"TONGUE, LANGUAGE","rɛ̀-mɛ̀n, hɔ-pà",,"rà-, hi-"
094,TOOTH,rɛ̀-sàn,,ra-
095,TORTOISE,ri-βèrèhuβ,,rə-
096,TREE,hè-se,,βè-
098,WANT (DESIRE): LACK SEEK,"ɲɛŋ, kɔ, ɲɛŋ",,"ɲɛɲɛa̍, ɲɛɲɛa̍"
099,WAR,rɛ̀-hɔn,,rà-
100,WATER,βà-ɲɪ,,rà-
101,WING,he’-po,,βe’-
102,"WOMAN, WIFE","gwà, gwà",,"bà, bà"
103,ONE,gwɛ́ǹ; gwɛ́,,
104,TWO,a̍à-vá,,
106,FOUR,a̍à-ná,,
107,FIVE,ɔɔ̀βɔ́,,
