BNC ID,Gloss,Phonetic,Word Category
001,ANIMAL,bâp,
003,ARMPIT,mətə,
007,"BAD (BE), TO",àkàpõ i,
010,BELLY,vâm,
011,BITE,lə́m,V
017,CHILD,mṹ,
027,DIE: DEATH,pfɨ́,
032,"EAT, TO",pfá,
036,EYE,m̀-ɲə́,
043,CHICKEN/FOWL,gòbɔ́,
045,"GIVE, TO",há,
050,HEAD,twə́,
055,"LEG, FOOT",kwə̂,
056,LEOPARD (‘PANTHER’),nɒ̄mgwî,
060,MEAT,bâp,
066,PERSON,mətə,
080,"SHINE, BE LIGHT, BE WHITE TO",a̍fɑ’q,
086,"SPEAK, TO",siŋ,
087,TO SPIT,twəmtsi,
090,"STONE, ROCK",gwɔ̈̂ʔtə̀,
093,"TONGUE, LANGUAGE",lə́m,
094,TOOTH,ḿ-sõiŋ,
096,TREE,tsiə,
104,TWO,iá-pɪə̀,
106,FOUR,iápfiə̀,

