BNC ID,Gloss,Phonetic,Pl Phonetic
001,ANIMAL,nam,
004,ARROW,i-sit,
006,ASK (A QUESTION),lúŋúk,
009,BEG (ASK FOR S.T.),cumáà,
010,BELLY,i-hu,
012,BUFFALO,i-ʤat,
015,CARVE,shábak,
017,CHILD,i-hwei,
021,COUNT: DRAW A LINE,hwágak,
025,"DANCE, TO",cɛ́t,
031,EAR,i-to,
033,EGG,a-tseve,
034,ELEPHANT,ìnyè,
036,EYE,i-ʤo,a-
037,"FALL, TO",kó,
038,"FAT, OIL, GREASE","a-fjep, a-no",
039,FEAR,nìk,
043,CHICKEN/FOWL,janaŋ,
050,HEAD,i-to,
051,HEART,a-ʤor,
055,"LEG, FOOT",i-hol,imbari hol
056,LEOPARD (‘PANTHER’),ihwei,
060,MEAT,nam,
064,NIGHT: DAY OF 24 HOURS,"a-tuk, igwe cho",
066,PERSON,in-ʧin,a-
071,"REFUSE, RETAIN, TO",jak,
073,ROAD: PATH,i-ʧukwi,
078,"TRAP, TO SET A",kushi,
079,"SEW, TO",toreŋ,
081,SING,lé,
083,SMELL (OF): SMELL (TR.),làk (v.),
084,SNAKE,i-gwak,
086,"SPEAK, TO",shɛ́,
087,TO SPIT,kpáncɛs,
088,"SPREAD IN SUN TO DRY, TO",lap,
090,"STONE, ROCK",i-tare,
093,"TONGUE, LANGUAGE",i-bjer,
094,TOOTH,ingji-niŋ,ʤi-
095,TORTOISE,*inkurufa,
096,TREE,in-gwoŋ,
099,WAR,i-rin,
100,WATER,i-majir,
102,"WOMAN, WIFE",in-gat,angara-fa
103,ONE,-(ki)-di,
104,TWO,-fa,
106,FOUR,ànáŋàs,
107,FIVE,atúgen,
108,SIX,àtɛ́ɛ̀r,
109,SEVEN,atáráŋash,
110,EIGHT,kánárash; nababo,
111,NINE,ajalakbodi,
112,TEN,-ʃok; soegwe,

