BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,è-tìn,,
003,ARMPIT,rá-kpàβɔ̂,,
005,ASHES,rì-tɔ́,,
006,ASK (A QUESTION),bə́βɔ́,,
007,"BAD (BE), TO",ké-bíá,,
010,BELLY,rè-jú,,
011,BITE,dúmɔ́,V,
012,BUFFALO,è-fúhúrú,,
013,"BUILD, TO (CF. SEW)",rí:,,
014,CALABASH,rè-dùɣɔ̀,,
016,CHARCOAL,rí-tùrɛ̂,,
017,CHILD,ŋ̀-wɔ̂n,,m-bɔ̂n
018,COME OUT,ɟáɣɔ́,,
019,"COOL, BE(COME) TO",jə̀nɔ́,,
020,CORPSE,ò-bùrɛ̀bùrɛ̀,,
022,COW/CATTLE,ɛ̀-fɔ̀m,,ì-
023,CRAB,kɛ̀-kâ,,
024,CROCODILE,ŋm̀-gbɛ̀+àlə́b,,
025,"DANCE, TO","túɣɔ́, ɛ́-ʧɛ́rɔ́",,
026,DEPTH,rɛ̀-túɣámá,,
027,DIE: DEATH,"bá, rɔ̀-bɔ́ (?)",,
028,"DIVIDE, SHARE OUT, TO",nèmí,,
029,"DRAW (WATER), TO",sə́bá,,
030,"BECOME DRY, TO",ʧílɔ́,,
032,"EAT, TO",ʤɛ́,,
033,EGG,è-ʧí,,
034,ELEPHANT,é-njî,,
035,"EXTINGUISHED, BE TO",lə́mɔ́,,
036,EYE,ʤɛ̀nɔ̀,,
037,"FALL, TO",tɔ̌:,,
038,"FAT, OIL, GREASE","rà-fɔ̂m, mà-nɔ̀",,
039,FEAR,ɛ̀-ràw,,
040,FEMALE,ɔ̀-mǎ,,
041,FIREWOOD,ì-mɛ̀r,,
042,FOREST (BUSH),ɛ̀-ká-tə̀mɛ́,,
043,CHICKEN/FOWL,ɛ̀-kɔ̌k,,
044,"FRY, TO BAKE IN ASHES, TO","káŋɛ́, fɔ́",,
045,"GIVE, TO",njě,,
046,"GO, WALK, TO","dɔ̌ŋ, ʧɛ̀ŋɛ́",,
048,"GROW, BECOME STRONG, TO",rúɔ́,,
050,HEAD,rè-tú,,rà-
051,HEART,è-tímɔ̀,,
053,HOE: CULTIVATE,kpàŋɔ́,,
054,"KILL, TO",wùlɔ́,,
055,"LEG, FOOT",kɛ̀-kár,,ì-
056,LEOPARD (‘PANTHER’),ɛ̀-kpɛ̀,,
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO","lɔ̀mɛ́, dálɛ́",,
058,"LICK, TO",də́bɛ́,,
060,MEAT,*è-tìn,,ì-
061,MOULD TO,*múnɔ́,,
062,"MOUNT, TO",máŋɔ́,,
063,NAME,rì-dínɔ̀,,
064,NIGHT: DAY OF 24 HOURS,"*ʤɔ̀, *rè-jì",,rà-
065,FAN PALM (BORASSUS AETHIOPUM),"ɔ-jɔ̀k, ɔ̀-kàmkû",,à-
065.1,OIL PALM (ELAEIS GUINEENSIS),"ɔ-jɔ̀k, ɔ̀-kàmkû",,à-
066,PERSON,ò-nì,,à-
