BNC ID,Gloss,Phonetic,Pl Phonetic
001,ANIMAL,í:njã,
007,"BAD (BE), TO",i  sɔno:re;  ere:  bibi,
008,BEAN,e-ʃɛˋ,
009,BEG (ASK FOR S.T.),(me:) ʧim-arõ,
010,BELLY,de-fõ,ne-
014,CALABASH,kasu:o,
016,CHARCOAL,de-bi:re,
017,CHILD,woŋu:a,
022,COW/CATTLE,a-pi,
025,"DANCE, TO",(me)no,
027,DIE: DEATH,me:-ku:e,
030,"BECOME DRY, TO",ki:njon,
031,EAR,ko:-choŋ,a:-
032,"EAT, TO",mo ze:,
033,EGG,a-ʧi,
034,ELEPHANT,e-ʃu:ɔ,
036,EYE,ɛ-zi,a-
037,"FALL, TO",me mu:+esi,
041,FIREWOOD,e:-ku:ɛ̃,
043,CHICKEN/FOWL,o-ku:ɔ,
045,"GIVE, TO",me kɛ:wɛ,
046,"GO, WALK, TO",me: ru:ɔ,
050,HEAD,ni-ʃi,
054,"KILL, TO",me:-ʧu-ɔ:ku:ɔ,
055,"LEG, FOOT",de-ʧɛ,a-
056,LEOPARD (‘PANTHER’),e-gbɔ̃,
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",me-re:si,
060,MEAT,í:-njā,
064,NIGHT: DAY OF 24 HOURS,"mó:-ti:u, éʃu:i",
065,FAN PALM (BORASSUS AETHIOPUM),e-súgile:bi,
065.1,OIL PALM (ELAEIS GUINEENSIS),e-súgile:bi,
067,"PIG (DOMESTIC, WILD)",ké:ram,
079,"SEW, TO",(mé) koɛ̃́: fɛ̃,
080,"SHINE, BE LIGHT, BE WHITE TO","púru, keré:puru, eré:puru",
082,"SKIN, HIDE, BARK",ɔ́:-ku:ɛ,
084,SNAKE,ó-ʃi,
086,"SPEAK, TO",(mé:)rō̃; (mé:)roŋmɛ,
090,"STONE, ROCK",ó:-ka,
093,"TONGUE, LANGUAGE",né-bɛ,dé-bɛ
094,TOOTH,ó-ʃaŋ,é-
096,TREE,ó-si,é-si
099,WAR,wú:esɛ,
102,"WOMAN, WIFE",o-njínjə,a-
103,ONE,úbɔ̃,
104,TWO,é-fɛ,
106,FOUR,é-ne,
107,FIVE,é:ʧaŋ,
108,SIX,é-ʧe:ʧe,
109,SEVEN,éʧa:néfɛ,
110,EIGHT,e:nɛ́ne,
111,NINE,é-ʧa:nɛ́ne,
112,TEN,"é:ku:e, lé:ku:e",
113,FIFTEEN,"kú:é  ké:ʧaŋ, lékue néʧaŋ",
114,TWENTY,lézi:,

