BNC ID,Gloss,Phonetic,Word Category
001,ANIMAL,nɔ̂m,
003,ARMPIT,è-úá,
004,ARROW,èkuɔ́ŋŋwà,
005,ASHES,ń-fuə́,
006,ASK (A QUESTION),"tɔ́ŋ, n-dzít",
007,"BAD (BE), TO",ʧə́-pɔ̂ŋ,
008,BEAN,m̀-kwú,
010,BELLY,é-vâm,
011,BITE,n-də́m,V
012,BUFFALO,nɛ́t,
014,CALABASH,tiə́+ɲ’cʃí,
015,CARVE,ŋ-kxɨ́ (nə̀ɣwɔ̀?),
017,CHILD,mó,
018,COME OUT,n-tə́m,
019,"COOL, BE(COME) TO",ŋém (humide ?),
021,COUNT: DRAW A LINE,sáŋ,
023,CRAB,kɔ́m,
024,CROCODILE,ŋ-gá’(‘ɲ-ʧí),
026,DEPTH,è-fí’,
027,DIE: DEATH,kfɔ́,
028,"DIVIDE, SHARE OUT, TO",ɣǎp,
030,"BECOME DRY, TO",ɲ-já,
032,"EAT, TO","ndzɔ́, m-pfɛ́t",
033,EGG,é-pə́m,
034,ELEPHANT,sə́,
035,"EXTINGUISHED, BE TO",mbiɛ́,
036,EYE,è-zə́,
038,"FAT, OIL, GREASE",mvɛ́t,
040,FEMALE,mə̀ŋ-gwiə́,
043,CHICKEN/FOWL,ŋ̀-gɣɨ́b,
045,"GIVE, TO",‘hə́,
046,"GO, WALK, TO",ɣě; ʒǐŋ,
047,GRASSHOPPER,ŋgjém (‘ntá),
048,"GROW, BECOME STRONG, TO",kuɔ̂’nə́cʃá’,
049,GUINEA-FOWL,ŋgâŋsə́ŋ,
050,HEAD,tfú,
051,HEART,m-báŋ  n-thɨ́m,
052,HEAVY,ndziit,
053,HOE: CULTIVATE,n-dzɨ́’,
055,"LEG, FOOT",kfô:,
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",lʒié (!) n-dié (inf.),
058,"LICK, TO","lɛ́t, ń-dɛ́t (inf.)",
060,MEAT,ḿ-báp,
061,MOULD TO,niɛ̂b,
063,NAME,ezə́,
065,FAN PALM (BORASSUS AETHIOPUM),e’tə́˜ ʔ tə́,
066,PERSON,níə̀ŋ,
067,"PIG (DOMESTIC, WILD)",ŋ́-gɣə̀nɔ̌m,
068,"PRESS, SQUEEZE OUT, MILK","nɔ́!ʔɔ́, é-phɪ́",
071,"REFUSE, RETAIN, TO","kâ, ntɔ́ʔɔ",
072,"RESEMBLE, BE EQUAL TO",fə́né,
073,ROAD: PATH,mə́ɲʤʒǐ,
074,"ROAST ON COALS, TO",káŋ,
075,"ROT, TO",mbîɛ ~ mbîə,
077,SEND: WORK,tə́m,
079,"SEW, TO",tám,
080,"SHINE, BE LIGHT, BE WHITE TO","ndə́ŋne’, fə",
082,"SKIN, HIDE, BARK",ŋgɣûb,
083,SMELL (OF): SMELL (TR.),"fiɛt, ɲjuʔfiɛt",
084,SNAKE,núɔ,
087,TO SPIT,pfə´,
089,"STICKY, TO BE",mpfɛ́t,
090,"STONE, ROCK",lɔ̂ŋ,
093,"TONGUE, LANGUAGE",lɪ́m,
094,TOOTH,é-’sɔŋ,
095,TORTOISE,kfý  ɑ ‘máŋkwɔ̌ ʔ,
096,TREE,ˋthɪ́ə́,
097,TWIN,môjhá,
098,WANT (DESIRE): LACK SEEK,kwɔŋ,
101,WING,páp,
102,"WOMAN, WIFE",see FEMALE,
104,TWO,pɪə́,
106,FOUR,ékuâ,
107,FIVE,pé-tâ,

