BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,nɔ̂b’,,
003,ARMPIT,xə̀xá,,
004,ARROW,kwɔ̀g (kà ‘ʧé),,
005,ASHES,və́,,
006,ASK (A QUESTION),tɔ̀g-sɔ̌; zə́sə́; dɨ́sə́,,
007,"BAD (BE), TO",m-bə́,,
008,BEAN,ŋ-kú,,
010,BELLY,váb’,,
011,BITE,lə́b’; cʃó,V,
012,BUFFALO,-ɲé,,
013,"BUILD, TO (CF. SEW)",ŋ-kwɔ́g’ (inf.),,
014,CALABASH,tjɨ́(+ɲʃě),,
015,CARVE,kúb,,
017,CHILD,ŋwɔ́,,
018,COME OUT,tə́b’,,
019,"COOL, BE(COME) TO",xú(ʃə),,
021,COUNT: DRAW A LINE,ʃiág’,,
023,CRAB,kɔ́b(ɲʃě),,
024,CROCODILE,ŋ-gɔ́+ɲ’ʃə́,,
026,DEPTH,ɲcʃú; tɨ́b’ ntsě,,
027,DIE: DEATH,ŋ-kpfɨ́,,
028,"DIVIDE, SHARE OUT, TO",ɣě:; ɣɛ̀-sě,,
030,"BECOME DRY, TO",já:,,
032,"EAT, TO","zə́  kwé, kpé",,
033,EGG,pə́b’,,
034,ELEPHANT,sɔ́nɔ̌b’,,
035,"EXTINGUISHED, BE TO","pfú (v.i.), piə́ (tr.)",,
036,EYE,ə-zə́,,ə-mə́
038,"FAT, OIL, GREASE",ŋwɛ́,,
040,FEMALE,mə́ɲ-ʤwí,,
043,CHICKEN/FOWL,ŋ-gxɨ́b’,,
045,"GIVE, TO",hɛ̃,,
046,"GO, WALK, TO",jě,,
047,GRASSHOPPER,ygámntɔ̌,,
048,"GROW, BECOME STRONG, TO",sá’,,
049,GUINEA-FOWL,ngágsɨ́g’,,
050,HEAD,tswə́,,
051,HEART,n-tswə́,,
052,HEAVY,ndzé,,
053,HOE: CULTIVATE,zə́’,,
055,"LEG, FOOT",kxə̂,,
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",(nɔ̀g-) ʃí,,
058,"LICK, TO",lé,,
060,MEAT,ḿ-bɛ̂,,
061,MOULD TO,p(f)úbʔ,,
063,NAME,ə-zə́,,
065,FAN PALM (BORASSUS AETHIOPUM),tɔ́,,
065.1,OIL PALM (ELAEIS GUINEENSIS),tɔ́,,
066,PERSON,mə́ntə̂,,
067,"PIG (DOMESTIC, WILD)",ŋ́-gə́nɔ̌b-,,
068,"PRESS, SQUEEZE OUT, MILK","ɲwɔ̀ʔɔ́, ɲí, ḿ-bɪ́",,
071,"REFUSE, RETAIN, TO","ɣágʔ, cézə́ (gêner)",,
072,"RESEMBLE, BE EQUAL TO","xə́ɲə́, xə́sə́",,
073,ROAD: PATH,"mə́ɲʤě, ɲʤə̂",,
074,"ROAST ON COALS, TO",kágʔ,,
075,"ROT, TO",pfǔ,,
077,SEND: WORK,ntə́bí,,
079,"SEW, TO",ntáb,,
080,"SHINE, BE LIGHT, BE WHITE TO",tɪ́ə,,fə
082,"SKIN, HIDE, BARK",ŋgə̂bʔ,,
083,SMELL (OF): SMELL (TR.),ndábʔ (inf.); ndábsə́ (sentir bon),,
084,SNAKE,ɲú,,
087,TO SPIT,tóhʔò,,
090,"STONE, ROCK",lɔ́¨ə́;,,
093,"TONGUE, LANGUAGE",lɪ́bʔ,,
094,TOOTH,swɔ̂g ʔ,,
095,TORTOISE,cʃwə́’mə́ŋkwɔ̌ ʔ,,
096,TREE,tsə́,,
097,TWIN,xá(ɲě),,póxá (pl.)
098,WANT (DESIRE): LACK SEEK,kwɔ̌:,,
101,WING,pɛ̂,,
102,"WOMAN, WIFE",see FEMALE,,
104,TWO,ípɪə́,,
106,FOUR,íkwǒ,,
107,FIVE,í-tɔ́,,

