BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,ná,,
003,ARMPIT,lə́-ɣàptĩ,,
004,ARROW,lə̀-kùŋ+kiɛ́t,,
005,ASHES,á-’vɔ́,,
006,ASK (A QUESTION),"lɔ́, zə́tə́",,
007,"BAD (BE), TO",á’pə́g’,,
008,BEAN,mə́-kʊ̀,,
010,BELLY,lə́-və̂m,,
011,BITE,ń-dú (inf.),V,
012,BUFFALO,nà- nɛ́t,,
014,CALABASH,ɛ́-’tiɔ́,,
015,CARVE,kɔ́,,
017,CHILD,mɔ́,,
018,COME OUT,túɔ́,,
019,"COOL, BE(COME) TO",ŋwɛ́,,
021,COUNT: DRAW A LINE,sáŋ(á),,
023,CRAB,kâmbúŋ,,
024,CROCODILE,ŋ́-gá+n-tsí,,
026,DEPTH,ə́-’sɛ́,,
027,DIE: DEATH,kfɨ́,,
028,"DIVIDE, SHARE OUT, TO",ɣáp-tí,,
030,"BECOME DRY, TO",n-zág-ní (inf.),,
032,"EAT, TO","ʒɨ́, pfɛ́t",,
033,EGG,‘pʊ́  ‘ŋ-gáp,,
034,ELEPHANT,ə́ʃiɔ̀,,
035,"EXTINGUISHED, BE TO",píkɛ́,,
036,EYE,lə́-’zə́g’,,
038,"FAT, OIL, GREASE",mə́-vɛ̀t,,
040,FEMALE,mə̀ɲ-ʤwí,,
043,CHICKEN/FOWL,ŋ́-’gáp,,
045,"GIVE, TO",já,,
046,"GO, WALK, TO",gɣiɔ́; zíŋə́,,
047,GRASSHOPPER,ŋgiém,,
048,"GROW, BECOME STRONG, TO",əsá’,,
049,GUINEA-FOWL,ŋgáŋà,,
050,HEAD,á-thú,,
051,HEART,á-’tə́,,
052,HEAVY,ń’dzɛ́t,,
053,HOE: CULTIVATE,ʒə̀ʔə́,,
055,"LEG, FOOT",ń-’tág,,á-khù
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",nɔ̀ŋə́,,
058,"LICK, TO",pə̀ŋə́,,
060,MEAT,ḿ-’báb,,
061,MOULD TO,mbɔ́tí,,
062,"MOUNT, TO",kɔ́,,
063,NAME,lézəŋ,,
065,FAN PALM (BORASSUS AETHIOPUM),lə̀tɪɔ̌,,
065.1,OIL PALM (ELAEIS GUINEENSIS),lə̀tɪɔ̌,,
066,PERSON,ɲíŋnɔ́,,
067,"PIG (DOMESTIC, WILD)",khú+nà,,
068,"PRESS, SQUEEZE OUT, MILK","nɔʔɔ́  nwɛ́t, mbɪ́",,
071,"REFUSE, RETAIN, TO",tɛ́ní; lɪ́ʔə́,,
072,"RESEMBLE, BE EQUAL TO",ʃɥíní,,
073,ROAD: PATH,(amə)ǹzə̀,,
074,"ROAST ON COALS, TO",káŋá,,
075,"ROT, TO",mbíɣ,,
077,SEND: WORK,tʊ,,
079,"SEW, TO",ətḿ,,
080,"SHINE, BE LIGHT, BE WHITE TO",ŋwáŋní,,fógʔ
082,"SKIN, HIDE, BARK",ŋ́’gúb,,
083,SMELL (OF): SMELL (TR.),júʔ  zigə,,
084,SNAKE,´‘nú,,
087,TO SPIT,ń-’tsʊ́gˉ,,
089,"STICKY, TO BE",ŋgiɛ́zə́ ~ ŋgíɛ́t,,
090,"STONE, ROCK",ə́-tɔ́,,
093,"TONGUE, LANGUAGE",á-’lə́,,
094,TOOTH,lə́-sɔŋ,,
095,TORTOISE,pfáŋkɔ̀ ʔ,,
096,TREE,á-’thɪ́,,
097,TWIN,mə́-fa̍g,,
098,WANT (DESIRE): LACK SEEK,kɔ́ŋ,,
101,WING,lə́-pa̍p; nə́-pa̍p,,
102,"WOMAN, WIFE",see FEMALE,,
104,TWO,mə́-!piá,,
106,FOUR,lə́kuá,,
107,FIVE,mə́-tâ,,

