BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,i-ro,,o-belewa
013,"BUILD, TO (CF. SEW)",-me,,
060,MEAT,a-mwi-ja,,
061,MOULD TO,amaki-mekwi,,
062,"MOUNT, TO",tando,,
063,NAME,ri-ji-,,-mwa
064,NIGHT: DAY OF 24 HOURS,u-tu,,
065,FAN PALM (BORASSUS AETHIOPUM),maɲe-jiba (n.c.),,
065.1,OIL PALM (ELAEIS GUINEENSIS),maɲe-jiba,,
066,PERSON,membi,,
067,"PIG (DOMESTIC, WILD)",a-lade,,
068,"PRESS, SQUEEZE OUT, MILK","balaʃi, bija a-mbe balaʃi (ambe = nipples’)",,
069,QUARREL,alazagadam (H.?),"V, N",
071,"REFUSE, RETAIN, TO",gwo (bi),,
072,"RESEMBLE, BE EQUAL TO","awoma, ami-maʔmbe",,
073,ROAD: PATH,o-kje-,,-gigi
074,"ROAST ON COALS, TO",ijuwa,,
076,RUBBISH-HEAP,a-ngbarike,,
077,SEND: WORK,suwanzo,,zenzo
078,"TRAP, TO SET A",gja-gja (tarko) n. = H.),,
079,"SEW, TO",luwa,,
080,"SHINE, BE LIGHT, BE WHITE TO",numubija,,
081,SING,jiʃi,,
082,"SKIN, HIDE, BARK","e-kpa-e-kpowe, e-kpa",,
084,SNAKE,buze-,,-mwa
086,"SPEAK, TO",bula,,
087,TO SPIT,anʤe,,
089,"STICKY, TO BE",kpaɲa-kpaɲa,,
091,TAKE OUT OF: EMPTY,jaʃido,,
092,THING,i-wo,,
093,"TONGUE, LANGUAGE",o-le,,
094,TOOTH,a-nba,,
095,TORTOISE,i-kuru-,,-mwa
096,TREE,i-kwe,,
097,TWIN,ma-jawo,,
098,WANT (DESIRE): LACK SEEK,ladoka-imiŋja amawon,,
099,WAR,zenzo,,
101,WING,o-nwu,,
103,ONE,i-ŋgja (i-ŋja?),,
104,TWO,u-wa,,
106,FOUR,o-ne,,
107,FIVE,o-suwan,,
108,SIX,o-ndra,,
109,SEVEN,o-nʤini,,
110,EIGHT,o-nekle,,
111,NINE,o-suraʔne,,
112,TEN,o-gwai,,
113,FIFTEEN,o-gwai laza suwan,,
114,TWENTY,wambije,,
115,HUNDRED,wambija-suwan,,
116,FOUR HUNDRED,dari a-ne,,
117,THOUSAND,ɗubu H.,,

