BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,ʊ́:-rḿ,,βá:-
060,MEAT,ɛ:-zɛn (T?),,
065,FAN PALM (BORASSUS AETHIOPUM),rí:-dì,,rí:-
065.1,OIL PALM (ELAEIS GUINEENSIS),rí:-dì,,rí:-
066,PERSON,ɔ́:-nɛ́,,βɛ́:-
067,"PIG (DOMESTIC, WILD)","í-sí (ì-dón = house), í-sí (‘rá-gɔ̀t = bush)",,
069,QUARREL,ʤə̀m; gàì gó:-ʤɪɑm,"V, N",-; ì-gáí -
070,RAPHIA PALM,"gá:-gɛ̀t-, βɔ́:-vɔ̀n",,"gá:-, βɔ́:-"
074,"ROAST ON COALS, TO",vɔ̀p-,,
076,RUBBISH-HEAP,rí-βə̀nìnì,,
082,"SKIN, HIDE, BARK","á:-kpà (‘ɔ́:-nɛ́), gá:-kpà (‘ɛ:-zɛ́n), gá-kpà (‘gɛ",,"- (‘βɛ́-), -(?)--"
090,"STONE, ROCK",rá:’tán,,
093,"TONGUE, LANGUAGE",gɔ́:-ʤɔ̀p-,,gɔ́:-
096,TREE,gɛ́-sɛ̀,,gɛ́-
100,WATER,má:-nì (má:nì ?),,
103,ONE,wɪ́nì,,
104,TWO,ɔ́fáí,,
106,FOUR,ɔ́náí,,
107,FIVE,gùβɔ̀,,
108,SIX,òβɛ̀ɾɛ́  wɪ́nì,,
109,SEVEN,ɔ̀βɔ̀ɾɔ́fáí,,
110,EIGHT,ɔ̀βɔ́ɾɔ́tàt-,,
111,NINE,ɔ̀βɔ̀rɔ́náí,,
112,TEN,díɔ́p-,,
113,FIFTEEN,[dɪ́n],,
114,TWENTY,rá-nə̀p-,,í-
115,HUNDRED,á-nò-gùβɔ̀,,
116,FOUR HUNDRED,rɔ́-gɔ̀t-,,í-

