BNC ID,Gloss,Phonetic,Pl Phonetic
010,BELLY,adzõ,
012,BUFFALO,wuʤi,
017,CHILD,aŋwa tifi,
022,COW/CATTLE,nɛ,
024,CROCODILE,anumi,
031,EAR,tsuʧu,
033,EGG,kɛɛ  kũ,
034,ELEPHANT,wunji,
036,EYE,zu,
038,"FAT, OIL, GREASE","aso, bju",
043,CHICKEN/FOWL,kũ,
050,HEAD,ʃi-na,
051,HEART,aŋu,
055,"LEG, FOOT",a,apata-ba
056,LEOPARD (‘PANTHER’),bu-fji,
060,MEAT,wɛ,
064,NIGHT: DAY OF 24 HOURS,"asunɔ, njiunu",
066,PERSON,apa,
067,"PIG (DOMESTIC, WILD)",aruma,
073,ROAD: PATH,nja+ʃo,
084,SNAKE,bu-su,
093,"TONGUE, LANGUAGE",anɛnɛ,
094,TOOTH,anjin,anji
096,TREE,fi,
099,WAR,kã,
100,WATER,lape,
101,WING,*nsábu,
102,"WOMAN, WIFE",owa wunu,owa
103,ONE,zupɔ̃ ~ zũ,
104,TWO,i-pjɛ,
106,FOUR,i-ni,
107,FIVE,i-tsɔ̃,
108,SIX,-ʃɛnʤi,
109,SEVEN,tsɔ̃ pjɛ,
110,EIGHT,i-tsɔ̃ sã,
111,NINE,itsɔ̃ gjɔ,
112,TEN,-de,
114,TWENTY,-de  zũ,
115,HUNDRED,-de kpa-tsɔ̃,
116,FOUR HUNDRED,de kpa dizũ,

