BNC ID,Gloss,Phonetic,Pl Phonetic
001,ANIMAL,kori/a-koraja,malgum-bara
004,ARROW,hu-ila,t-ila+farara
014,CALABASH,u-ra,
017,CHILD,ganʤa,
022,COW/CATTLE,ku-na,ku-na-jan
024,CROCODILE,ʤura,
036,EYE,leze (z?),leridarara
040,FEMALE,umade,
055,"LEG, FOOT",utu-buna (pl.?),
056,LEOPARD (‘PANTHER’),jari,
064,NIGHT: DAY OF 24 HOURS,"lahare, ufin; ufin agoto",
090,"STONE, ROCK",ku-ʃali,u-ʃali goto
094,TOOTH,tin-je,-juni
096,TREE,ta-ʧi,tidu-farara
100,WATER,moni,
102,"WOMAN, WIFE",amadaja (sg. = H. ?),maʧi (pl.)
103,ONE,wondi,
104,TWO,raki,
106,FOUR,nazi,
107,FIVE,ʃu,
108,SIX,tase,
109,SEVEN,sinna,
110,EIGHT,riju,
111,NINE,unnanasi,
112,TEN,tangini,
113,FIFTEEN,tangini-o-ʃu,
114,TWENTY,oro,
115,HUNDRED,reke,

