BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
003,ARMPIT,ə́r-hápsɛ́,,ə́t-
004,ARROW,ə́rʔɛ́r,,ʔɛ́r
006,ASK (A QUESTION),cít,,
008,BEAN,ù-jôr,,jôr
010,BELLY,ə́t-mɛ́n,,ə́s-
011,BITE,ha̍w,V,
012,BUFFALO,ù-hjét,,hjét
013,"BUILD, TO (CF. SEW)",ma̍,,
014,CALABASH,ə́r-kɔ́k,,ə́t-
017,CHILD,wa̍,,ja̍ka̍r
018,COME OUT,rwə́n; rúbɛ́ (!),,
019,"COOL, BE(COME) TO",gwə́rɛ́,,
020,CORPSE,ə̀rʔú,,
021,COUNT: DRAW A LINE,"ɔ́:k, kwɔ; gyɛ́n",,
023,CRAB,ù-ʔáŋgàrá,,ʔáŋgàrá
024,CROCODILE,ù-tú,,tú
025,"DANCE, TO",hɛ́w,,
026,DEPTH,ə́r-də́w,,
027,DIE: DEATH,már,,
028,"DIVIDE, SHARE OUT, TO",wóŋk,,
030,"BECOME DRY, TO",fwɔ́,,
032,"EAT, TO",rɛ́,,
033,EGG,ə́rgjɛ́,,ə́rgjɛ́
034,ELEPHANT,ù-rɔ́k,,rɔ́k
036,EYE,ə̀rjíʃ,,jíʃ
038,"FAT, OIL, GREASE","ə̀m-sɛ́m, ə̀m-náw",,
043,CHICKEN/FOWL,ù-kjît,,kjî:t
045,"GIVE, TO",já:s,,
046,"GO, WALK, TO",nékɛ́,,há-bɛ́
049,GUINEA-FOWL,ù-kɔ̂t,,kɔ̂t
050,HEAD,ər-hí,,ət-
051,HEART,ə́r-húr,,ə́t-húr
052,HEAVY,ə́s-nə́,,
053,HOE: CULTIVATE,"gwów, duk, kéwér",,
055,"LEG, FOOT",ù-ná,,ə̀s-
056,LEOPARD (‘PANTHER’),ú-gə́,,gə́
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO","rə́t, réwɛ́",,
060,MEAT,ə́r-ʔàp,,ə́m-ʔàp
061,MOULD TO,má,,
062,"MOUNT, TO",da̍,,
063,NAME,ə̀r-ʤín,,ə̀d-
066,PERSON,-nɛ́t,,-nɛ̀
071,"REFUSE, RETAIN, TO",jágɛ́,,
073,ROAD: PATH,ù-cóu,,ə̀s-
074,"ROAST ON COALS, TO",ká:s; riʃ; zɔ́,,
075,"ROT, TO",wə́m,,
077,SEND: WORK,cf. ù-tɔ́m,,
082,"SKIN, HIDE, BARK",ú-ká,,ə́t-
083,SMELL (OF): SMELL (TR.),wə́sɛ́,,
084,SNAKE,ù-ɸɔ́,,ɸɔ́
086,"SPEAK, TO",zɛ́ʔ; rɔ́r; tɛ́pɛ́r,,
090,"STONE, ROCK",ə́r-tā́r *o-taʔar,,ə́ttár
093,"TONGUE, LANGUAGE",ə̀l-lém,,èt-rém
094,TOOTH,"ù-jín, ù-nín",,jin; ɛ̀gə̀-
095,TORTOISE,ú-ká:r,,ká:r
096,TREE,ù-cé,,əf-
098,WANT (DESIRE): LACK SEEK,cɔn,,
099,WAR,ə̀r-gə́n,,ə̀d-
100,WATER,ə̀mhɔ́ʔ (ɔ̃ ?); ə̀mmíʔ,,
101,WING,ú-kə́kə́n,,ə́t-
102,"WOMAN, WIFE",*neʔa,,
103,ONE,ʧoon,,
104,TWO,"jor, ujor",,
106,FOUR,na̍s,,
107,FIVE,tá:n,,
108,SIX,ʧe:nt,,
109,SEVEN,tà’jo:r,,
110,EIGHT,ʔé:r,,
111,NINE,ʤírɔ̀,,
112,TEN,ɔ̀p,,
113,FIFTEEN,[ɔ̀pʊ̀tá:  n],,
114,TWENTY,ə́rkwɔ́:z̥,,
115,HUNDRED,ùzùŋgú,,

