BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,njàm,,njám
003,ARMPIT,à-ɸa,,ni-
004,ARROW,-mpɔ̂:q,,pu-
005,ASHES,tswɔŋ,,
006,ASK (A QUESTION),ɸɔ́m,,
008,BEAN,-tɔwɔ́n,,tý-
010,BELLY,"bú, bvú",,
011,BITE,tɛ́ntí,V,
012,BUFFALO,za̍:,,ì-za̍:
013,"BUILD, TO (CF. SEW)",lɔ́l,,
014,CALABASH,kjɛ:rɛ̀ŋ,,pupwɛ:rɛ̀ŋ
017,CHILD,ŋwɔn,,ni-nɔn ~ nɔn
023,CRAB,gìnɛ̀,,bwɪnɛ̀
024,CROCODILE,tsɛ̀lɛ̀,,ì-tsɛ́lɛ́
025,"DANCE, TO",ʃám,,
027,DIE: DEATH,kú,,
028,"DIVIDE, SHARE OUT, TO",hwɔsɔp,,
030,"BECOME DRY, TO",hwohwo,,
031,EAR,tsɔ́rɔ́,,tɔ́rɔ́
032,"EAT, TO",ré,,
033,EGG,gɛp,,bwɛp
034,ELEPHANT,m-bwinɛ,,m- ~ bum-
037,"FALL, TO",hwɔ,,
038,"FAT, OIL, GREASE",í-ɸɛ́p,,"a̍-ɸí-ɸɛp, nɔi n-tsìŋ"
042,FOREST (BUSH),"dɔntswɔ̀n, xa̍i (ha̍i?)",,"tswɔ̀n, niha̍i"
043,CHICKEN/FOWL,tsɔ̂:rɔ,,ì-tsɔ̂:rɔ
045,"GIVE, TO",nàŋ,,
046,"GO, WALK, TO","ʧigɔ̀, xjɛl",,
048,"GROW, BECOME STRONG, TO",hwɪt,,
049,GUINEA-FOWL,ǹsɛ̀q,,i-nsɛ́q
050,HEAD,tɔ̀tsɔ̀,,
051,HEART,rwáí,,ra̍i
052,HEAVY,rî:-tík,,
053,HOE: CULTIVATE,ha̍p,,
054,"KILL, TO",ɸó,,
055,"LEG, FOOT",ʧwá,,ì-ta̍
056,LEOPARD (‘PANTHER’),a̍-tswɔ̀ì,,tswɔ̀ì
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO",la̍:l ndɔ̀,,
060,MEAT,-nám,,ní-
062,"MOUNT, TO",wa̍ra̍,,
063,NAME,rwíjɛ́k,,rɛɛ́:k
064,NIGHT: DAY OF 24 HOURS,"-tuk, dzɛŋɛ́",,"nì-, nìtuk"
066,PERSON,a̍-njí,,ní-nji
067,"PIG (DOMESTIC, WILD)",la̍:dɛ̀,,ni-la:dɛ
071,"REFUSE, RETAIN, TO",ba̍ràì,,
073,ROAD: PATH,ki:nɛ̀,,kpwi:nɛ̀
074,"ROAST ON COALS, TO",ha̍la̍ŋ,,
075,"ROT, TO",sà,,
077,SEND: WORK,-tɔ̀mɛ̀,,nì-
080,"SHINE, BE LIGHT, BE WHITE TO","wɛwɛi, bɛ̀bɛ̀rɛ̀ŋ",,
081,SING,ja̍ ´ŋɛ,,
082,"SKIN, HIDE, BARK",hùhˋù,,húhú
083,SMELL (OF): SMELL (TR.),ɸɛŋgɛlɛ,,
084,SNAKE,dzwɔ,,ìzɔ
086,"SPEAK, TO",jɔŋɔ̀; bwɔl; mɔ̀ŋ,,
090,"STONE, ROCK",kɛ̀:,,kpwɛ̀
093,"TONGUE, LANGUAGE","lɛ̀m, lɛ́m",,"lɥɛm, lùlwɛ̀m"
094,TOOTH,dzínɛ́,,dzìnɛ̀
095,TORTOISE,kura̍dɔ́q,,pura̍dɔ̀q
096,TREE,a̍-hwɔ́n,,ni-hwɔ̀n
098,WANT (DESIRE): LACK SEEK,ka̍jáŋ,,
099,WAR,tswɔm,,tsú-
100,WATER,nɛ̀n,,
101,WING,bá:t,,vá:t
102,"WOMAN, WIFE",-kuk,,ni-
103,ONE,da̍i,,
104,TWO,fa̍,,
106,FOUR,naas,,
107,FIVE,wi,,
108,SIX,ta̍:ra̍,,
109,SEVEN,nɪta̍,,
110,EIGHT,náras,,
111,NINE,du:ʤà,,
112,TEN,dù:bɔ́,,
113,FIFTEEN,fɛ̀nèku ní fì tat,,
114,TWENTY,fɛ̀nèku ní fɛ̀ nita̍,,
115,HUNDRED,pu  jɛ́ nára̍s  nì fé na̍:s,,

