BNC ID,Gloss,Phonetic,Pl Phonetic
001,ANIMAL,ɛ-nja,
004,ARROW,o-lɛla,a-
010,BELLY,bam+biri+kɛ,
012,BUFFALO,ɛ-ja,
017,CHILD,wonene,
022,COW/CATTLE,n-dɔ,
024,CROCODILE,ejive,
031,EAR,o-te,a-
033,EGG,ɛ-ðiðɔ,a-
034,ELEPHANT,ɛ-nkumu,
036,EYE,ɛ-njiʃi,a-nʤi
038,"FAT, OIL, GREASE","o-gwa, mɛmɛ",
043,CHICKEN/FOWL,ɛ-ðɔ,
050,HEAD,o-fɛnne,
051,HEART,ɛ-sɔma,
055,"LEG, FOOT","o-kwoθa, u-ba",a-
056,LEOPARD (‘PANTHER’),ɛ-ze,
060,MEAT,ɛ-nja,
064,NIGHT: DAY OF 24 HOURS,"ɛ-fu  ɛ-gwama, ɛ-θante",
066,PERSON,o-nje,ba-
067,"PIG (DOMESTIC, WILD)",vəkɛ,
073,ROAD: PATH,mana,
084,SNAKE,ɛ-jo,
090,"STONE, ROCK",ɛ-tɛ,
093,"TONGUE, LANGUAGE",ɛnne,
094,TOOTH,ɪ-ŋji,a-ŋji
096,TREE,o-kwɛ̃,a-
099,WAR,"ɛ-ze,",
100,WATER,maŋmo,
102,"WOMAN, WIFE",o-kwasa,ba-
103,ONE,ɛ-mo,
104,TWO,-fa,
106,FOUR,(bi)ni,
107,FIVE,(bi-) tɔŋ,
108,SIX,"(bu)- -,ʃɔ",
109,SEVEN,(bi)toŋ (bi)fa,
110,EIGHT,(bi-)nɛ (bi-)nɛ,
111,NINE,bi-tɔm bi-ɛ,
112,TEN,puware,
113,FIFTEEN,are (bi)ta,
114,TWENTY,ntata,
115,HUNDRED,bantɛra(ba)toŋ,

