BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,njama,,
003,ARMPIT,buá ma pInde,,a-bua-na
004,ARROW,mundi,,
007,"BAD (BE), TO",biki (?),,
010,BELLY,luŋo nu gule,,
011,BITE,nɪmban (?),V,
012,BUFFALO,ndoakɔŋ,,
017,CHILD,muna,,
022,COW/CATTLE,ɪnda,,
024,CROCODILE,gandu,,
033,EGG,ɪnkɪŋgu,,
034,ELEPHANT,n-zu,,
036,EYE,mɪsu,,mɪ́si
038,"FAT, OIL, GREASE",muru,,
043,CHICKEN/FOWL,ɪngukulɛk,,
050,HEAD,ba muru,,
052,HEAVY,bire (?),,
055,"LEG, FOOT",kusu,,
056,LEOPARD (‘PANTHER’),mumbri,,
060,MEAT,njama,,
063,NAME,lulo,,
064,NIGHT: DAY OF 24 HOURS,"nə du, nə pɔri (pɔri = ‘sun)",,
066,PERSON,buá ma pɪnde,,a-bua-na
067,"PIG (DOMESTIC, WILD)",tɪmbɪrɪm,,
073,ROAD: PATH,nʤɛrgula,,
077,SEND: WORK,pak (?),,
080,"SHINE, BE LIGHT, BE WHITE TO",pɔʃe,,
084,SNAKE,ijau,,
090,"STONE, ROCK",tali,,
092,THING,gɪmaŋga,,
093,"TONGUE, LANGUAGE",lasu,,
094,TOOTH,mini,,
096,TREE,-ngun,,a-
099,WAR,lua,,
100,WATER,mur (nuna),,
102,"WOMAN, WIFE",bua ma,,a-mam-na
103,ONE,mɔʃɛt,,
104,TWO,bari,,
106,FOUR,i-ne,,
107,FIVE,tɔŋno,,
108,SIX,bari nɔŋ mɔʃɛt,,
109,SEVEN,tɔŋno bwɔmdə bari,,
110,EIGHT,i-ne i-ne,,
111,NINE,tɔŋno i-ne,,
112,TEN,lum,,
114,TWENTY,lume bari,,
115,HUNDRED,lume lum,,

