BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,e-bi e-zi,,
003,ARMPIT,o-ngaba,,
004,ARROW,o-bi,,
005,ASHES,o-tuntuŋu,,
006,ASK (A QUESTION),asʒin,,
007,"BAD (BE), TO",awoabi,,
008,BEAN,e-beib,,
010,BELLY,a-kpigi,,
011,BITE,taŋa,V,
012,BUFFALO,è-zán,,
013,"BUILD, TO (CF. SEW)",o-mbedzi,,
014,CALABASH,a-tuku,,
015,CARVE,osseh,,
016,CHARCOAL,ambizi,,
017,CHILD,a-nwe,,
018,COME OUT,obaedzi,,
019,"COOL, BE(COME) TO",a-bubu,,
020,CORPSE,o-komo,,
021,COUNT: DRAW A LINE,ozaga ngela,,
022,COW/CATTLE,andu,,
023,CRAB,a-geleso,,
024,CROCODILE,e-ko-ami,,
025,"DANCE, TO","ʃega ara, ara",,
026,DEPTH,o-ʤuŋu,,
027,DIE: DEATH,"o-kpu, e-ku",,
028,"DIVIDE, SHARE OUT, TO",o-gaba,,
029,"DRAW (WATER), TO",offu,,
030,"BECOME DRY, TO",a-mom,,
032,"EAT, TO",o-ri,,
033,EGG,e-ʃe,,
034,ELEPHANT,ì-ɲí,,í-
035,"EXTINGUISHED, BE TO",rumu,,
036,EYE,e-ji,,
037,"FALL, TO",tsigbu,,
038,"FAT, OIL, GREASE","a-n-vobo, warigi",,
040,FEMALE,ala-aʃele,,
041,FIREWOOD,o-kon,,
042,FOREST (BUSH),a-kala,,
043,CHICKEN/FOWL,e-nnu,,
044,"FRY, TO BAKE IN ASHES, TO","o-vwe, ovom-otuŋ",,
045,"GIVE, TO","si daŋa, daŋa tonton",,
046,"GO, WALK, TO",o-ji,,
048,"GROW, BECOME STRONG, TO","húlú, o-ʃe",,
049,GUINEA-FOWL,ì-ʒúgú,,í-
050,HEAD,e-si,,
051,HEART,e-son,,
052,HEAVY,o-libi,,
053,HOE: CULTIVATE,"o-libi, o-lan",,
054,"KILL, TO",o-boga,,
055,"LEG, FOOT",o-daga,,
056,LEOPARD (‘PANTHER’),e-dgbi,,
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO","lumu obeŋ, ondaba aŋo, onʒe enu",,
058,"LICK, TO",onʒe,,
060,MEAT,e-bi,,
061,MOULD TO,ohimi,,
062,"MOUNT, TO",o-vwe,,
063,NAME,e-ʃogo,,
064,NIGHT: DAY OF 24 HOURS,"o-ʧukwu, o-lumu ʧeŋe",,
066,PERSON,arefin,,
067,"PIG (DOMESTIC, WILD)","o-ko, o-ko akala",,
068,"PRESS, SQUEEZE OUT, MILK","obwe, ofili",,
069,QUARREL,ʧibi-oha oha,"V, N",
071,"REFUSE, RETAIN, TO",otala,,ongaga
072,"RESEMBLE, BE EQUAL TO","a-dzigi, tse tala",,
073,ROAD: PATH,o-ʃen,,
074,"ROAST ON COALS, TO",ovom-akenovo,,
075,"ROT, TO",a-veŋ,,
076,RUBBISH-HEAP,engre (enzre ?) ekro,,
077,SEND: WORK,(o homo) tum,,o-tum
078,"TRAP, TO SET A",ʃin angbaŋa,,
079,"SEW, TO",sumu,,
080,"SHINE, BE LIGHT, BE WHITE TO","otsa, akele",,
081,SING,fu abmo,,
082,"SKIN, HIDE, BARK","a-kpa arafin, a-kpa ebi, a-ngobu",,
084,SNAKE,e-me-i-bi,,
085,SONG,abmo,,
086,"SPEAK, TO",o-kpala  egba,,
087,TO SPIT,ta̍ʧi,,
088,"SPREAD IN SUN TO DRY, TO",ngili  lo  olum  da  la  mom; ongala  lo  olun,,
089,"STICKY, TO BE",avu nzabanzaba,,
090,"STONE, ROCK",e-ʒim,,o-me
091,TAKE OUT OF: EMPTY,offa,,
092,THING,e-kpolo ʧeŋe,,
093,"TONGUE, LANGUAGE","o-lumo, o-nom",,
094,TOOTH,o-ʃoga,,
095,TORTOISE,a-togu a-kulu,,
096,TREE,a-ʧi,,
097,TWIN,a-hili,,
098,WANT (DESIRE): LACK SEEK,"klo; e-kdo; ago-aji ʃeɲa (ʃaɲa ?), klo-lo",,
099,WAR,e-ko,,
100,WATER,ami,,
101,WING,o-ngoba,,
102,"WOMAN, WIFE","a-ʃe, aʃe-re",,
103,ONE,atjen,,
104,TWO,a-ha,,
106,FOUR,a-nji,,
107,FIVE,a-ton,,
108,SIX,a-fin,,
109,SEVEN,a foha,,
111,NINE,afonji,,
112,TEN,okwobo,,
113,FIFTEEN,okwabo a-ton,,
114,TWENTY,ekwobo-eha,,
115,HUNDRED,ekwobo-kwobo; endaga,,
115.1,TWO HUNDRED,endaga-eha,,
116,FOUR HUNDRED,endaga enji,,
117,THOUSAND,endaga-kwobo,,

