BNC ID,Gloss,Phonetic,Pl Phonetic
001,ANIMAL,fi-ɣak,ɣak
060,MEAT,-dje,bo-
061,MOULD TO,gari,
062,"MOUNT, TO",tot,
063,NAME,howuk,
064,NIGHT: DAY OF 24 HOURS,num,
065,FAN PALM (BORASSUS AETHIOPUM),kɛsumbani,
065.1,OIL PALM (ELAEIS GUINEENSIS),kɛsumbani,
066,PERSON,net,
067,"PIG (DOMESTIC, WILD)",alede,
068,"PRESS, SQUEEZE OUT, MILK",fit,
071,"REFUSE, RETAIN, TO",kpe,
072,"RESEMBLE, BE EQUAL TO",koɲendo,
073,ROAD: PATH,kade,
074,"ROAST ON COALS, TO",ʃuŋ,
075,"ROT, TO",fo:,
076,RUBBISH-HEAP,kuridkebin,
077,SEND: WORK,"tom, giʤissa",
078,"TRAP, TO SET A",nis tarko (n. = H.),
079,"SEW, TO",taŋ,
080,"SHINE, BE LIGHT, BE WHITE TO",haŋ,
081,SING,tini boma,
082,"SKIN, HIDE, BARK","beja, *kefub",
083,SMELL (OF): SMELL (TR.),nua,
084,SNAKE,ko:,
085,SONG,bom,
086,"SPEAK, TO",nrunrura,
087,TO SPIT,ted,
088,"SPREAD IN SUN TO DRY, TO",kosi,
089,"STICKY, TO BE",lid,
090,"STONE, ROCK",kpantja kpak,
091,TAKE OUT OF: EMPTY,lori,
092,THING,bin,
093,"TONGUE, LANGUAGE","lem, tjib (tjis ?)",
094,TOOTH,ji,
095,TORTOISE,kjuu,
096,TREE,sina tje:,
097,TWIN,kidufala,
098,WANT (DESIRE): LACK SEEK,himi,
099,WAR,wja:,
101,WING,ngbo:,
103,ONE,wɪ-zeni jini,
104,TWO,ko-faa,
106,FOUR,ko-naŋ,
107,FIVE,ko-to,
108,SIX,tuji,
109,SEVEN,tofa,
110,EIGHT,na-naŋ,
111,NINE,bo-ɣab,
112,TEN,kob,
113,FIFTEEN,kob nikoto,
114,TWENTY,ʃo  aθa,
115,HUNDRED,dari jini,
116,FOUR HUNDRED,dari konaŋ,
117,THOUSAND,duhu jini H.,

