ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
1,,287,001,ɲ̀-ɲà,ɲ̀ɲà,ɲ̀ ɲ à,,,,
2,,287,003,ɛ̀-gbâb,ɛ̀gbâb,ɛ̀ g b â b,,,,
3,,287,005,ǹ-tɔ̂ŋ,ǹtɔ̂ŋ,<?> t ɔ̂ ŋ,,,,
4,,287,006,bəmmɔ̀,bəmmɔ̀,b ə mm ɔ̀,,,,
5,,287,010,à-nà,ànà,à n à,,,,
6,,287,011,gʌ̂ŋ,gʌ̂ŋ,g ʌ̂ ŋ,,,,
7,,287,012,ɱ̀-fɔŋ,ɱ̀fɔŋ,ɱ̀ f ɔ ŋ,,,,
8,,287,014,ɛ̀-bər,ɛ̀bər,ɛ̀ b ə r,,,,
9,,287,017,m̀-mɔ̌,m̀mɔ̌,m̀ m ɔ̌,,,,
10,,287,018,rù,rù,r ù,,,,
11,,287,019,à-nɔ̀g,ànɔ̀g,à n ɔ̀ g,,,,
12,,287,021,fàn,fàn,f à n,,,,
13,,287,023,ɛ̀-kan,ɛ̀kan,ɛ̀ k a n,,,,
14,,287,025,bə̂n,bə̂n,b ə̂ n,,,,
15,,287,027,kpɔ̂,kpɔ̂,k p ɔ̂,,,,
16,,287,028,bàŋà,bàŋà,b à ŋ à,,,,
17,,287,030,jô,jô,j ô,,,,
18,,287,031,ɛ̀-tɔ̂ŋ,ɛ̀tɔ̂ŋ,ɛ̀ t ɔ̂ ŋ,,,,
19,,287,032,nɛ̂,nɛ̂,n ɛ̂,,,,
20,,287,033,ɛ̀-ʤi,ɛ̀ʤi,ɛ̀ ʤ i,,,,
21,,287,034,ɲ̀-ʤɔ̀g,ɲ̀ʤɔ̀g,ɲ̀ ʤ ɔ̀ g,,,,
22,,287,035,nəmɛ̀,nəmɛ̀,n ə m ɛ̀,,,,
23,,287,036,nə̀-mə̂r,nə̀mə̂r,n ə̀ m ə̂ r,,,,
24,,287,037,gbɔ̀,gbɔ̀,g b ɔ̀,,,,
25,,287,038,"à-fɔ̂, à-ku",àfɔ̂,à f ɔ̂,,,,
26,,287,038,"à-fɔ̂, à-ku",àku,à k u,,,,
27,,287,041,ɛ̀-kon,ɛ̀kon,ɛ̀ k o n,,,,
28,,287,042,ɛ̀-kon  o-gbɛ̀,ɛ̀kon  ogbɛ̀,ɛ̀ k o n _ o g b ɛ̀,,,,
29,,287,043,ŋ̀-kɔ̌g,ŋ̀kɔ̌g,ŋ̀ k ɔ̌ g,,,,
30,,287,044,ka̍ŋà,ka̍ŋà,k a̍ ŋ à,,,,
31,,287,046,ʤɛ̀n,ʤɛ̀n,ʤ ɛ̀ n,,,,
32,,287,050,ɛ̀-sî,ɛ̀sî,ɛ̀ s î,,,,
33,,287,051,nə̀-te,nə̀te,n ə̀ t e,,,,
34,,287,053,-bə̀m,bə̀m,b ə̀ m,,,,
35,,287,054,jôn,jôn,j ô n,,,,
36,,287,055,ɛ̀-tâ,ɛ̀tâ,ɛ̀ t â,,,,
37,,287,056,ŋm̀-gbɛ̀,ŋm̀gbɛ̀,ŋ m̀ g b ɛ̀,,,,
38,,287,057,nɔ̀ŋɔ̂,nɔ̀ŋɔ̂,n ɔ̀ ŋ ɔ̂,,,,
39,,287,060,ɲ̀-ɲà,ɲ̀ɲà,ɲ̀ ɲ à,,,,
40,,287,061,"mɔ̀ŋ, tù",mɔ̀ŋ,m ɔ̀ ŋ,,,,
41,,287,061,"mɔ̀ŋ, tù",tù,t ù,,,,
42,,287,062,jʌ̂r,jʌ̂r,j ʌ̂ r,,,,
43,,287,063,m̀-bèŋ,m̀bèŋ,m̀ b è ŋ,,,,
44,,287,064,"ɛ̀-nokon, ɛ̀-fo",ɛ̀nokon,ɛ̀ n o k o n,,,,
45,,287,064,"ɛ̀-nokon, ɛ̀-fo",ɛ̀fo,ɛ̀ f o,,,,
46,,287,065,ɛ̀-bî,ɛ̀bî,ɛ̀ b î,,,,
47,,287,065-1,ɛ̀-bî,ɛ̀bî,ɛ̀ b î,,,,
48,,287,066,ǹ-nɛ̀,ǹnɛ̀,<?> n ɛ̀,,,,
49,,287,067,"à-kôg, ŋ̀-gòmo",àkôg,à k ô g,,,,
50,,287,067,"à-kôg, ŋ̀-gòmo",ŋ̀gòmo,ŋ̀ g ò m o,,,,
51,,287,068,ka̍mà,ka̍mà,k a̍ m à,,,,
52,,287,071,tɛ̂n,tɛ̂n,t ɛ̂ n,,,,
53,,287,072,fɔŋɔ̀,fɔŋɔ̀,f ɔ ŋ ɔ̀,,,,
54,,287,075,bɔ̀n,bɔ̀n,b ɔ̀ n,,,,
55,,287,077,nò-tô,nòtô,n ò t ô,,,,
56,,287,079,ʤə̀m,ʤə̀m,ʤ ə̀ m,,,,
57,,287,080,jâ,jâ,j â,,,,
58,,287,081,jî,jî,j î,,,,
59,,287,082,"ŋ̀-gù, ɛ̀-kpəɣa̍",ŋ̀gù,ŋ̀ g ù,,,,
